,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,3326000000.0,2704000000.0,3288000000.0,3394000000.0
Minority Interest,1000000.0,1000000.0,4000000.0,4000000.0
Net Income,2694000000.0,2109000000.0,2521000000.0,2563000000.0
Selling General Administrative,2333000000.0,2150000000.0,2337000000.0,2371000000.0
Gross Profit,5966000000.0,5199000000.0,5922000000.0,6164000000.0
Ebit,3500000000.0,2895000000.0,3426000000.0,3604000000.0
Operating Income,3500000000.0,2895000000.0,3426000000.0,3604000000.0
Other Operating Expenses,,,,
Interest Expense,-202000000.0,-206000000.0,-221000000.0,-257000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,632000000.0,595000000.0,767000000.0,831000000.0
Total Revenue,14455000000.0,12574000000.0,14109000000.0,14768000000.0
Total Operating Expenses,10955000000.0,9679000000.0,10683000000.0,11164000000.0
Cost Of Revenue,8489000000.0,7375000000.0,8187000000.0,8604000000.0
Total Other Income Expense Net,-174000000.0,-191000000.0,-138000000.0,-210000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,2694000000.0,2109000000.0,2521000000.0,2563000000.0
Net Income Applicable To Common Shares,2694000000.0,2109000000.0,2521000000.0,2563000000.0
