,2021-09-30,2020-09-30,2019-09-30,2018-09-30
Research Development,275000000.0,274000000.0,319000000.0,310000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,2614000000.0,903000000.0,1056000000.0,1546000000.0
Minority Interest,1191000000.0,1086000000.0,1063000000.0,1294000000.0
Net Income,1637000000.0,631000000.0,5674000000.0,2162000000.0
Selling General Administrative,4459000000.0,5387000000.0,5713000000.0,5440000000.0
Gross Profit,8059000000.0,7411000000.0,7693000000.0,7667000000.0
Ebit,3325000000.0,1750000000.0,1661000000.0,1917000000.0
Operating Income,3325000000.0,1750000000.0,1661000000.0,1917000000.0
Other Operating Expenses,,,,
Interest Expense,-219000000.0,-240000000.0,-335000000.0,-409000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,868000000.0,108000000.0,-233000000.0,197000000.0
Total Revenue,23668000000.0,22317000000.0,23968000000.0,23400000000.0
Total Operating Expenses,20343000000.0,20567000000.0,22307000000.0,21483000000.0
Cost Of Revenue,15609000000.0,14906000000.0,16275000000.0,15733000000.0
Total Other Income Expense Net,-711000000.0,-847000000.0,-605000000.0,-371000000.0
Discontinued Operations,124000000.0,124000000.0,4574000000.0,987000000.0
Net Income From Continuing Ops,1746000000.0,795000000.0,1289000000.0,1349000000.0
Net Income Applicable To Common Shares,1637000000.0,631000000.0,5674000000.0,2162000000.0
