Date,Firm,To Grade,From Grade,Action
2012-03-07,Guggenheim,Buy,,main
2012-04-13,Deutsche Bank,Buy,,up
2012-04-23,Jefferies,Hold,,main
2012-06-07,Deutsche Bank,Buy,,main
2012-06-25,Barclays,Equal-Weight,,main
2012-07-06,Wunderlich,Buy,,main
2012-07-09,Jefferies,Hold,,main
2012-07-09,Stifel Nicolaus,Buy,,main
2012-07-16,UBS,Neutral,,main
2012-07-18,JP Morgan,Neutral,,init
2012-07-19,Bank of America,Buy,,main
2012-07-20,JP Morgan,Neutral,,main
2012-07-20,Deutsche Bank,Hold,Buy,down
2012-07-20,UBS,Neutral,,main
2012-07-20,Stifel Nicolaus,Buy,,main
2012-07-20,Jefferies,Hold,,main
2012-07-23,Morgan Stanley,Overweight,,main
2012-07-24,Sterne Agee,Neutral,,main
2012-10-31,UBS,Neutral,,main
2012-10-31,Macquarie,Neutral,Outperform,down
2012-10-31,Deutsche Bank,Hold,,main
2012-10-31,Jefferies,Hold,,main
2012-11-01,Stifel Nicolaus,Buy,,main
2012-11-01,Needham,Hold,Buy,down
2012-12-20,Jefferies,Hold,,main
2012-12-20,JP Morgan,Neutral,,main
2012-12-20,Deutsche Bank,Hold,,main
2013-01-22,Lazard,Neutral,Buy,down
2013-01-23,Deutsche Bank,Hold,,main
2013-03-14,Credit Agricole,Buy,Outperform,up
2013-04-22,Baird,Outperform,Neutral,up
2013-04-23,Baird,Outperform,Neutral,up
2013-04-23,Jefferies,Hold,,main
2013-04-24,Jefferies,Hold,,main
2013-05-13,Lazard,Buy,Neutral,up
2013-05-28,Wells Fargo,Outperform,Neutral,up
2013-09-30,Morgan Stanley,Underweight,Overweight,down
2013-10-28,Deutsche Bank,Hold,,main
2013-10-30,Deutsche Bank,Hold,,main
2013-11-21,Deutsche Bank,Hold,,main
2013-11-25,Citigroup,Neutral,,main
2013-12-04,RBC Capital,Outperform,Sector Perform,up
2013-12-10,RBC Capital,Top Pick,Outperform,up
2013-12-12,Barclays,Overweight,Equal-weight,up
2013-12-19,Deutsche Bank,Hold,,main
2014-01-24,Deutsche Bank,Hold,,main
2014-01-24,Citigroup,Neutral,,main
2014-01-27,Barclays,Overweight,Overweight,main
2014-02-19,FBR Capital,Outperform,,init
2014-04-22,JP Morgan,Neutral,,main
2014-04-24,Deutsche Bank,Hold,,main
2014-06-24,Susquehanna,Neutral,,init
2014-07-14,Barclays,Overweight,,main
2014-07-21,Citigroup,Neutral,,main
2014-09-22,JP Morgan,Neutral,,main
2014-10-13,RBC Capital,Outperform,Top Pick,down
2014-10-14,Wells Fargo,Market Perform,Outperform,down
2014-12-03,UBS,Neutral,,main
2014-12-23,Ascendiant Capital,Buy,,init
2015-01-12,Nomura,Neutral,,init
2015-03-03,Deutsche Bank,Hold,,main
2015-03-11,Deutsche Bank,Hold,,main
2015-04-01,JP Morgan,Neutral,,main
2015-04-24,Nomura,Neutral,,main
2015-04-28,Citigroup,Neutral,,main
2015-05-28,UBS,Buy,Neutral,up
2015-06-11,Macquarie,Neutral,,main
2015-07-27,Barclays,Overweight,,main
2015-08-12,Goldman Sachs,Buy,Neutral,up
2015-08-24,Credit Suisse,Neutral,,init
2015-09-15,Susquehanna,Neutral,,main
2015-09-30,William Blair,Outperform,Market Perform,up
2015-10-02,Nomura,Buy,,up
2015-12-02,William Blair,Market Perform,Outperform,down
2015-12-11,Barclays,Overweight,,main
2015-12-15,RBC Capital,Sector Perform,Outperform,down
2016-01-07,Oppenheimer,Outperform,,init
2016-01-25,Barclays,Overweight,,main
2016-01-29,Credit Suisse,Neutral,,main
2016-05-24,Credit Suisse,Outperform,,up
2016-08-01,Morgan Stanley,Overweight,,main
2016-08-22,Credit Suisse,Outperform,,main
2016-08-23,Credit Suisse,Outperform,,main
2016-09-08,Macquarie,Outperform,,main
2016-09-16,Bernstein,Outperform,,init
2016-09-16,UBS,Buy,,main
2016-09-21,UBS,Buy,,main
2016-09-28,Cowen & Co.,Outperform,,init
2016-10-18,Baird,Outperform,,init
2016-10-24,Goldman Sachs,Buy,,init
2016-11-01,Goldman Sachs,Buy,,main
2016-11-28,Citigroup,Buy,,init
2017-02-14,Argus,Hold,Buy,down
2017-03-06,JP Morgan,Neutral,,init
2017-03-13,Goldman Sachs,Neutral,Buy,down
2017-03-20,Susquehanna,Positive,Neutral,up
2017-03-31,HSBC,Buy,,init
2017-06-19,JMP Securities,Market Outperform,,init
2017-07-10,Morgan Stanley,Overweight,,main
2017-07-11,Wolfe Research,Peer Perform,,init
2017-08-07,Morgan Stanley,Overweight,,main
2017-10-02,Morgan Stanley,Overweight,,main
2017-10-09,Citigroup,Buy,,main
2017-10-10,Citigroup,Buy,,main
2017-10-23,JMP Securities,Market Outperform,,main
2017-10-31,Oppenheimer,Outperform,,main
2017-11-10,Oppenheimer,Outperform,,main
2017-11-10,Baird,Outperform,,main
2017-11-10,Vertical Group,Hold,Buy,down
2017-11-15,Susquehanna,Neutral,Positive,down
2017-12-08,Goldman Sachs,Sell,Neutral,down
2018-01-05,Baird,Neutral,Outperform,down
2018-01-18,Cowen & Co.,Market Perform,Outperform,down
2018-01-23,UBS,Buy,,init
2018-02-15,Barclays,Equal-Weight,,init
2018-04-05,RBC Capital,Underperform,Sector Perform,down
2018-07-09,Barclays,Equal-Weight,Equal-Weight,main
2018-08-01,Barclays,Equal-Weight,Equal-Weight,main
2018-08-02,Citigroup,Buy,Buy,main
2018-08-21,Argus,Buy,Hold,up
2018-08-21,Morgan Stanley,Equal-Weight,,init
2018-08-30,UBS,Buy,Buy,main
2018-09-11,UBS,Neutral,Buy,down
2018-09-21,JP Morgan,Underweight,Neutral,down
2018-09-28,Wells Fargo,Market Perform,Market Perform,main
2018-10-12,Credit Suisse,Neutral,,init
2018-11-16,Citigroup,Buy,Buy,main
2019-02-19,Cowen & Co.,Market Perform,Market Perform,main
2019-03-18,Wells Fargo,Outperform,Market Perform,up
2019-07-08,JP Morgan,Neutral,Underweight,up
2019-10-10,JP Morgan,Neutral,,main
2019-11-08,Credit Suisse,Neutral,,main
2019-11-08,Argus Research,Buy,,main
2019-12-12,UBS,Sell,,init
2020-01-06,Credit Suisse,Outperform,Neutral,up
2020-01-09,Wolfe Research,Outperform,Peer Perform,up
2020-03-09,Deutsche Bank,Buy,,init
2020-03-17,Morgan Stanley,Equal-Weight,,main
2020-03-23,Morgan Stanley,Equal-Weight,,main
2020-04-01,Citigroup,Buy,,main
2020-04-09,Deutsche Bank,Buy,,main
2020-04-15,Morgan Stanley,Equal-Weight,,main
2020-05-01,CFRA,Buy,,main
2020-05-04,Baird,Neutral,,main
2020-05-04,Credit Suisse,Outperform,,main
2020-05-05,JP Morgan,Neutral,,main
2020-05-19,RBC Capital,Sector Perform,Underperform,up
2020-06-22,UBS,Buy,Neutral,up
2020-06-24,Wells Fargo,Overweight,,main
