,2021-06-30,2020-06-30,2019-06-30,2018-06-30
Research Development,109047000.0,109988000.0,96378000.0,90340000.0
Effect Of Accounting Charges,,,,
Income Before Tax,397725000.0,381076000.0,347235000.0,356158000.0
Minority Interest,,,,
Net Income,311469000.0,296668000.0,271885000.0,365034000.0
Selling General Administrative,187060000.0,197988000.0,185939000.0,171710000.0
Gross Profit,694826000.0,688603000.0,629661000.0,617659000.0
Ebit,398719000.0,380627000.0,347344000.0,355609000.0
Operating Income,398719000.0,380627000.0,347344000.0,355609000.0
Other Operating Expenses,,,,
Interest Expense,-1144000.0,-688000.0,-926000.0,-1920000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,86256000.0,84408000.0,75350000.0,-8876000.0
Total Revenue,1758225000.0,1697067000.0,1552691000.0,1470797000.0
Total Operating Expenses,1359506000.0,1316440000.0,1205347000.0,1115188000.0
Cost Of Revenue,1063399000.0,1008464000.0,923030000.0,853138000.0
Total Other Income Expense Net,-994000.0,449000.0,-109000.0,549000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,311469000.0,296668000.0,271885000.0,365034000.0
Net Income Applicable To Common Shares,311469000.0,296668000.0,271885000.0,365034000.0
