Date,Firm,To Grade,From Grade,Action
2012-04-16,Citigroup,Buy,,main
2012-04-18,Goldman Sachs,Neutral,,main
2012-04-18,UBS,Buy,,main
2012-04-18,Citigroup,Buy,,main
2012-07-13,Jefferies,Buy,,main
2012-07-18,Jefferies,Buy,,main
2012-07-18,PiperJaffray,Neutral,,main
2012-07-18,Deutsche Bank,Hold,,main
2012-08-01,UBS,Buy,,main
2012-10-12,Jefferies,Buy,,main
2012-10-17,Barclays,Overweight,,main
2012-10-17,Deutsche Bank,Hold,,main
2012-11-12,Jefferies,Hold,Buy,down
2012-11-20,Stifel Nicolaus,Hold,,init
2012-12-10,Davenport,,Neutral,up
2013-01-04,Deutsche Bank,Buy,Hold,up
2013-01-11,UBS,Buy,,main
2013-01-16,Jefferies,Hold,,main
2013-02-07,Credit Suisse,Underperform,Neutral,down
2013-03-26,UBS,Buy,,main
2013-04-08,JP Morgan,Neutral,Overweight,down
2013-04-10,Jefferies,Hold,,main
2013-04-12,Deutsche Bank,Buy,,main
2013-04-19,Jefferies,Hold,,main
2013-05-28,Jefferies,Hold,,main
2013-06-07,Jefferies,Hold,,main
2013-07-12,Jefferies,Hold,,main
2013-07-17,Deutsche Bank,Hold,Buy,down
2013-10-11,Goldman Sachs,Neutral,Sell,up
2014-01-07,RBC Capital,Outperform,Sector Perform,up
2014-01-09,Jefferies,Buy,Hold,up
2014-01-10,Barclays,Equal-weight,Overweight,down
2014-04-14,Jefferies,Hold,Buy,down
2014-04-16,JP Morgan,Neutral,,main
2014-04-16,Citigroup,Buy,,main
2014-04-16,Credit Suisse,Underperform,,main
2014-04-16,Bank of America,Neutral,,main
2014-04-16,Raymond James,Outperform,,main
2014-05-05,Citigroup,Buy,,main
2014-06-30,JP Morgan,Neutral,,main
2014-07-02,Barclays,Equal-Weight,,main
2014-07-14,Jefferies,Hold,,main
2014-07-16,Citigroup,Buy,,main
2014-07-16,Deutsche Bank,Hold,,main
2014-08-11,Jefferies,Hold,,main
2014-10-01,Bernstein,Market Perform,,down
2014-10-02,Guggenheim,Neutral,,init
2014-12-04,Jefferies,Hold,,main
2014-12-16,JP Morgan,Neutral,,main
2015-01-15,Jefferies,Hold,,main
2015-01-15,Goldman Sachs,Sell,Neutral,down
2015-01-16,Barclays,Equal-Weight,,main
2015-01-21,Jefferies,Hold,,main
2015-01-22,Barclays,Equal-Weight,,main
2015-02-20,Jefferies,Hold,,main
2015-03-10,Jefferies,Hold,,main
2015-04-06,JP Morgan,Neutral,,main
2015-04-20,Deutsche Bank,Hold,,main
2015-05-21,Jefferies,Hold,,main
2015-05-21,Deutsche Bank,Hold,,main
2015-08-07,Jefferies,Hold,,main
2015-09-22,UBS,Buy,,init
2015-09-29,Deutsche Bank,Buy,Hold,up
2015-12-01,Barclays,Overweight,Equal-Weight,up
2015-12-18,Atlantic Equities,Neutral,,init
2016-01-14,Jefferies,Hold,,main
2016-02-04,Deutsche Bank,Buy,,main
2016-03-14,Goldman Sachs,Neutral,Sell,up
2016-03-15,Jefferies,Hold,,main
2016-04-06,Societe Generale,Hold,,init
2016-04-20,Argus,Buy,,main
2016-04-20,Barclays,Overweight,,main
2016-04-20,Goldman Sachs,Neutral,,main
2016-05-01,Credit Suisse,Neutral,,main
2016-05-12,BTIG Research,Neutral,Buy,down
