,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,1007200000.0,958400000.0,955700000.0,1003200000.0
Effect Of Accounting Charges,,,,
Income Before Tax,310100000.0,265200000.0,414400000.0,532700000.0
Minority Interest,,,,
Net Income,252700000.0,257800000.0,345000000.0,566900000.0
Selling General Administrative,1293600000.0,1169600000.0,1183600000.0,1158500000.0
Gross Profit,2740100000.0,2573700000.0,2616800000.0,2741200000.0
Ebit,439300000.0,445700000.0,477500000.0,579500000.0
Operating Income,439300000.0,445700000.0,477500000.0,579500000.0
Other Operating Expenses,,,,7000000.0
Interest Expense,-50800000.0,-77000000.0,-88700000.0,-103200000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,57400000.0,7400000.0,69400000.0,-34200000.0
Total Revenue,4735400000.0,4445100000.0,4445400000.0,4647500000.0
Total Operating Expenses,4296100000.0,3999400000.0,3967900000.0,4068000000.0
Cost Of Revenue,1995300000.0,1871400000.0,1828600000.0,1906300000.0
Total Other Income Expense Net,-129200000.0,-180500000.0,-63100000.0,-46800000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,252700000.0,257800000.0,345000000.0,566900000.0
Net Income Applicable To Common Shares,252700000.0,257800000.0,345000000.0,566900000.0
