,2022-01-01,2021-01-02,2019-12-28,2018-12-29
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1969000000.0,1587000000.0,1298000000.0,1525000000.0
Minority Interest,495000000.0,524000000.0,567000000.0,558000000.0
Net Income,1488000000.0,1251000000.0,960000000.0,1336000000.0
Selling General Administrative,2575000000.0,2885000000.0,2827000000.0,3022000000.0
Gross Profit,4597000000.0,4740000000.0,4433000000.0,4825000000.0
Ebit,2022000000.0,1855000000.0,1606000000.0,1803000000.0
Operating Income,2022000000.0,1855000000.0,1606000000.0,1803000000.0
Other Operating Expenses,,,,
Interest Expense,-223000000.0,-281000000.0,-284000000.0,-287000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,474000000.0,323000000.0,321000000.0,181000000.0
Total Revenue,14181000000.0,13770000000.0,13578000000.0,13547000000.0
Total Operating Expenses,12159000000.0,11915000000.0,11972000000.0,11744000000.0
Cost Of Revenue,9584000000.0,9030000000.0,9145000000.0,8722000000.0
Total Other Income Expense Net,-53000000.0,-268000000.0,-308000000.0,-278000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1495000000.0,1264000000.0,977000000.0,1344000000.0
Net Income Applicable To Common Shares,1488000000.0,1251000000.0,960000000.0,1336000000.0
