Date,Firm,To Grade,From Grade,Action
2012-02-08,Jefferies,Hold,,main
2012-02-14,Morgan Stanley,Equal-Weight,,init
2012-02-23,Deutsche Bank,Buy,,up
2012-04-23,DA Davidson,Neutral,,main
2012-04-23,Bank of America,Buy,,main
2012-04-23,Citigroup,Buy,,main
2012-04-24,UBS,Neutral,,main
2012-04-24,Credit Suisse,Neutral,,main
2012-07-25,UBS,Neutral,,main
2012-08-03,Deutsche Bank,Buy,,main
2012-09-04,JP Morgan,Neutral,,main
2012-11-02,Credit Suisse,Neutral,,main
2012-11-02,Jefferies,Hold,,main
2013-01-07,Deutsche Bank,Buy,,main
2013-01-16,Credit Suisse,Underperform,Neutral,down
2013-02-05,DA Davidson,Neutral,,main
2013-02-06,Jefferies,Hold,,main
2013-02-06,BMO Capital,Market Perform,,main
2013-02-11,UBS,Neutral,,main
2013-04-03,Deutsche Bank,Buy,,main
2013-04-22,JP Morgan,Neutral,,main
2013-05-03,DA Davidson,Neutral,,main
2013-05-03,Credit Suisse,Underperform,,main
2013-05-03,Jefferies,Hold,,main
2013-08-02,Deutsche Bank,Buy,,main
2013-09-17,JP Morgan,Underweight,Neutral,down
2013-10-02,Deutsche Bank,Buy,,main
2013-10-21,Bank of America,Underperform,Buy,down
2013-11-05,Deutsche Bank,Hold,Buy,down
2013-11-15,Barclays,Underweight,Equal-weight,down
2014-01-30,Societe Generale,Buy,,init
2014-02-07,JP Morgan,Neutral,Underweight,up
2014-02-25,Canaccord Genuity,Buy,,up
2014-04-09,Nomura,Buy,,init
2014-04-28,JP Morgan,Neutral,,main
2014-04-28,Deutsche Bank,Hold,,main
2014-05-02,Credit Suisse,Underperform,,main
2014-06-02,Deutsche Bank,Hold,,main
2014-07-15,Goldman Sachs,Sell,Neutral,down
2014-08-01,Nomura,Buy,,main
2014-09-17,Societe Generale,Hold,Buy,down
2014-09-30,Morgan Stanley,Underweight,Equal-weight,down
2014-10-31,Credit Suisse,Underperform,,main
2014-10-31,Deutsche Bank,Hold,,main
2014-11-12,JP Morgan,Neutral,,main
