Date,Firm,To Grade,From Grade,Action
2012-03-16,Indaba Global Research,Hold,,init
2012-04-05,Citigroup,Buy,,up
2012-04-24,Sterne Agee,Neutral,,main
2012-06-07,Citigroup,Buy,,main
2012-07-20,Jefferies,Hold,,main
2012-10-05,Deutsche Bank,Hold,Buy,down
2012-10-08,JP Morgan,Overweight,,main
2012-10-08,Deutsche Bank,Hold,Buy,down
2012-10-19,Jefferies,Hold,,main
2013-01-09,Oppenheimer,Outperform,Perform,up
2013-01-23,CLSA,Outperform,Sell,up
2013-01-25,Stifel Nicolaus,Buy,,main
2013-01-28,Sterne Agee,Neutral,,main
2013-01-31,Bernstein,Underperform,Market Perform,down
2013-01-31,Bernstein,Underperform,,down
2013-02-06,Susquehanna,Neutral,Positive,down
2013-02-06,Nomura,Neutral,,init
2013-02-11,Stifel Nicolaus,Sell,Hold,down
2013-03-18,JP Morgan,Overweight,,main
2013-04-19,Compass Point,Buy,,main
2013-05-15,BTIG Research,Neutral,Buy,down
2013-06-26,BMO Capital,Outperform,Market Perform,up
2013-07-09,JP Morgan,Overweight,,main
2013-07-10,UBS,Buy,,main
2013-07-19,Compass Point,Buy,,main
2013-09-06,Credit Suisse,Outperform,Neutral,up
2013-10-07,ISI Group,Neutral,,init
2013-10-22,Keefe Bruyette & Woods,Market Perform,Underperform,up
2014-01-24,Citigroup,Neutral,,main
2014-01-27,Compass Point,Buy,,main
2014-04-21,Barclays,Underweight,,main
2014-04-21,Compass Point,Buy,,main
2014-04-24,Deutsche Bank,Hold,,main
2014-05-01,Bernstein,Market Perform,Underperform,up
2014-05-14,Nomura,Neutral,,init
2014-07-18,JP Morgan,Overweight,,main
2014-07-18,FBR Capital,Market Perform,,main
2014-07-18,Barclays,Underweight,,main
2014-07-18,iBERIA Capital Partners,Sector Perform,Outperform,down
2014-10-15,Citigroup,Buy,,up
2014-10-16,Keefe Bruyette & Woods,Market Perform,,main
2014-10-16,FBR Capital,Market Perform,,main
2014-10-20,Deutsche Bank,Buy,Hold,up
2014-12-09,Guggenheim,Buy,,init
2015-01-27,Citigroup,Buy,,main
2015-02-05,Bank of America,Neutral,Buy,down
2015-02-08,Citigroup,Neutral,Buy,down
2015-02-09,Citigroup,Neutral,,main
2015-02-10,Deutsche Bank,Buy,,main
2015-03-03,UBS,Neutral,,init
2015-04-09,Evercore ISI Group,Hold,,init
2015-05-06,Keefe Bruyette & Woods,Underperform,Market Perform,down
2015-06-18,Stephens & Co.,Equal-Weight,,init
2015-06-29,SunTrust Robinson Humphrey,Neutral,,main
2015-07-17,Wunderlich,Buy,,main
2015-07-20,Keefe Bruyette & Woods,Market Perform,,main
2015-08-12,Keefe Bruyette & Woods,Market Perform,Underperform,up
2015-08-19,Sterne Agee CRT,Buy,,init
2015-08-26,Bernstein,Outperform,Market Perform,up
2015-10-16,Barclays,Underweight,,main
2015-10-30,Standpoint Research,Buy,,init
2015-11-02,Macquarie,Outperform,,main
2015-11-02,Citigroup,Buy,Neutral,up
2015-11-02,Keefe Bruyette & Woods,Outperform,Market Perform,up
2015-11-05,Susquehanna,Positive,Neutral,up
2015-11-09,Deutsche Bank,Hold,Buy,down
2015-11-23,PiperJaffray,Overweight,,init
2015-11-23,Jefferies,Buy,Hold,up
2016-01-06,Nomura,Buy,Neutral,up
2016-01-11,Goldman Sachs,Buy,Neutral,up
2016-01-22,FBR Capital,Market Perform,,main
2016-01-22,Stephens & Co.,Overweight,Equal-Weight,up
2016-01-26,Deutsche Bank,Hold,,main
2016-02-05,UBS,Buy,Neutral,up
2016-02-11,Nomura,Buy,,main
2016-03-10,Credit Suisse,Outperform,,main
2016-07-05,Morgan Stanley,Overweight,Equal-Weight,up
2016-07-11,FBR Capital,Outperform,Market Perform,up
2016-07-27,JP Morgan,Overweight,,main
2016-07-27,Jefferies,Buy,,main
2016-08-22,Citigroup,Buy,,main
2016-08-29,PiperJaffray,Neutral,Overweight,down
2016-10-07,Wedbush,Outperform,,init
2016-10-25,Rafferty,Buy,Hold,up
2016-11-08,Citigroup,Neutral,Buy,down
2016-11-09,Susquehanna,Neutral,Positive,down
2016-11-16,Bernstein,Market Perform,Outperform,down
2016-11-21,Standpoint Research,Hold,Buy,down
2016-11-29,Keefe Bruyette & Woods,Market Perform,Outperform,down
2016-11-30,Deutsche Bank,Hold,,main
2017-03-24,DA Davidson,Neutral,,init
2017-04-24,PiperJaffray,Overweight,Neutral,up
2017-07-10,UBS,Buy,Neutral,up
2017-07-11,Keefe Bruyette & Woods,Outperform,Market Perform,up
2017-07-21,DA Davidson,Buy,Neutral,up
2017-09-14,Bernstein,Outperform,Market Perform,up
2017-10-09,Citigroup,Neutral,,main
2017-10-10,Citigroup,Neutral,,main
2017-12-14,Stephens & Co.,Overweight,Equal-Weight,up
2017-12-14,Morgan Stanley,Overweight,,main
2018-01-25,Deutsche Bank,Buy,Hold,up
2018-04-20,BMO Capital,Outperform,Outperform,main
2018-04-24,Morgan Stanley,Overweight,Overweight,main
2018-04-24,Susquehanna,Positive,Neutral,up
2018-06-26,Argus,Buy,,init
2018-07-24,Mizuho,Overweight,Overweight,main
2018-09-18,Morgan Stanley,Overweight,Overweight,main
2018-10-12,Standpoint Research,Buy,Hold,up
2018-10-19,BMO Capital,Outperform,Outperform,main
2018-10-19,Nomura,Buy,Buy,main
2018-11-13,Nomura,Neutral,Buy,down
2018-12-03,Citigroup,Neutral,Neutral,main
2018-12-10,Nomura,Reduce,Neutral,down
2019-01-11,Sandler O'Neill,Buy,Hold,up
2019-01-18,BMO Capital,Market Perform,Outperform,down
2019-02-04,Wedbush,Neutral,Outperform,down
2019-03-29,Nomura,Neutral,Reduce,up
2019-04-04,JP Morgan,Neutral,Overweight,down
2019-06-21,Baird,Outperform,Neutral,up
2019-07-24,BMO Capital,Market Perform,,main
2019-10-03,Morgan Stanley,Overweight,,main
2019-10-03,UBS,Buy,,main
2019-10-18,Wedbush,Neutral,,main
2019-11-06,Baird,Neutral,Outperform,down
2019-11-11,Wedbush,Neutral,,main
2019-12-20,Wedbush,Outperform,Neutral,up
2020-01-06,Wells Fargo,Underweight,Equal-Weight,down
2020-03-05,Morgan Stanley,Overweight,,main
2020-03-17,Morgan Stanley,Overweight,,main
2020-03-30,Citigroup,Neutral,,main
2020-04-02,Deutsche Bank,Hold,,main
2020-04-06,Wells Fargo,Underweight,,main
2020-04-07,Nomura,Neutral,,main
2020-04-07,Morgan Stanley,Equal-Weight,Overweight,down
2020-04-17,B of A Securities,Neutral,Buy,down
2020-04-20,Argus Research,Buy,,main
2020-05-04,UBS,Neutral,Buy,down
2020-05-06,Morgan Stanley,Equal-Weight,,main
2020-06-08,Morgan Stanley,Equal-Weight,,main
2020-07-10,B of A Securities,Underperform,Neutral,down
2020-10-26,Wedbush,Neutral,Outperform,down
2020-11-03,Morgan Stanley,Equal-Weight,,main
2020-11-12,RBC Capital,Outperform,,main
2020-12-07,Morgan Stanley,Equal-Weight,,main
2021-01-07,Morgan Stanley,Equal-Weight,,main
2021-01-22,Wedbush,Neutral,,main
2021-01-22,RBC Capital,Outperform,,main
2021-01-26,Morgan Stanley,Equal-Weight,,main
2021-02-24,Morgan Stanley,Equal-Weight,,main
2021-03-03,Piper Sandler,Neutral,Overweight,down
2021-03-18,Morgan Stanley,Equal-Weight,,main
2021-04-01,Deutsche Bank,Hold,,main
2021-04-26,Wedbush,Outperform,Neutral,up
2021-04-29,Morgan Stanley,Equal-Weight,,main
2021-08-02,Morgan Stanley,Equal-Weight,,main
2021-10-22,RBC Capital,Outperform,,main
2021-10-22,Stephens & Co.,Equal-Weight,,main
2021-12-06,Morgan Stanley,Equal-Weight,,main
2021-12-15,B of A Securities,Buy,Underperform,up
2022-01-07,Odeon Capital,Buy,Hold,up
2022-01-13,UBS,Buy,,init
2022-02-08,Credit Suisse,Outperform,Neutral,up
2022-03-02,Piper Sandler,Neutral,,main
2022-03-28,Morgan Stanley,Equal-Weight,,main
2022-04-11,Wells Fargo,Overweight,Underweight,up
2022-04-11,Jefferies,Hold,Buy,down
2022-04-22,Goldman Sachs,Buy,,main
2022-04-26,Odeon Capital,Hold,Buy,down
2022-05-02,Piper Sandler,Underweight,Neutral,down
