,2021-10-31,2020-10-31,2019-10-31,2018-10-31
Research Development,811000000.0,715000000.0,688000000.0,624000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,1010000000.0,761000000.0,715000000.0,-411000000.0
Minority Interest,,,,
Net Income,894000000.0,627000000.0,621000000.0,165000000.0
Selling General Administrative,1186000000.0,1052000000.0,1112000000.0,1065000000.0
Gross Profit,3069000000.0,2533000000.0,2534000000.0,2111000000.0
Ebit,1089000000.0,778000000.0,754000000.0,435000000.0
Operating Income,1089000000.0,778000000.0,754000000.0,435000000.0
Other Operating Expenses,-17000000.0,-12000000.0,-20000000.0,-13000000.0
Interest Expense,-79000000.0,-78000000.0,-80000000.0,-83000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,116000000.0,134000000.0,94000000.0,-576000000.0
Total Revenue,4941000000.0,4221000000.0,4303000000.0,3878000000.0
Total Operating Expenses,3852000000.0,3443000000.0,3549000000.0,3443000000.0
Cost Of Revenue,1872000000.0,1688000000.0,1769000000.0,1767000000.0
Total Other Income Expense Net,-79000000.0,-17000000.0,-39000000.0,-846000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,894000000.0,627000000.0,621000000.0,165000000.0
Net Income Applicable To Common Shares,894000000.0,627000000.0,621000000.0,165000000.0
