,2021-12-25,2020-12-26,2019-12-28,2018-12-29
Research Development,140000000.0,119000000.0,112000000.0,109000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,1708000000.0,1030000000.0,2661000000.0,-11321000000.0
Minority Interest,154000000.0,140000000.0,126000000.0,121000000.0
Net Income,1012000000.0,356000000.0,1935000000.0,-10192000000.0
Selling General Administrative,3084000000.0,3165000000.0,2515000000.0,2604000000.0
Gross Profit,8695000000.0,9171000000.0,8195000000.0,9073000000.0
Ebit,5471000000.0,5887000000.0,5568000000.0,6360000000.0
Operating Income,5471000000.0,5887000000.0,5568000000.0,6360000000.0
Other Operating Expenses,,,,
Interest Expense,-2047000000.0,-1394000000.0,-1361000000.0,-1284000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,684000000.0,669000000.0,728000000.0,-1067000000.0
Total Revenue,26042000000.0,26185000000.0,24977000000.0,26268000000.0
Total Operating Expenses,20571000000.0,20298000000.0,19409000000.0,19908000000.0
Cost Of Revenue,17347000000.0,17014000000.0,16782000000.0,17195000000.0
Total Other Income Expense Net,-3763000000.0,-4857000000.0,-2907000000.0,-17681000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1024000000.0,361000000.0,1933000000.0,-10254000000.0
Net Income Applicable To Common Shares,1012000000.0,356000000.0,1935000000.0,-10192000000.0
