Date,Firm,To Grade,From Grade,Action
2015-07-06,Credit Suisse,Outperform,,init
2015-07-08,Bank of America,Buy,,init
2015-07-21,RBC Capital,Outperform,,init
2015-07-30,Bernstein,Outperform,Market Perform,up
2015-10-26,Susquehanna,Neutral,,init
2016-01-21,Susquehanna,Positive,Neutral,up
2016-02-24,UBS,Buy,,init
2016-02-26,JP Morgan,Overweight,Neutral,up
2016-02-26,Susquehanna,Positive,,main
2016-02-26,Bernstein,Outperform,,main
2016-03-16,Goldman Sachs,Buy,,main
2016-04-27,Argus,Buy,,init
2016-08-05,Stifel Nicolaus,Buy,,main
2016-08-05,UBS,Buy,,main
2016-08-05,Deutsche Bank,Buy,Hold,up
2016-08-16,Credit Suisse,Outperform,,main
2016-08-26,Susquehanna,Positive,,main
2016-08-31,Morgan Stanley,Overweight,,main
2016-09-28,Argus,Buy,,main
2017-02-15,Deutsche Bank,Buy,,init
2017-02-16,Susquehanna,Neutral,Positive,down
2017-05-25,PiperJaffray,Neutral,,init
2017-06-07,Berenberg,Buy,,init
2017-10-04,Goldman Sachs,Neutral,Buy,down
2017-10-06,PiperJaffray,Overweight,Neutral,up
2017-10-13,Morgan Stanley,Overweight,,main
2017-10-13,UBS,Buy,,main
2017-11-02,Citigroup,Neutral,,main
2017-11-02,Credit Suisse,Outperform,,main
2017-11-02,BMO Capital,Market Perform,,main
2017-11-03,Morgan Stanley,Overweight,,main
2018-01-19,Jefferies,Buy,,init
2018-02-20,BMO Capital,Market Perform,Market Perform,main
2018-02-20,Morgan Stanley,Overweight,Overweight,main
2018-02-20,JP Morgan,Overweight,Overweight,main
2018-02-20,Barclays,Overweight,Overweight,main
2018-02-20,UBS,Buy,Buy,main
2018-02-20,DZ Bank,Buy,Hold,up
2018-03-15,Societe Generale,Sell,,init
2018-03-29,Barclays,Overweight,Overweight,main
2018-04-03,Bank of America,Buy,Buy,main
2018-04-16,Credit Suisse,Underperform,Outperform,down
2018-04-18,Morgan Stanley,Overweight,Overweight,main
2018-05-03,Deutsche Bank,Buy,Buy,main
2018-05-03,Morgan Stanley,Overweight,Overweight,main
2018-05-04,BMO Capital,Market Perform,Market Perform,main
2018-05-04,DZ Bank,Sell,Buy,down
2018-11-02,Susquehanna,Negative,Neutral,down
2018-11-05,BMO Capital,Market Perform,Market Perform,main
2018-12-26,Standpoint Research,Buy,,init
2019-01-23,Guggenheim,Neutral,,init
2019-02-05,Deutsche Bank,Hold,Buy,down
2019-02-22,Barclays,Equal-Weight,Overweight,down
2019-02-22,Stifel Nicolaus,Hold,Buy,down
2019-02-22,UBS,Neutral,Buy,down
2019-02-22,JP Morgan,Neutral,Overweight,down
2019-02-22,PiperJaffray,Neutral,Overweight,down
2019-02-25,Bernstein,Market Perform,Outperform,down
2019-02-25,BMO Capital,Market Perform,Market Perform,main
2019-02-26,Argus,Hold,Buy,down
2019-03-04,Morgan Stanley,Equal-Weight,Underweight,up
2019-03-29,Wolfe Research,Underperform,Peer Perform,down
2019-04-24,PiperJaffray,Underweight,Neutral,down
2019-05-07,UBS,Neutral,Neutral,main
2019-05-31,Piper Jaffray,Neutral,Underweight,up
2019-06-12,Evercore ISI Group,In-Line,,init
2019-08-09,Bank of America,Neutral,,reit
2019-08-09,Guggenheim,Sell,Neutral,down
2019-08-12,BMO Capital,Market Perform,,main
2019-09-03,Morgan Stanley,Equal-Weight,,main
2019-11-08,Morgan Stanley,Equal-Weight,,main
2019-11-14,Goldman Sachs,Sell,Neutral,down
2020-01-17,UBS,Neutral,,main
2020-01-23,Jefferies,Hold,,init
2020-02-13,CFRA,Hold,,main
2020-02-14,Deutsche Bank,Hold,,main
2020-02-14,UBS,Neutral,,main
2020-03-13,Goldman Sachs,Neutral,Sell,up
2020-03-20,Guggenheim,Neutral,Sell,up
2020-03-23,Morgan Stanley,Equal-Weight,,main
2020-03-25,JP Morgan,Overweight,Neutral,up
2020-04-08,Morgan Stanley,Equal-Weight,,main
2020-04-17,JP Morgan,Overweight,,main
2020-05-01,Morgan Stanley,Equal-Weight,,main
2020-05-01,Stifel,Hold,,main
2020-05-01,Credit Suisse,Underperform,,main
2020-05-18,B of A Securities,Buy,Neutral,up
2020-06-08,Morgan Stanley,Equal-Weight,,main
2020-06-22,Goldman Sachs,Sell,Neutral,down
2020-07-13,Morgan Stanley,Equal-Weight,,main
2020-07-23,Guggenheim,Sell,Neutral,down
2020-07-27,Jefferies,Hold,,main
2020-07-29,Piper Sandler,Overweight,Neutral,up
2020-07-31,Morgan Stanley,Equal-Weight,,main
2020-09-16,Wells Fargo,Overweight,,main
2020-09-16,Guggenheim,Neutral,Sell,up
2020-10-30,Guggenheim,Buy,Neutral,up
2021-02-12,Morgan Stanley,Equal-Weight,,main
2021-02-19,JP Morgan,Neutral,Overweight,down
2021-03-23,Credit Suisse,Underperform,,main
2021-04-21,Deutsche Bank,Buy,,main
2021-04-23,Piper Sandler,Neutral,Overweight,down
2021-04-30,Morgan Stanley,Equal-Weight,,main
2021-05-05,DZ Bank,Hold,Buy,down
2021-08-05,Morgan Stanley,Equal-Weight,,main
2021-08-05,Credit Suisse,Underperform,,main
2021-09-22,Morgan Stanley,Equal-Weight,,main
2021-12-08,Guggenheim,Neutral,Buy,down
2022-01-11,Morgan Stanley,Equal-Weight,,main
2022-02-17,Credit Suisse,Underperform,,main
2022-02-23,Credit Suisse,Underperform,,main
2022-02-23,Deutsche Bank,Buy,,main
2022-04-28,BMO Capital,Market Perform,,main
