,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,853076000.0,1003855000.0,410244000.0,500063000.0
Minority Interest,224273000.0,77994000.0,81958000.0,100931000.0
Net Income,844059000.0,1000833000.0,410605000.0,497795000.0
Selling General Administrative,99830000.0,84517000.0,94342000.0,83997000.0
Gross Profit,946674000.0,714924000.0,821933000.0,836203000.0
Ebit,451524000.0,341452000.0,449712000.0,435573000.0
Operating Income,451524000.0,341452000.0,449712000.0,435573000.0
Other Operating Expenses,,,,
Interest Expense,-204133000.0,-186904000.0,-177395000.0,-183339000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,3380000.0,978000.0,-3317000.0,1600000.0
Total Revenue,1364585000.0,1057893000.0,1158884000.0,1164762000.0
Total Operating Expenses,913061000.0,716441000.0,709172000.0,729189000.0
Cost Of Revenue,417911000.0,342969000.0,336951000.0,328559000.0
Total Other Income Expense Net,401552000.0,662403000.0,-39468000.0,64490000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,849696000.0,1002877000.0,413561000.0,498463000.0
Net Income Applicable To Common Shares,815601000.0,971230000.0,337389000.0,429708000.0
