,2021-06-30,2020-06-30,2019-06-30,2018-06-30
Research Development,928487000.0,863864000.0,711030000.0,608531000.0
Effect Of Accounting Charges,,,,
Income Before Tax,2360454000.0,1316711000.0,1296231000.0,1455931000.0
Minority Interest,-1912000.0,15586000.0,18585000.0,18585000.0
Net Income,2078292000.0,1216785000.0,1175617000.0,802265000.0
Selling General Administrative,731441000.0,735977000.0,600848000.0,444935000.0
Gross Profit,4146569000.0,3356863000.0,2699527000.0,2590660000.0
Ebit,2486641000.0,1757022000.0,1387649000.0,1537194000.0
Operating Income,2486641000.0,1757022000.0,1387649000.0,1537194000.0
Other Operating Expenses,,,,
Interest Expense,-157328000.0,-160274000.0,-124604000.0,-114376000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,283101000.0,101686000.0,121214000.0,653666000.0
Total Revenue,6918734000.0,5806424000.0,4568904000.0,4036701000.0
Total Operating Expenses,4432093000.0,4049402000.0,3181255000.0,2499507000.0
Cost Of Revenue,2772165000.0,2449561000.0,1869377000.0,1446041000.0
Total Other Income Expense Net,-126187000.0,-440311000.0,-91418000.0,-81263000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,2077353000.0,1215025000.0,1175017000.0,802265000.0
Net Income Applicable To Common Shares,2078292000.0,1216785000.0,1175617000.0,802265000.0
