Date,Firm,To Grade,From Grade,Action
2012-02-14,Deutsche Bank,Buy,,up
2012-02-27,Deutsche Bank,Buy,,main
2012-03-19,Credit Suisse,Neutral,,main
2012-03-20,Bank oferica,Underperform,,down
2012-04-03,Deutsche Bank,Buy,,main
2012-05-09,Tudor Pickering,Accumulate,,up
2012-07-13,Citigroup,Buy,Neutral,up
2012-08-16,JP Morgan,Overweight,Neutral,up
2012-09-12,Bank of America,Neutral,Underperform,up
2012-09-26,JP Morgan,Overweight,,main
2012-10-17,Citigroup,Buy,,main
2012-12-06,Citigroup,Buy,,main
2013-01-11,Deutsche Bank,Buy,,main
2013-01-17,Credit Suisse,Outperform,,main
2013-01-22,Tudor Pickering,Hold,Accumulate,down
2013-01-31,Morgan Stanley,Equal-Weight,Overweight,down
2013-09-04,Jefferies,Hold,,init
2014-03-27,JP Morgan,Overweight,,main
2014-04-17,Barclays,Overweight,,main
2014-05-15,Goldman Sachs,Conviction Buy,Buy,up
2014-06-20,UBS,Buy,,init
2014-07-17,Barclays,Overweight,,main
2014-07-18,Raymond James,Outperform,,main
2014-08-07,Jefferies,Hold,,main
2014-08-11,Bank of America,Buy,Neutral,up
2014-08-12,Credit Suisse,Outperform,,main
2014-10-02,JP Morgan,Overweight,,main
2015-01-09,Jefferies,Hold,,main
2015-01-13,Citigroup,Neutral,,main
2015-03-23,Argus,Buy,,init
2015-04-01,Stifel Nicolaus,Buy,,init
2015-04-06,JP Morgan,Overweight,,main
2015-04-08,Goldman Sachs,Buy,,main
2015-05-19,Deutsche Bank,Buy,,init
2015-06-16,SunTrust Robinson Humphrey,Buy,,init
2015-07-14,Barclays,Overweight,,main
2015-07-29,Stifel Nicolaus,Buy,,main
2015-08-20,Jefferies,Hold,,main
2015-09-28,Bank of America,Buy,,main
2015-10-20,Deutsche Bank,Buy,,main
2015-10-22,Barclays,Overweight,,main
2015-10-22,Stifel Nicolaus,Hold,Buy,down
2015-10-22,Credit Suisse,Neutral,Outperform,down
2015-11-16,Deutsche Bank,Buy,,main
2015-11-18,Deutsche Bank,Buy,,main
2015-12-03,Argus,Hold,Buy,down
2015-12-07,Credit Suisse,Neutral,,main
2015-12-07,Barclays,Overweight,,main
2015-12-09,Deutsche Bank,Buy,,main
2015-12-09,RBC Capital,Sector Perform,Outperform,down
2015-12-09,Credit Suisse,Neutral,,main
2016-01-14,Jefferies,Hold,,main
2016-01-21,SunTrust Robinson Humphrey,Buy,,main
2016-01-28,Stifel Nicolaus,Buy,Hold,up
2016-01-28,Credit Suisse,Outperform,Neutral,up
2016-03-17,Credit Suisse,Neutral,Outperform,down
2016-04-08,Barclays,Overweight,,main
2016-04-19,BMO Capital,Market Perform,,init
2016-05-11,Bernstein,Market Perform,,init
