,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,12425000000.0,9749000000.0,10786000000.0,8225000000.0
Minority Interest,1861000000.0,1985000000.0,2117000000.0,2077000000.0
Net Income,9771000000.0,7747000000.0,8920000000.0,6434000000.0
Selling General Administrative,11984000000.0,9579000000.0,12011000000.0,11013000000.0
Gross Profit,23298000000.0,19581000000.0,22647000000.0,21233000000.0
Ebit,11321000000.0,9990000000.0,10625000000.0,10203000000.0
Operating Income,11321000000.0,9990000000.0,10625000000.0,10203000000.0
Other Operating Expenses,-7000000.0,12000000.0,11000000.0,17000000.0
Interest Expense,-1597000000.0,-1437000000.0,-946000000.0,-950000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,2621000000.0,1981000000.0,1801000000.0,1749000000.0
Total Revenue,38655000000.0,33014000000.0,37266000000.0,34300000000.0
Total Operating Expenses,27334000000.0,23024000000.0,26641000000.0,24097000000.0
Cost Of Revenue,15357000000.0,13433000000.0,14619000000.0,13067000000.0
Total Other Income Expense Net,1104000000.0,-241000000.0,161000000.0,-1978000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,9804000000.0,7768000000.0,8985000000.0,6476000000.0
Net Income Applicable To Common Shares,9771000000.0,7747000000.0,8920000000.0,6434000000.0
