,2022-01-29,2021-01-30,2020-02-01,2019-02-02
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,2051000000.0,3370000000.0,1981000000.0,3978000000.0
Minority Interest,-23000000.0,-26000000.0,-29000000.0,-51000000.0
Net Income,1655000000.0,2585000000.0,1659000000.0,3110000000.0
Selling General Administrative,24800000000.0,25863000000.0,22525000000.0,22359000000.0
Gross Profit,31333000000.0,31789000000.0,27846000000.0,27501000000.0
Ebit,3709000000.0,3179000000.0,2672000000.0,2677000000.0
Operating Income,3709000000.0,3179000000.0,2672000000.0,2677000000.0
Other Operating Expenses,,,,
Interest Expense,-571000000.0,-544000000.0,-603000000.0,-620000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,385000000.0,782000000.0,469000000.0,900000000.0
Total Revenue,137888000000.0,132498000000.0,122286000000.0,121852000000.0
Total Operating Expenses,134179000000.0,129319000000.0,119614000000.0,119175000000.0
Cost Of Revenue,106555000000.0,100709000000.0,94440000000.0,94351000000.0
Total Other Income Expense Net,-1658000000.0,191000000.0,-691000000.0,1301000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1666000000.0,2588000000.0,1512000000.0,3078000000.0
Net Income Applicable To Common Shares,1639000000.0,2556000000.0,1640000000.0,3076000000.0
