,2021-12-31,2021-01-01,2020-01-03,2018-12-28
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,967000000.0,781000000.0,866000000.0,610000000.0
Minority Interest,53000000.0,9000000.0,4000000.0,3000000.0
Net Income,753000000.0,628000000.0,667000000.0,581000000.0
Selling General Administrative,860000000.0,770000000.0,689000000.0,729000000.0
Gross Profit,2014000000.0,1737000000.0,1548000000.0,1504000000.0
Ebit,1163000000.0,1035000000.0,899000000.0,775000000.0
Operating Income,1163000000.0,1035000000.0,899000000.0,775000000.0
Other Operating Expenses,,,,
Interest Expense,-185000000.0,-182000000.0,-147000000.0,-145000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,208000000.0,152000000.0,196000000.0,28000000.0
Total Revenue,13737000000.0,12297000000.0,11094000000.0,10194000000.0
Total Operating Expenses,12574000000.0,11262000000.0,10195000000.0,9419000000.0
Cost Of Revenue,11723000000.0,10560000000.0,9546000000.0,8690000000.0
Total Other Income Expense Net,-196000000.0,-254000000.0,-33000000.0,-165000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,759000000.0,629000000.0,670000000.0,582000000.0
Net Income Applicable To Common Shares,753000000.0,628000000.0,667000000.0,581000000.0
