,2021-11-30,2020-11-30,2019-11-30,2018-11-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,5819058000.0,3123788000.0,2434292000.0,2262684000.0
Minority Interest,179857000.0,104545000.0,84313000.0,101422000.0
Net Income,4430111000.0,2465036000.0,1849052000.0,1695831000.0
Selling General Administrative,2195078000.0,2030541000.0,321188000.0,343934000.0
Gross Profit,7333336000.0,5171203000.0,2802295000.0,2334185000.0
Ebit,5684173000.0,3133314000.0,2467389000.0,2178381000.0
Operating Income,5684173000.0,3133314000.0,2467389000.0,2178381000.0
Other Operating Expenses,-545915000.0,7348000.0,13718000.0,-188130000.0
Interest Expense,-20142000.0,-22401000.0,-17620000.0,-11258000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1362509000.0,656235000.0,592173000.0,545171000.0
Total Revenue,27130676000.0,22488854000.0,22259561000.0,20571631000.0
Total Operating Expenses,21446503000.0,19355540000.0,19792172000.0,18393250000.0
Cost Of Revenue,19797340000.0,17317651000.0,19457266000.0,18237446000.0
Total Other Income Expense Net,134885000.0,-9526000.0,-33097000.0,84303000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,4456549000.0,2467553000.0,1842119000.0,1717513000.0
Net Income Applicable To Common Shares,4377192000.0,2436647000.0,1832910000.0,1680964000.0
