Date,Firm,To Grade,From Grade,Action
2012-02-10,FBN Securities,Underperform,,down
2012-03-12,Williams Financial,Hold,,init
2012-03-27,Guggenheim,Neutral,,main
2012-03-28,Goldman Sachs,Neutral,,main
2012-05-17,Williams Financial,Buy,,up
2012-06-28,Compass Point,Neutral,,main
2012-06-28,Barclays,Overweight,,main
2012-06-28,Goldman Sachs,Neutral,,main
2012-07-05,Deutsche Bank,Hold,,main
2012-07-16,MKM Partners,Buy,Neutral,up
2012-09-25,UBS,Neutral,,main
2012-09-25,JP Morgan,Overweight,,main
2012-09-25,ISI Group,Buy,,main
2012-09-25,Williams Capital,Buy,,main
2012-10-02,Citigroup,Neutral,Sell,up
2012-10-08,Deutsche Bank,Hold,,main
2012-12-07,Topeka,Hold,,init
2013-01-16,Williams Capital,Buy,,main
2013-01-29,Compass Point,Buy,Neutral,up
2013-01-30,Credit Suisse,Neutral,Outperform,down
2013-02-05,Barclays,Equal-Weight,,main
2013-02-11,Deutsche Bank,Hold,,main
2013-03-13,Sterne Agee,Neutral,,init
2013-03-19,Raymond James,Outperform,Market Perform,up
2013-04-03,FBN Securities,Sector Perform,Underperform,up
2013-04-14,Deutsche Bank,Hold,,main
2013-04-23,Barclays,Overweight,Equal-Weight,up
2013-06-10,JP Morgan,Neutral,Overweight,down
2013-06-12,Keefe Bruyette & Woods,Outperform,Market Perform,up
2013-06-21,Susquehanna,Neutral,Negative,up
2013-06-26,Goldman Sachs,Neutral,,main
2013-06-27,CRT Capital,Buy,Fair Value,up
2013-07-24,Compass Point,Neutral,Buy,down
2013-09-25,Compass Point,Neutral,,main
2013-10-11,Susquehanna,Positive,Neutral,up
2013-11-20,Raymond James,Strong Buy,Outperform,up
2013-12-13,Citigroup,Neutral,,main
2014-01-27,Barclays,Overweight,Overweight,main
2014-02-06,Goldman Sachs,Conviction Buy,Neutral,up
2014-02-11,Raymond James,Outperform,Strong Buy,down
2014-03-04,KeyBanc,Hold,Buy,down
2014-03-18,Barclays,Overweight,,main
2014-03-21,Compass Point,Neutral,,main
2014-03-21,Susquehanna,Neutral,Positive,down
2014-03-25,Barclays,Overweight,,main
2014-06-27,Barclays,Outperform,,main
2014-09-05,Bank of America,Buy,,init
2014-09-09,JP Morgan,Overweight,Neutral,up
2014-09-18,Credit Suisse,Neutral,,main
