Date,Firm,To Grade,From Grade,Action
2012-03-02,Jefferies,Hold,,main
2012-05-31,Deutsche Bank,Buy,,main
2012-06-21,Canaccord Genuity,Buy,,init
2012-07-02,Goldman Sachs,Neutral,Sell,up
2012-07-17,PiperJaffray,Neutral,Overweight,down
2012-07-17,William Blair,Market Perform,Outperform,down
2012-07-19,Goldman Sachs,Neutral,,main
2012-10-08,Deutsche Bank,Hold,,main
2012-10-18,Goldman Sachs,Neutral,,main
2012-10-18,Canaccord Genuity,Buy,,main
2012-11-19,Goldman Sachs,Sell,Neutral,down
2013-01-28,Oppenheimer,Perform,,init
2013-02-11,UBS,Neutral,,main
2013-04-11,Goldman Sachs,Neutral,Sell,up
2013-04-19,Deutsche Bank,Hold,,main
2013-07-12,Baird,Neutral,,init
2013-08-28,Craig-Hallum,Buy,,init
2013-09-12,Cantor Fitzgerald,Buy,,init
2013-09-13,Cantor Fitzgerald,Buy,,init
2013-11-19,ISI Group,Neutral,,init
2013-12-11,Citigroup,Neutral,,main
2013-12-11,Canaccord Genuity,Hold,Buy,down
2013-12-11,Deutsche Bank,Hold,,main
2013-12-18,JMP Securities,Market Perform,,init
2014-02-10,Deutsche Bank,Buy,Hold,up
2014-03-27,Citigroup,Neutral,,main
2014-04-01,UBS,Buy,,up
2014-05-09,Cantor Fitzgerald,Buy,,main
2014-07-17,William Blair,Outperform,Market Perform,up
2014-08-13,UBS,Buy,,main
2014-10-28,FBR Capital,Market Perform,,main
2014-10-29,Citigroup,Neutral,,main
2014-10-29,FBR Capital,Market Perform,,main
2014-10-29,JP Morgan,Neutral,,main
2014-11-03,Deutsche Bank,Buy,,main
2014-11-13,Deutsche Bank,Hold,Buy,down
2015-01-02,Raymond James,Outperform,Underperform,up
2015-01-05,Citigroup,Buy,,main
2015-01-08,JP Morgan,Overweight,Neutral,up
2015-01-12,Baird,Outperform,Neutral,up
2015-01-20,Evercore ISI Group,Buy,Hold,up
2015-02-02,UBS,Neutral,Buy,down
2015-02-23,Credit Suisse,Outperform,Neutral,up
2015-02-23,Morgan Stanley,Overweight,Underweight,up
2015-02-23,PiperJaffray,Overweight,Neutral,up
2015-03-02,Barclays,Overweight,,init
2015-03-03,Canaccord Genuity,Buy,Hold,up
2015-03-24,Maxim Group,Buy,,main
2015-03-27,JMP Securities,Market Outperform,,init
2015-04-28,JP Morgan,Overweight,,main
2015-04-28,Jefferies,Hold,,main
2015-06-16,KeyBanc,Overweight,,init
2015-12-08,Goldman Sachs,Neutral,Buy,down
2016-02-16,SunTrust Robinson Humphrey,Buy,,main
2016-02-23,Deutsche Bank,Hold,,main
2016-03-15,Credit Suisse,Outperform,,init
2016-04-26,Jefferies,Hold,,main
2016-04-26,Canaccord Genuity,Buy,,main
2016-04-26,UBS,Neutral,,main
2016-04-26,Barclays,Overweight,,main
2016-07-28,UBS,Neutral,,main
2016-08-16,KeyBanc,Overweight,,main
2016-09-09,Citigroup,Neutral,,init
2017-01-18,Deutsche Bank,Buy,,init
2017-02-06,Baird,Neutral,Outperform,down
