,2021-12-31,2021-01-01,2020-01-03,2019-06-28
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,2283000000.0,1322000000.0,1816000000.0,1113000000.0
Minority Interest,106000000.0,117000000.0,157000000.0,157000000.0
Net Income,1846000000.0,1119000000.0,1644000000.0,949000000.0
Selling General Administrative,2706000000.0,2786000000.0,2684000000.0,991000000.0
Gross Profit,5376000000.0,5339000000.0,5358000000.0,2334000000.0
Ebit,2670000000.0,2553000000.0,2674000000.0,1343000000.0
Operating Income,2670000000.0,2553000000.0,2674000000.0,1343000000.0
Other Operating Expenses,,,,
Interest Expense,-265000000.0,-254000000.0,-246000000.0,-167000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,440000000.0,234000000.0,146000000.0,160000000.0
Total Revenue,17814000000.0,18194000000.0,18526000000.0,6801000000.0
Total Operating Expenses,15144000000.0,15641000000.0,15852000000.0,5458000000.0
Cost Of Revenue,12438000000.0,12855000000.0,13168000000.0,4467000000.0
Total Other Income Expense Net,-387000000.0,-1231000000.0,-858000000.0,-230000000.0
Discontinued Operations,-1000000.0,-2000000.0,-2000000.0,-4000000.0
Net Income From Continuing Ops,1843000000.0,1088000000.0,1670000000.0,953000000.0
Net Income Applicable To Common Shares,1846000000.0,1119000000.0,1644000000.0,947000000.0
