Date,Firm,To Grade,From Grade,Action
2012-03-02,JP Morgan,Neutral,,up
2012-05-07,Bank oferica,Buy,,main
2012-05-18,BMO Capital,Market Perform,,init
2012-06-27,Goldman Sachs,Sell,,main
2012-07-13,Jefferies,Hold,,main
2012-07-18,Morgan Stanley,Underweight,,main
2012-07-27,Morgan Stanley,Underweight,,main
2012-07-30,Jefferies,Underperform,Hold,down
2012-08-24,Credit Suisse,Outperform,Neutral,up
2012-08-28,Atlantic Equities,Overweight,Underweight,up
2012-08-29,Bank of America,Buy,,main
2012-09-05,Bernstein,Outperform,Market Perform,up
2012-09-14,Goldman Sachs,Sell,,main
2012-09-21,UBS,Neutral,,main
2012-10-09,UBS,Neutral,,main
2012-10-09,Goldman Sachs,Neutral,Sell,up
2012-10-11,Bank of America,Buy,,main
2012-10-12,Jefferies,Underperform,,main
2012-10-12,Cowen & Co.,Underperform,Neutral,down
2012-10-15,Leerink Swann,Outperform,Market Perform,up
2012-10-26,BMO Capital,Market Perform,,main
2012-11-29,Citigroup,Buy,,main
2012-11-30,Citigroup,Buy,,init
2013-01-07,Barclays,Equal-Weight,,main
2013-01-07,UBS,Neutral,,main
2013-01-09,Bank of America,Buy,,main
2013-01-16,Jefferies,Underperform,,main
2013-01-17,CLSA,Sell,,init
2013-01-30,Citigroup,Buy,,main
2013-01-30,UBS,Neutral,,main
2013-01-30,Barclays,Equal-Weight,,main
2013-01-30,Goldman Sachs,Neutral,,main
2013-04-10,Jefferies,Underperform,,main
2013-05-28,Jefferies,Hold,Underperform,up
2013-05-29,SunTrust Robinson Humphrey,Buy,,init
2013-07-25,Barclays,Equal-Weight,,main
2013-10-08,Credit Suisse,Neutral,,init
2013-10-10,Edward Jones,Sell,Hold,up
2013-10-11,Jefferies,Underperform,Hold,down
2013-10-24,MKM Partners,Buy,Neutral,up
2013-11-11,Goldman Sachs,Sell,Neutral,down
2014-01-08,BMO Capital,Underperform,Market Perform,down
2014-01-10,Barclays,Underweight,Equal-weight,down
2014-04-01,Bank of America,Buy,,main
2014-04-03,Cowen & Co.,Outperform,Market Perform,up
2014-04-08,BMO Capital,Market Perform,Underperform,up
2014-04-14,Jefferies,Hold,,main
2014-04-14,Jefferies,Hold,Underperform,up
2014-04-23,MKM Partners,Neutral,Buy,down
2014-04-28,Leerink Swann,Outperform,,main
2014-04-29,Argus,Buy,,main
2014-07-02,Barclays,Equal-weight,Underweight,up
2014-07-14,Jefferies,Hold,,main
2014-07-29,Argus,Buy,,main
2014-07-31,Citigroup,Neutral,Buy,down
2014-08-01,Tigress Financial,Buy,,init
2014-08-11,Jefferies,Hold,,main
2014-08-27,Deutsche Bank,Buy,,init
2014-10-02,Guggenheim,Buy,,init
2014-10-13,Jefferies,Hold,,main
2014-10-27,Argus,Buy,,main
2014-12-04,Jefferies,Hold,,main
2014-12-11,Morgan Stanley,Overweight,Underweight,up
2015-01-08,Jefferies,Buy,Hold,up
2015-01-08,Deutsche Bank,Hold,Buy,down
2015-01-09,Bank of America,Neutral,Buy,down
2015-01-15,Goldman Sachs,Neutral,Sell,up
2015-01-16,Barclays,Equal-Weight,,main
2015-02-02,JP Morgan,Neutral,,main
2015-02-20,Jefferies,Buy,,main
2015-03-13,Leerink Swann,Outperform,,main
2015-03-25,SunTrust Robinson Humphrey,Buy,,main
2015-04-24,BMO Capital,Market Perform,,main
2015-04-29,Citigroup,Buy,Neutral,up
2015-06-17,PiperJaffray,Overweight,,init
2015-06-18,Argus,Buy,,main
