,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,7550000000.0,8235000000.0,7241000000.0,5838000000.0
Minority Interest,,23000000.0,44000000.0,55000000.0
Net Income,6315000000.0,6833000000.0,6230000000.0,5046000000.0
Selling General Administrative,1241000000.0,-241000000.0,608000000.0,777000000.0
Gross Profit,9097000000.0,8681000000.0,8367000000.0,7370000000.0
Ebit,7821000000.0,8877000000.0,7698000000.0,6644000000.0
Operating Income,7821000000.0,8877000000.0,7698000000.0,6644000000.0
Other Operating Expenses,35000000.0,45000000.0,61000000.0,-51000000.0
Interest Expense,-569000000.0,-591000000.0,-653000000.0,-668000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1235000000.0,1347000000.0,1011000000.0,792000000.0
Total Revenue,67044000000.0,65398000000.0,59812000000.0,53762000000.0
Total Operating Expenses,59223000000.0,56521000000.0,52114000000.0,47118000000.0
Cost Of Revenue,57947000000.0,56717000000.0,51445000000.0,46392000000.0
Total Other Income Expense Net,-271000000.0,-642000000.0,-457000000.0,-806000000.0
Discontinued Operations,,-55000000.0,-55000000.0,-55000000.0
Net Income From Continuing Ops,6315000000.0,6888000000.0,6230000000.0,5046000000.0
Net Income Applicable To Common Shares,6315000000.0,6833000000.0,6230000000.0,5046000000.0
