,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1638000000.0,423000000.0,919000000.0,1885000000.0
Minority Interest,,,,
Net Income,1405000000.0,499000000.0,886000000.0,1641000000.0
Selling General Administrative,2821000000.0,2565000000.0,2691000000.0,2418000000.0
Gross Profit,5304000000.0,3812000000.0,4589000000.0,5167000000.0
Ebit,2009000000.0,795000000.0,1441000000.0,2343000000.0
Operating Income,2009000000.0,795000000.0,1441000000.0,2343000000.0
Other Operating Expenses,437000000.0,415000000.0,431000000.0,397000000.0
Interest Expense,-270000000.0,-284000000.0,-326000000.0,-297000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,233000000.0,-76000000.0,33000000.0,244000000.0
Total Revenue,19230000000.0,17439000000.0,17258000000.0,16424000000.0
Total Operating Expenses,17221000000.0,16644000000.0,15817000000.0,14081000000.0
Cost Of Revenue,13926000000.0,13627000000.0,12669000000.0,11257000000.0
Total Other Income Expense Net,-371000000.0,-372000000.0,-522000000.0,-458000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1405000000.0,499000000.0,886000000.0,1641000000.0
Net Income Applicable To Common Shares,1405000000.0,499000000.0,886000000.0,1641000000.0
