Date,Firm,To Grade,From Grade,Action
2012-07-10,JP Morgan,Neutral,,main
2012-07-18,UBS,Buy,,init
2012-08-10,UBS,Buy,,main
2012-10-01,Barclays,Underweight,,main
2013-01-08,Deutsche Bank,Hold,,init
2013-01-10,Citigroup,Neutral,,init
2013-02-15,Deutsche Bank,Hold,,main
2013-02-27,Bank of America,Buy,Neutral,up
2013-03-11,Bank of America,Buy,,main
2013-04-03,JP Morgan,Neutral,,main
2013-05-16,Credit Suisse,Underperform,Neutral,down
2013-06-19,Keefe Bruyette & Woods,Market Perform,Outperform,down
2013-07-18,Deutsche Bank,Buy,Hold,up
2013-09-04,Barclays,Equal-Weight,Underweight,up
2013-10-16,Raymond James,Outperform,Strong Buy,down
2013-11-15,Deutsche Bank,Buy,,main
2013-11-22,Scotiabank,Sector Underperform,Sector Perform,down
2014-04-14,Raymond James,Strong Buy,Outperform,down
2014-04-16,Barclays,Overweight,Equal-Weight,up
2014-05-01,Keefe Bruyette & Woods,Market Perform,,init
2014-07-01,JP Morgan,Neutral,,main
2014-07-09,Citigroup,Neutral,,main
2014-07-14,Deutsche Bank,Buy,,main
2014-07-17,Sterne Agee,Neutral,,main
2014-07-31,Credit Suisse,Underperform,,main
2014-10-13,Sterne Agee,Neutral,,main
2014-10-30,Credit Suisse,Underperform,,main
2014-11-03,Deutsche Bank,Hold,Buy,down
2014-11-21,Citigroup,Neutral,,main
2014-11-21,Barclays,Overweight,,main
2014-12-15,Keefe Bruyette & Woods,Market Perform,,main
2015-01-07,Deutsche Bank,Hold,,main
2015-01-27,Keefe Bruyette & Woods,Market Perform,,main
2015-02-09,Deutsche Bank,Hold,,main
2015-04-22,Keefe Bruyette & Woods,Market Perform,,main
2015-04-30,Barclays,Overweight,,main
2015-05-05,Deutsche Bank,Hold,,main
2015-05-15,Goldman Sachs,Neutral,,init
2015-07-02,Citigroup,Neutral,,main
2015-07-15,Deutsche Bank,Hold,,main
2015-07-15,Raymond James,Outperform,Strong Buy,down
2015-08-13,Morgan Stanley,Overweight,Equal-Weight,up
2015-08-27,Sandler O'Neill,Buy,,init
2015-09-10,Goldman Sachs,Buy,Neutral,up
2015-09-29,PiperJaffray,Overweight,Neutral,up
2015-10-05,JP Morgan,Neutral,,main
2015-10-12,Keefe Bruyette & Woods,Market Perform,,main
2016-01-13,Wells Fargo,Market Perform,Outperform,down
2016-01-14,Deutsche Bank,Hold,,main
2016-01-22,Raymond James,Strong Buy,Outperform,up
2016-02-04,Macquarie,Outperform,,main
2016-02-04,Barclays,Overweight,,main
2016-02-08,FBR Capital,Outperform,,main
2016-04-06,Citigroup,Neutral,,main
2016-04-14,Macquarie,Neutral,Outperform,down
2016-06-29,Bank of America,Neutral,Buy,down
2016-07-07,Citigroup,Neutral,,main
2016-07-07,Deutsche Bank,Hold,,main
2016-07-15,Goldman Sachs,Neutral,Buy,down
2016-09-30,Barclays,Overweight,,main
2016-10-07,Credit Suisse,Neutral,,init
2016-11-09,FBR Capital,Market Perform,Outperform,down
2016-12-09,RBC Capital,Outperform,Sector Perform,up
2016-12-14,Morgan Stanley,Equal-Weight,Overweight,down
2017-01-26,Citigroup,Buy,,init
2017-04-06,Bank of America,Buy,Neutral,up
2017-08-11,Barclays,Overweight,,main
2017-10-05,Morgan Stanley,Equal-Weight,,main
2017-10-18,Goldman Sachs,Sell,,init
2017-11-02,Morgan Stanley,Equal-Weight,,main
2017-11-13,Morgan Stanley,Equal-Weight,,main
2018-01-02,JP Morgan,Overweight,Neutral,up
2018-03-02,UBS,Neutral,,init
2018-04-25,Credit Suisse,Neutral,,init
2018-05-04,Deutsche Bank,Buy,Buy,main
2018-05-21,Deutsche Bank,Buy,Buy,main
2018-07-09,Barclays,Overweight,Overweight,main
2018-07-11,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-07-16,B. Riley FBR,Neutral,Neutral,main
2018-08-07,B. Riley FBR,Neutral,Neutral,main
2018-08-17,Credit Suisse,Neutral,Neutral,main
2018-09-10,Goldman Sachs,Neutral,Sell,up
2018-10-08,UBS,Neutral,Neutral,main
