,2022-01-28,2021-01-29,2020-01-31,2019-02-01
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,11208000000.0,7739000000.0,5623000000.0,3394000000.0
Minority Interest,,,,
Net Income,8442000000.0,5835000000.0,4281000000.0,2314000000.0
Selling General Administrative,18139000000.0,17292000000.0,15282000000.0,16461000000.0
Gross Profit,32056000000.0,29582000000.0,22943000000.0,22908000000.0
Ebit,12255000000.0,10892000000.0,6422000000.0,4970000000.0
Operating Income,12255000000.0,10892000000.0,6422000000.0,4970000000.0
Other Operating Expenses,,,,
Interest Expense,-897000000.0,-872000000.0,-718000000.0,-652000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,2766000000.0,1904000000.0,1342000000.0,1080000000.0
Total Revenue,96250000000.0,89597000000.0,72148000000.0,71309000000.0
Total Operating Expenses,83995000000.0,78705000000.0,65726000000.0,66339000000.0
Cost Of Revenue,64194000000.0,60015000000.0,49205000000.0,48401000000.0
Total Other Income Expense Net,-1047000000.0,-3153000000.0,-799000000.0,-1576000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,8442000000.0,5835000000.0,4281000000.0,2314000000.0
Net Income Applicable To Common Shares,8409000000.0,5811000000.0,4268000000.0,2307000000.0
