,2021-06-27,2020-06-28,2019-06-30,2018-06-24
Research Development,1493408000.0,1252412000.0,1191320000.0,1189514000.0
Effect Of Accounting Charges,,,,
Income Before Tax,4370804000.0,2574978000.0,2446571000.0,3151789000.0
Minority Interest,,,,
Net Income,3908458000.0,2251753000.0,2191430000.0,2380681000.0
Selling General Administrative,829875000.0,682479000.0,702407000.0,762219000.0
Gross Profit,6805306000.0,4608693000.0,4358459000.0,5165032000.0
Ebit,4482023000.0,2673802000.0,2464732000.0,3213299000.0
Operating Income,4482023000.0,2673802000.0,2464732000.0,3213299000.0
Other Operating Expenses,,,,
Interest Expense,-208597000.0,-177440000.0,-117263000.0,-97387000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,462346000.0,323225000.0,255141000.0,771108000.0
Total Revenue,14626150000.0,10044736000.0,9653559000.0,11076998000.0
Total Operating Expenses,10144127000.0,7370934000.0,7188827000.0,7863699000.0
Cost Of Revenue,7820844000.0,5436043000.0,5295100000.0,5911966000.0
Total Other Income Expense Net,-111219000.0,-98824000.0,-18161000.0,-61510000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,3908458000.0,2251753000.0,2191430000.0,2380681000.0
Net Income Applicable To Common Shares,3908458000.0,2251753000.0,2191430000.0,2380681000.0
