Date,Firm,To Grade,From Grade,Action
2012-02-21,JP Morgan,Neutral,,down
2012-04-19,Bank oferica,Underperform,,main
2012-05-16,JP Morgan,Underweight,,down
2012-06-04,Citigroup,Buy,,main
2012-07-26,Citigroup,Buy,,main
2012-09-19,Citigroup,Neutral,Buy,down
2012-10-03,JP Morgan,Underweight,,main
2012-10-12,Stifel Nicolaus,Buy,,main
2012-10-18,Citigroup,Neutral,,main
2012-10-18,PiperJaffray,Overweight,,main
2012-11-06,Susquehanna,Positive,Neutral,up
2012-11-09,Barclays,Overweight,,main
2013-01-02,DA Davidson,Buy,,init
2013-01-03,Barclays,Equal-Weight,Overweight,down
2013-01-18,UBS,Buy,,main
2013-01-24,PiperJaffray,Overweight,,main
2013-01-24,DA Davidson,Buy,,main
2013-01-25,Citigroup,Neutral,,main
2013-04-11,Cowen & Co.,Outperform,Neutral,up
2013-05-22,Standpoint Research,Hold,Buy,down
2013-06-03,Deutsche Bank,Buy,,main
2013-06-25,CLSA,Buy,Outperform,up
2013-06-26,Bank of America,Buy,Underperform,up
2013-07-22,RBC Capital,Outperform,,init
2013-07-23,RBC Capital,Outperform,,init
2013-08-01,Stifel Nicolaus,Buy,,main
2013-08-28,Northland Securities,Outperform,,init
2013-10-14,JP Morgan,Overweight,,init
2013-10-21,Stifel Nicolaus,Buy,,main
2013-10-24,Stifel Nicolaus,Buy,,main
2013-10-24,DA Davidson,Buy,,main
2013-10-24,Goldman Sachs,Buy,Neutral,up
2013-11-11,Susquehanna,Neutral,Positive,down
2014-01-30,Stifel Nicolaus,Buy,,main
2014-01-30,DA Davidson,Buy,,main
2014-02-03,RBC Capital,Sector Perform,Outperform,down
2014-03-20,Nomura,Buy,,init
2014-04-10,ISI Group,Strong Buy,,init
2014-04-24,Deutsche Bank,Buy,,main
2014-04-24,Credit Suisse,Outperform,,main
2014-04-24,Citigroup,Hold,,main
2014-04-24,B. Riley FBR,Buy,,main
2014-04-24,Nomura,Buy,,main
2014-04-24,Pacific Crest,Outperform,,main
2014-06-25,Citigroup,Neutral,,main
2014-06-27,Deutsche Bank,Buy,,main
2014-07-09,Nomura,Buy,,main
2014-07-11,Jefferies,Buy,,main
2014-07-31,JP Morgan,Overweight,,main
2014-07-31,Credit Suisse,Outperform,,main
2014-07-31,Citigroup,Neutral,,main
2014-10-23,JP Morgan,Overweight,,main
2014-10-23,Jefferies,Buy,,main
2014-11-28,Berenberg,Buy,,init
2014-12-08,Deutsche Bank,Buy,,main
2014-12-08,Bank of America,Buy,,main
2014-12-09,Stifel Nicolaus,Buy,,main
2014-12-10,Nomura,Buy,,main
2014-12-18,Citigroup,Buy,,main
2015-01-26,DA Davidson,Buy,,main
2015-01-29,JP Morgan,Overweight,,main
2015-01-29,Jefferies,Buy,,main
2015-01-29,Credit Suisse,Outperform,,main
2015-04-14,KeyBanc,Overweight,,main
2015-07-10,Susquehanna,Neutral,,main
2015-09-17,Pacific Crest,Overweight,,main
2015-09-21,Susquehanna,Neutral,,main
2015-09-25,CLSA,Buy,Outperform,up
2015-10-05,RBC Capital,Underperform,Sector Perform,down
2015-10-08,KeyBanc,Overweight,,main
2015-10-22,B. Riley FBR,Buy,,main
2015-12-15,Morgan Stanley,Overweight,,init
2016-01-28,B. Riley FBR,Buy,,main
2016-03-16,RBC Capital,Outperform,,init
2016-04-21,B. Riley FBR,Buy,,main
2016-07-28,Morgan Stanley,Overweight,,main
2016-07-28,Pacific Crest,Overweight,,main
2016-07-28,Stifel Nicolaus,Buy,,main
2016-07-28,UBS,Buy,,main
2016-07-28,Deutsche Bank,Buy,,main
2016-07-29,Citigroup,Buy,,main
2016-08-11,Nomura,Neutral,Buy,down
2016-08-12,Citigroup,Buy,,main
2016-10-06,DA Davidson,Buy,,main
2016-10-06,Citigroup,Buy,,main
2016-10-12,Pacific Crest,Sector Weight,Overweight,down
2016-10-20,B. Riley FBR,Buy,,main
2016-12-19,Goldman Sachs,Buy,Neutral,up
2017-03-16,Pacific Crest,Overweight,Sector Weight,up
2017-08-03,Citigroup,Neutral,Buy,down
2017-09-12,Argus,Buy,,init
2017-10-18,Bank of America,Buy,,main
2017-10-18,Credit Suisse,Outperform,,main
2017-10-18,Citigroup,Neutral,,main
2017-10-18,Morgan Stanley,Overweight,,main
2017-10-18,B. Riley FBR,Buy,,main
2017-10-19,Argus,Buy,,main
2017-12-07,Instinet,Buy,Neutral,up
2018-01-16,Susquehanna,Positive,Neutral,up
2018-01-25,KeyBanc,Overweight,Overweight,main
2018-01-25,JP Morgan,Overweight,Overweight,main
2018-01-25,Morgan Stanley,Overweight,Overweight,main
2018-03-07,KeyBanc,Overweight,Overweight,main
2018-03-15,FBN Securities,Outperform,,init
2018-03-27,Mizuho,Buy,,init
2018-04-05,UBS,Neutral,,init
2018-04-18,Credit Suisse,Outperform,Outperform,main
2018-04-18,B. Riley FBR,Buy,Buy,main
2018-04-18,Stifel Nicolaus,Buy,Buy,main
2018-04-18,KeyBanc,Overweight,Overweight,main
2018-05-14,Citigroup,Buy,Neutral,up
2018-06-11,Bank of America,Buy,Buy,main
2018-06-13,RBC Capital,Sector Perform,Outperform,down
2018-06-26,UBS,Buy,Neutral,up
2018-07-13,Citigroup,Buy,Buy,main
2018-07-27,KeyBanc,Overweight,Overweight,main
2018-07-27,JP Morgan,Overweight,Overweight,main
2018-07-27,Morgan Stanley,Overweight,Overweight,main
2018-07-27,Stifel Nicolaus,Buy,Buy,main
2018-07-30,Citigroup,Buy,Buy,main
2018-08-28,Bank of America,Neutral,Buy,down
2018-09-12,Goldman Sachs,Neutral,Buy,down
2018-09-25,Citigroup,Buy,Buy,main
2018-09-26,UBS,Neutral,Buy,down
2018-10-01,Deutsche Bank,Hold,Buy,down
2018-10-01,Mizuho,Neutral,Buy,down
2018-10-17,KeyBanc,Overweight,Overweight,main
2018-10-23,Susquehanna,Neutral,Positive,down
2018-10-29,B. Riley FBR,Neutral,Buy,down
2018-12-21,Needham,Buy,,init
2019-01-29,RBC Capital,Outperform,Sector Perform,up
2019-02-22,Morgan Stanley,Equal-Weight,Overweight,down
2019-02-25,Deutsche Bank,Hold,Hold,main
2019-04-22,B. Riley FBR,Buy,Neutral,up
2019-04-25,UBS,Neutral,Neutral,main
2019-04-25,KeyBanc,Overweight,Overweight,main
2019-04-25,B. Riley FBR,Buy,Buy,main
2019-04-25,Deutsche Bank,Hold,Hold,main
2019-06-12,Evercore ISI Group,In-Line,Outperform,down
2019-06-20,Wells Fargo,Market Perform,,init
2019-07-08,DA Davidson,Neutral,Buy,down
2019-07-22,Goldman Sachs,Buy,Neutral,up
2019-08-01,Wells Fargo,Market Perform,,main
2019-08-01,KeyBanc,Overweight,,main
2019-09-03,Evercore ISI Group,Outperform,In-Line,up
2019-09-18,Nomura,Neutral,,init
2019-09-19,Wells Fargo,Market Perform,,main
2019-09-23,Citigroup,Buy,,main
2019-10-21,B. Riley,Buy,,main
2019-10-24,KeyBanc,Overweight,,main
2019-10-24,Citi,Buy,,main
2019-10-24,Needham,Buy,,main
