,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,2701000000.0,-782000000.0,-4766000000.0,-1563000000.0
Minority Interest,,,,
Net Income,2033000000.0,-1232000000.0,-5269000000.0,-1733000000.0
Selling General Administrative,3181000000.0,3323000000.0,3557000000.0,4165000000.0
Gross Profit,11199000000.0,11778000000.0,12324000000.0,12581000000.0
Ebit,4020000000.0,3745000000.0,3938000000.0,3296000000.0
Operating Income,4020000000.0,3745000000.0,3938000000.0,3296000000.0
Other Operating Expenses,,,,
Interest Expense,-1522000000.0,-1668000000.0,-2021000000.0,-2177000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,668000000.0,450000000.0,503000000.0,170000000.0
Total Revenue,19687000000.0,20712000000.0,21458000000.0,22580000000.0
Total Operating Expenses,15667000000.0,16967000000.0,17520000000.0,19284000000.0
Cost Of Revenue,8488000000.0,8934000000.0,9134000000.0,9999000000.0
Total Other Income Expense Net,-1319000000.0,-4527000000.0,-8704000000.0,-4859000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,2033000000.0,-1232000000.0,-5269000000.0,-1733000000.0
Net Income Applicable To Common Shares,2033000000.0,-1232000000.0,-5269000000.0,-1733000000.0
