,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-1474000000.0,-1876000000.0,3600000000.0,3326000000.0
Minority Interest,252000000.0,565000000.0,1320000000.0,1061000000.0
Net Income,-961000000.0,-1685000000.0,2698000000.0,2413000000.0
Selling General Administrative,1207000000.0,1039000000.0,1506000000.0,1732000000.0
Gross Profit,2828000000.0,1633000000.0,9958000000.0,10845000000.0
Ebit,-662000000.0,-1320000000.0,3446000000.0,3901000000.0
Operating Income,-662000000.0,-1320000000.0,3446000000.0,3901000000.0
Other Operating Expenses,1220000000.0,812000000.0,3930000000.0,4090000000.0
Interest Expense,-621000000.0,-523000000.0,-449000000.0,-446000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-5000000.0,24000000.0,432000000.0,375000000.0
Total Revenue,4234000000.0,2940000000.0,12127000000.0,13729000000.0
Total Operating Expenses,4896000000.0,4260000000.0,8681000000.0,9828000000.0
Cost Of Revenue,1406000000.0,1307000000.0,2169000000.0,2884000000.0
Total Other Income Expense Net,-812000000.0,-556000000.0,154000000.0,-575000000.0
Discontinued Operations,193000000.0,-243000000.0,136000000.0,136000000.0
Net Income From Continuing Ops,-1469000000.0,-1900000000.0,3168000000.0,2951000000.0
Net Income Applicable To Common Shares,-961000000.0,-1685000000.0,2698000000.0,2413000000.0
