Date,Firm,To Grade,From Grade,Action
2012-03-01,Bank oferica,Buy,,main
2012-03-05,Credit Suisse,Outperform,,main
2012-03-22,Morgan Stanley,Overweight,,main
2012-03-26,Stifel Nicolaus,Buy,,main
2012-03-26,Brean Capital,Buy,,main
2012-03-29,Bank oferica,Buy,,main
2012-04-23,Sterne Agee,Buy,,main
2012-04-26,UBS,Buy,,main
2012-04-26,Brean Capital,Buy,,main
2012-04-26,Citigroup,Buy,,main
2012-05-21,UBS,Buy,,main
2012-06-07,UBS,Buy,,main
2012-07-03,Topeka,Buy,,main
2012-07-10,Cantor Fitzgerald,Buy,,init
2012-07-10,JP Morgan,Overweight,,main
2012-07-11,Citigroup,Buy,,main
2012-07-17,Susquehanna,Positive,Neutral,up
2012-07-17,RBC Capital,Outperform,,init
2012-07-26,Barclays,Overweight,,main
2012-07-26,Cantor Fitzgerald,Buy,,main
2012-07-26,Phillip Securities,Neutral,Accumulate,down
2012-07-30,Topeka,Buy,,main
2012-07-31,Argus,Hold,Buy,down
2012-08-22,Imperial Capital,Outperform,In-Line,up
2012-09-04,Cantor Fitzgerald,Buy,,main
2012-09-14,Deutsche Bank,Buy,,main
2012-10-01,ISI Group,Hold,,init
2012-10-02,ISI Group,Hold,,init
2012-11-02,Compass Point,Hold,,main
2012-11-02,Stifel Nicolaus,Buy,,main
2012-11-02,Cantor Fitzgerald,Hold,Buy,down
2012-12-04,Craig-Hallum,Buy,,init
2012-12-14,UBS,Buy,,main
2013-01-07,UBS,Buy,,main
2013-01-08,Stifel Nicolaus,Buy,,main
2013-01-10,Deutsche Bank,Buy,,main
2013-01-18,Wells Fargo,Outperform,Market Perform,up
2013-01-18,Wells Fargo,Outperform,Market Perform,up
2013-01-23,Compass Point,Neutral,Sell,up
2013-01-31,Nomura,Buy,,main
2013-01-31,Credit Suisse,Outperform,,main
2013-01-31,Craig-Hallum,Hold,Buy,down
2013-01-31,Stifel Nicolaus,Buy,,main
2013-01-31,UBS,Buy,,main
2013-02-12,Argus Capital,Buy,Hold,up
2013-03-25,Morgan Stanley,Overweight,,main
