,2021-05-30,2020-05-31,2019-05-26,2018-05-27
Research Development,12900000.0,15400000.0,15400000.0,13500000.0
Effect Of Accounting Charges,,,,
Income Before Tax,408300000.0,478200000.0,620800000.0,554900000.0
Minority Interest,,,,55600000.0
Net Income,317800000.0,365900000.0,478600000.0,416800000.0
Selling General Administrative,336600000.0,322800000.0,316400000.0,281900000.0
Gross Profit,832000000.0,895200000.0,1003500000.0,879500000.0
Ebit,482500000.0,557000000.0,671700000.0,584100000.0
Operating Income,482500000.0,557000000.0,671700000.0,584100000.0
Other Operating Expenses,,,,
Interest Expense,-118300000.0,-108000000.0,-107100000.0,-108800000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,90500000.0,112300000.0,133600000.0,121200000.0
Total Revenue,3670900000.0,3792400000.0,3756500000.0,3423700000.0
Total Operating Expenses,3188400000.0,3235400000.0,3084800000.0,2839600000.0
Cost Of Revenue,2838900000.0,2897200000.0,2753000000.0,2544200000.0
Total Other Income Expense Net,-74200000.0,-78800000.0,-50900000.0,-29200000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,317800000.0,365900000.0,487200000.0,433700000.0
Net Income Applicable To Common Shares,317800000.0,365900000.0,467800000.0,414100000.0
