,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,124000000.0,113000000.0,111000000.0,115000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,6779000000.0,1379000000.0,4045000000.0,5309000000.0
Minority Interest,130000000.0,133000000.0,135000000.0,139000000.0
Net Income,5610000000.0,1420000000.0,3390000000.0,4688000000.0
Selling General Administrative,1261000000.0,1137000000.0,1199000000.0,1037000000.0
Gross Profit,8776000000.0,3394000000.0,5426000000.0,6475000000.0
Ebit,7391000000.0,2144000000.0,4116000000.0,5323000000.0
Operating Income,7391000000.0,2144000000.0,4116000000.0,5323000000.0
Other Operating Expenses,,,,
Interest Expense,-526000000.0,-533000000.0,-354000000.0,-362000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1163000000.0,-43000000.0,648000000.0,613000000.0
Total Revenue,46173000000.0,27753000000.0,34727000000.0,39004000000.0
Total Operating Expenses,38782000000.0,25609000000.0,30611000000.0,33681000000.0
Cost Of Revenue,37397000000.0,24359000000.0,29301000000.0,32529000000.0
Total Other Income Expense Net,-612000000.0,-765000000.0,-71000000.0,-14000000.0
Discontinued Operations,-6000000.0,-2000000.0,-7000000.0,-8000000.0
Net Income From Continuing Ops,5616000000.0,1422000000.0,3397000000.0,4696000000.0
Net Income Applicable To Common Shares,5596000000.0,1417000000.0,3384000000.0,4682000000.0
