,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,10307000000.0,7760000000.0,9731000000.0,7204000000.0
Minority Interest,100000000.0,126000000.0,98000000.0,94000000.0
Net Income,8687000000.0,6411000000.0,8118000000.0,5859000000.0
Selling General Administrative,7890000000.0,6559000000.0,6694000000.0,6073000000.0
Gross Profit,18884000000.0,15301000000.0,16883000000.0,14950000000.0
Ebit,10268000000.0,8162000000.0,9667000000.0,8418000000.0
Operating Income,10268000000.0,8162000000.0,9667000000.0,8418000000.0
Other Operating Expenses,,,,
Interest Expense,-431000000.0,-380000000.0,-224000000.0,-186000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1620000000.0,1349000000.0,1613000000.0,1345000000.0
Total Revenue,18884000000.0,15301000000.0,16883000000.0,14950000000.0
Total Operating Expenses,8616000000.0,7139000000.0,7216000000.0,6532000000.0
Cost Of Revenue,0.0,0.0,0.0,0.0
Total Other Income Expense Net,39000000.0,-402000000.0,64000000.0,-1214000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,8687000000.0,6411000000.0,8118000000.0,5859000000.0
Net Income Applicable To Common Shares,8687000000.0,6411000000.0,8118000000.0,5859000000.0
