Date,Firm,To Grade,From Grade,Action
2012-02-24,Deutsche Bank,Buy,,main
2012-03-01,UBS,Neutral,,init
2012-04-05,Oppenheimer,Outperform,,main
2012-04-09,Stifel Nicolaus,Buy,,main
2012-04-13,Citigroup,Neutral,,main
2012-05-01,JP Morgan,Overweight,,main
2012-05-02,Guggenheim,Buy,,main
2012-05-03,Meredith Whitney Advisory Group,Outperform,,main
2012-05-03,JP Morgan,Overweight,,main
2012-05-03,Deutsche Bank,Buy,,main
2012-05-17,Goldman Sachs,Neutral,,main
2012-06-06,Stifel Nicolaus,Buy,,main
2012-06-21,Morgan Stanley,Overweight,,main
2012-07-09,UBS,Sell,Neutral,down
2012-08-02,Deutsche Bank,Buy,,main
2012-08-02,JP Morgan,Overweight,,main
2012-09-12,Pacific Crest,Outperform,,init
2012-09-21,Sterne Agee,Buy,,main
2012-09-21,Citigroup,Buy,Neutral,up
2012-10-19,Jefferies,Buy,,main
2012-11-01,Credit Suisse,Outperform,,main
2012-11-01,Stifel Nicolaus,Buy,,main
2012-11-01,UBS,Sell,,main
2012-11-01,Barclays,Overweight,,main
2012-12-10,Nomura,Buy,,main
2013-01-09,Goldman Sachs,Buy,Neutral,up
2013-01-30,UBS,Sell,,main
2013-02-01,Wells Fargo,Market Perform,Outperform,down
2013-02-21,UBS,Neutral,Sell,up
2013-02-21,UBS,Neutral,Sell,up
2013-03-06,Argus Capital,Hold,Buy,down
2013-04-01,Jefferies,Buy,,main
2013-04-12,Sterne Agee,Neutral,Buy,down
2013-05-02,Stifel Nicolaus,Buy,,main
2013-05-02,Nomura,Buy,,main
2013-05-02,Raymond James,Market Perform,Outperform,down
2013-06-18,Morgan Stanley,Overweight,,init
2013-07-15,Deutsche Bank,Buy,,main
2013-07-22,Nomura,Buy,,main
2013-09-12,Jefferies,Buy,,main
2013-09-12,Goldman Sachs,Buy,,main
2013-09-12,Oppenheimer,Outperform,,main
2013-10-24,Jefferies,Buy,,main
2013-10-28,Baird,Neutral,,main
2013-11-01,Nomura,Buy,,main
2013-12-11,Credit Suisse,Outperform,,main
2013-12-16,Bank of America,Buy,,main
2014-01-27,Sandler O'Neill,Hold,,init
2014-01-28,JP Morgan,Overweight,,main
2014-02-03,FBR Capital,Market Perform,Outperform,down
2014-02-03,Susquehanna,Positive,Neutral,up
2014-04-14,Baird,Outperform,,up
2014-04-14,Pacific Crest,Sector Perform,,init
