,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,564339000.0,267342000.0,370314000.0,233633000.0
Minority Interest,188730000.0,216775000.0,220894000.0,222349000.0
Net Income,533791000.0,254962000.0,353811000.0,222899000.0
Selling General Administrative,52884000.0,46858000.0,43845000.0,38855000.0
Gross Profit,1051185000.0,985213000.0,973161000.0,929125000.0
Ebit,464868000.0,427513000.0,432473000.0,400511000.0
Operating Income,464868000.0,427513000.0,432473000.0,400511000.0
Other Operating Expenses,,,,
Interest Expense,-156881000.0,-167562000.0,-179847000.0,-173594000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,13637000.0,3327000.0,3696000.0,2611000.0
Total Revenue,1778082000.0,1677984000.0,1641017000.0,1571346000.0
Total Operating Expenses,1313214000.0,1250471000.0,1208544000.0,1170835000.0
Cost Of Revenue,726897000.0,692771000.0,667856000.0,642221000.0
Total Other Income Expense Net,99471000.0,-160171000.0,-62159000.0,-166878000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,550702000.0,264015000.0,366618000.0,231022000.0
Net Income Applicable To Common Shares,529564000.0,250936000.0,349604000.0,218920000.0
