,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1180000000.0,-466000000.0,1599000000.0,2345000000.0
Minority Interest,,,,
Net Income,1099000000.0,-267000000.0,1273000000.0,1907000000.0
Selling General Administrative,1311000000.0,1038000000.0,1789000000.0,1587000000.0
Gross Profit,2653000000.0,1442000000.0,4057000000.0,3909000000.0
Ebit,1712000000.0,467000000.0,2037000000.0,2521000000.0
Operating Income,1712000000.0,467000000.0,2037000000.0,2521000000.0
Other Operating Expenses,-590000000.0,-293000000.0,-11000000.0,-425000000.0
Interest Expense,-420000000.0,-445000000.0,-394000000.0,-340000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,81000000.0,-199000000.0,326000000.0,438000000.0
Total Revenue,3415000000.0,2119000000.0,5373000000.0,5215000000.0
Total Operating Expenses,1703000000.0,1652000000.0,3336000000.0,2694000000.0
Cost Of Revenue,762000000.0,677000000.0,1316000000.0,1306000000.0
Total Other Income Expense Net,-532000000.0,-933000000.0,-438000000.0,-176000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1099000000.0,-267000000.0,1273000000.0,1907000000.0
Net Income Applicable To Common Shares,1099000000.0,-267000000.0,1273000000.0,1907000000.0
