Date,Firm,To Grade,From Grade,Action
2012-03-01,Cantor Fitzgerald,Buy,,init
2012-04-11,Cantor Fitzgerald,Buy,,init
2012-04-20,ISI Group,Hold,,main
2012-05-15,Deutsche Bank,Hold,,init
2012-05-29,McNicoll Lewis Vlak,Hold,,init
2012-07-12,Deutsche Bank,Hold,,main
2012-07-13,McNicoll Lewis Vlak,Hold,,main
2012-07-13,ISI Group,Buy,Hold,up
2012-07-13,Goldman Sachs,Buy,,main
2012-07-20,SunTrust Robinson Humphrey,Neutral,,init
2012-07-23,Goldman Sachs,Buy,,main
2012-09-14,Nomura,Buy,,main
2012-09-20,JP Morgan,Neutral,Overweight,down
2012-09-26,Keefe Bruyette & Woods,Market Perform,Outperform,down
2012-10-04,Citigroup,Buy,,main
2012-10-05,ISI Group,Hold,Buy,down
2012-10-05,McNicoll Lewis Vlak,Hold,,main
2012-10-05,UBS,Neutral,Buy,down
2012-10-05,UBS,Neutral,Buy,down
2012-10-05,ISI Group,Hold,Buy,down
2012-10-05,Barclays,Equal-Weight,,main
2012-10-11,Goldman Sachs,Neutral,Buy,down
2012-11-19,Jefferies,Hold,,init
2013-01-02,SunTrust Robinson Humphrey,Buy,Neutral,up
2013-01-14,Cantor Fitzgerald,Buy,,main
2013-01-15,BMO Capital,Market Perform,,init
2013-01-15,JP Morgan,Neutral,,main
2013-02-21,BMO Capital,Market Perform,,main
2013-02-21,Nomura,Buy,,main
2013-02-25,Goldman Sachs,Neutral,,main
2013-04-09,Macquarie,Outperform,,init
2013-05-03,Credit Suisse,Outperform,,main
2013-05-29,Evercore Partners,Overweight,,init
2013-06-03,ISI Group,Buy,Neutral,up
2013-07-02,Oddo Securities,Neutral,Reduce,up
2013-09-11,UBS,Buy,Neutral,up
2013-10-23,Morgan Stanley,Equal-Weight,,init
2013-11-01,Nomura,Buy,,main
2013-12-16,Nomura,Buy,,main
2014-01-13,Jefferies,Underperform,,down
2014-01-13,Bank of America,Buy,,main
2014-01-13,JP Morgan,Overweight,,up
2014-01-21,Barclays,Overweight,Equal-Weight,up
2014-01-21,Morgan Stanley,Overweight,Equal-weight,up
2014-02-18,Nomura,Buy,,main
2014-02-19,Raymond James,Outperform,Market Perform,up
2014-02-21,Macquarie,Outperform,,main
2014-04-07,Credit Suisse,Outperform,,main
2014-04-28,SunTrust Robinson Humphrey,Neutral,Buy,down
2014-04-30,JMP Securities,Market Outperform,,main
2014-05-01,FBR Capital,Outperform,,main
2014-05-01,Raymond James,Outperform,,main
2014-05-07,Morgan Stanley,Equal-Weight,Overweight,down
2014-06-11,Macquarie,Neutral,Outperform,down
2014-06-18,JP Morgan,Overweight,,main
2014-07-09,Deutsche Bank,Hold,,main
2014-07-30,Jefferies,Market Outperform,,main
2014-07-31,SunTrust Robinson Humphrey,Neutral,,main
2014-07-31,Raymond James,Outperform,,main
2014-07-31,Barclays,Overweight,,main
2014-09-04,JP Morgan,Overweight,,main
2014-09-09,FBR Capital,Outperform,,main
2014-10-03,Citigroup,Buy,,main
2014-10-28,MKM Partners,Neutral,,main
2014-10-30,Jefferies,Underperform,,main
2014-10-30,Barclays,Overweight,,main
2014-10-30,JMP Securities,Market Outperform,,main
2014-11-17,UBS,Neutral,Buy,down
2014-12-15,Citigroup,Buy,,main
2014-12-18,Evercore ISI Group,Hold,,init
2015-02-04,Baird,Neutral,Outperform,down
2015-02-19,JMP Securities,Market Outperform,,main
2015-02-20,JP Morgan,Overweight,,main
2015-02-20,Barclays,Overweight,,main
2015-03-03,RBC Capital,Outperform,,init
2015-04-22,MKM Partners,Buy,Neutral,up
2015-05-01,Barclays,Overweight,,main
2015-06-25,Brean Capital,Hold,,init
2015-07-13,Canaccord Genuity,Hold,,init
2015-08-05,Evercore ISI Group,Buy,Hold,up
2015-08-12,Barclays,Equal-Weight,Overweight,down
2015-09-07,Evercore ISI Group,Buy,,main
2015-09-24,SunTrust Robinson Humphrey,Buy,Neutral,up
2015-11-30,Susquehanna,Positive,,main
2015-11-30,Evercore ISI Group,Hold,Buy,down
2015-12-04,Canaccord Genuity,Buy,Hold,up
2015-12-08,Berenberg,Buy,,init
2015-12-18,Barclays,Equal-Weight,,main
2016-01-04,Telsey Advisory Group,Market Perform,,init
2016-01-14,MKM Partners,Neutral,Buy,down
2016-02-03,Wells Fargo,Market Perform,Outperform,down
2016-02-16,Jefferies,Underperform,,main
2016-02-22,Barclays,Equal-Weight,,main
2016-03-23,Canaccord Genuity,Buy,,main
2016-04-20,Raymond James,Market Perform,Outperform,down
2016-06-30,Evercore ISI Group,Buy,Hold,up
2016-07-28,Morgan Stanley,Equal-Weight,,main
2016-08-01,Citigroup,Buy,,main
2016-09-09,Bernstein,Outperform,,init
2016-09-23,Barclays,Equal-Weight,,main
2016-09-26,Goldman Sachs,Buy,,init
2016-09-26,Morgan Stanley,Overweight,Equal-Weight,up
2016-11-28,Evercore ISI Group,Hold,Buy,down
2016-12-05,MKM Partners,Buy,Neutral,up
2017-02-21,SunTrust Robinson Humphrey,Hold,Buy,down
2017-04-26,Guggenheim,Neutral,,init
2017-08-08,Baird,Neutral,,main
2017-08-30,Wolfe Research,Outperform,Peer Perform,up
2017-11-08,Stifel Nicolaus,Hold,,main
2017-11-09,Morgan Stanley,Overweight,,main
2017-11-10,Baird,Neutral,,main
2017-11-13,Morgan Stanley,Overweight,,main
2017-11-16,Bernstein,Market Perform,Outperform,down
2017-11-28,Barclays,Equal-Weight,Equal-Weight,main
2018-02-16,Deutsche Bank,Hold,,main
2018-02-20,Evercore ISI Group,In-Line,Underperform,up
2018-05-17,Evercore ISI Group,Outperform,In-Line,up
2018-05-31,Jefferies,Hold,,init
2018-07-24,Morgan Stanley,Equal-Weight,Overweight,down
2018-08-08,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-08-08,Barclays,Equal-Weight,Equal-Weight,main
2018-08-14,Raymond James,Outperform,Market Perform,up
2018-09-07,Longbow Research,Buy,,init
2018-10-23,Cowen & Co.,Outperform,,init
2018-11-08,Raymond James,Outperform,Outperform,main
2018-11-08,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-11-12,Baird,Neutral,Neutral,main
2018-11-20,Argus,Hold,Buy,down
2018-12-12,Citigroup,Neutral,Buy,down
2019-04-24,Wells Fargo,Market Perform,Market Perform,main
2019-04-24,Evercore ISI Group,In-Line,Outperform,down
2019-05-21,Citigroup,Neutral,,main
2019-07-09,JP Morgan,Neutral,Overweight,down
2019-07-15,Longbow Research,Neutral,Underperform,down
2019-08-07,Morgan Stanley,Equal-Weight,,main
2019-09-06,JP Morgan,Neutral,,main
2019-09-11,Bernstein,Market Perform,,init
2019-09-16,RBC Capital,Outperform,,main
2019-10-17,BMO Capital,Market Perform,,init
2019-10-18,Wells Fargo,Market Perform,,main
2019-11-06,Morgan Stanley,Equal-Weight,,main
2019-11-06,Nomura,Buy,,main
2019-12-24,Barclays,Equal-Weight,,main
2020-01-07,Raymond James,Market Perform,Outperform,down
2020-01-09,Morgan Stanley,Equal-Weight,,main
2020-01-17,Berenberg,Hold,Buy,down
2020-02-27,Stifel Nicolaus,Hold,,main
2020-02-28,JP Morgan,Neutral,,main
2020-02-28,CFRA,Hold,,main
2020-02-28,Deutsche Bank,Hold,,main
2020-03-02,Morgan Stanley,Equal-Weight,,main
2020-03-09,Wells Fargo,Equal-Weight,,main
2020-03-18,BMO Capital,Underperform,Market Perform,down
2020-03-30,Morgan Stanley,Equal-Weight,,main
2020-03-30,RBC Capital,Sector Perform,Outperform,down
