Date,Firm,To Grade,From Grade,Action
2012-03-06,Sterne Agee,Buy,,main
2012-04-04,Goldman Sachs,Buy,,main
2012-04-23,Jefferies,Hold,,main
2012-05-08,Citigroup,Neutral,,main
2012-05-15,Cowen & Co.,Neutral,,down
2012-05-18,UBS,Buy,,main
2012-06-01,JP Morgan,Overweight,,main
2012-06-01,Goldman Sachs,Buy,,main
2012-06-04,Deutsche Bank,Buy,,main
2012-06-07,PiperJaffray,Overweight,,main
2012-06-11,UBS,Buy,,main
2012-06-11,Jefferies,Hold,,main
2012-06-11,Credit Suisse,Outperform,,main
2012-07-23,Goldman Sachs,Neutral,,main
2012-07-23,Jefferies,Hold,,main
2012-07-24,Jefferies,Hold,,main
2012-07-24,Barclays,Overweight,,main
2012-07-24,Citigroup,Neutral,,main
2012-08-08,PiperJaffray,Overweight,,main
2012-08-08,Citigroup,Neutral,,main
2012-09-11,Goldman Sachs,Neutral,,main
2012-09-11,Raymond James,Outperform,,main
2012-09-17,BMO Capital,Market Perform,,main
2012-09-17,PiperJaffray,Overweight,,main
2012-09-28,Janney Capital,Neutral,Buy,down
2012-10-19,Goldman Sachs,Neutral,,main
2012-10-19,Jefferies,Hold,,main
2012-10-19,PiperJaffray,Overweight,,main
2012-10-22,Deutsche Bank,Buy,,main
2012-10-22,Credit Suisse,Outperform,,main
2012-10-22,Barclays,Overweight,,main
2012-10-22,Sterne Agee,Buy,,main
2012-10-22,JP Morgan,Overweight,,main
2012-10-26,UBS,Buy,,main
2012-11-26,Lazard,Neutral,Buy,down
2012-12-10,Citigroup,Neutral,,main
2012-12-10,Goldman Sachs,Neutral,,main
2013-01-09,Raymond James,Market Perform,Outperform,down
2013-01-18,UBS,Buy,,main
2013-01-24,BMO Capital,Market Perform,,main
2013-01-24,Deutsche Bank,Buy,,main
2013-01-24,Credit Suisse,Outperform,,main
2013-01-25,Goldman Sachs,Neutral,,main
2013-02-22,Credit Suisse,Outperform,,main
2013-03-08,Goldman Sachs,Neutral,,main
2013-03-11,Deutsche Bank,Buy,,main
2013-03-11,Bank of America,Buy,,main
2013-03-12,Citigroup,Neutral,,main
2013-04-08,Jefferies,Hold,,main
2013-04-11,UBS,Buy,,main
2013-04-18,Deutsche Bank,Buy,,main
2013-04-22,Credit Agricole,Outperform,Buy,down
2013-04-22,Credit Suisse,Outperform,,main
2013-07-16,Stifel Nicolaus,Hold,,init
2013-07-16,JP Morgan,Overweight,,main
2013-07-17,Janney Capital,Neutral,Buy,down
2013-11-08,RBC Capital,Sector Perform,,init
2014-01-07,Credit Suisse,Neutral,,init
2014-01-08,Wells Fargo,Market Perform,Outperform,down
2014-01-09,Morgan Stanley,Overweight,Equal-weight,up
2014-01-24,Deutsche Bank,Buy,,main
2014-01-24,Barclays,Overweight,Overweight,main
2014-01-24,BMO Capital,Market Perform,,main
2014-01-27,Citigroup,Neutral,,main
2014-02-11,Citigroup,Neutral,,main
2014-04-15,Barclays,Overweight,,main
2014-04-23,Deutsche Bank,Buy,,main
2014-04-28,Citigroup,Hold,,main
2014-07-23,JP Morgan,Overweight,,main
2014-07-23,Baird,Neutral,Outperform,down
2014-07-23,Susquehanna,Neutral,Positive,down
2014-07-23,Sterne Agee,Neutral,Buy,down
2014-07-23,UBS,Buy,,main
2014-07-23,Barclays,Overweight,,main
2014-07-23,Deutsche Bank,Buy,,main
2014-07-23,Stephens & Co.,Equal-Weight,Overweight,down
2014-07-30,Citigroup,Neutral,,main
2014-08-11,Deutsche Bank,Buy,,main
2014-08-19,Citigroup,Neutral,,main
2014-09-10,Bank of America,Buy,,main
2014-09-15,Citigroup,Neutral,,main
2014-10-06,Morgan Stanley,Equal-weight,Overweight,down
2014-10-22,Barclays,Overweight,,main
2014-11-20,Citigroup,Neutral,,main
2014-12-08,Goldman Sachs,Neutral,,init
2014-12-11,JP Morgan,Overweight,,main
2015-01-06,Jefferies,Hold,,main
2015-01-22,Barclays,Overweight,,main
2015-01-26,Stephens & Co.,Overweight,Equal-Weight,up
2015-01-26,Jefferies,Hold,,main
2015-01-26,Barclays,Overweight,,main
2015-02-02,Citigroup,Neutral,,main
2015-03-03,Bank of America,Buy,,main
2015-03-04,RBC Capital,Outperform,Sector Perform,up
2015-03-05,PiperJaffray,Neutral,Overweight,down
2015-03-10,JP Morgan,Overweight,,main
2015-03-11,Credit Suisse,Neutral,,init
2015-04-15,Cowen & Co.,Market Perform,,init
2015-04-16,Guggenheim,Buy,,init
2015-05-29,Deutsche Bank,Buy,,init
2015-06-22,Citigroup,Neutral,,main
2015-06-23,Citigroup,Neutral,,main
2015-07-08,Cleveland Research,Neutral,,init
2015-07-15,BTIG Research,Neutral,,init
2015-09-29,Credit Suisse,Outperform,Neutral,up
2015-10-01,Nomura,Neutral,,init
2015-10-02,Nomura,Neutral,,init
2015-10-08,SunTrust Robinson Humphrey,Buy,,init
2015-10-23,Barclays,Overweight,,main
2015-10-23,PiperJaffray,Overweight,Neutral,up
2015-10-23,Jefferies,Hold,,main
2015-10-23,Deutsche Bank,Buy,,main
2015-11-11,Credit Suisse,Outperform,,main
2015-11-11,Barclays,Overweight,,main
2016-01-04,Nomura,Buy,Neutral,up
2016-01-19,BTIG Research,Buy,Neutral,up
2016-01-22,Credit Suisse,Outperform,,main
2016-01-26,Barclays,Overweight,,main
2016-01-26,Credit Suisse,Outperform,,main
2016-01-26,Morgan Stanley,Equal-Weight,,main
2016-01-26,Cowen & Co.,Market Perform,,main
2016-01-26,Deutsche Bank,Buy,,main
2016-01-26,Baird,Neutral,,main
2016-01-26,Jefferies,Hold,,main
2016-01-27,Argus,Buy,Hold,up
2016-03-07,UBS,Buy,,main
2016-03-18,Longbow Research,Neutral,,init
2016-03-28,Cowen & Co.,Market Perform,,main
2016-03-29,Credit Suisse,Outperform,,main
2016-04-01,JP Morgan,Overweight,,main
2016-04-05,Evercore ISI Group,Hold,,init
2016-04-25,Cowen & Co.,Market Perform,,main
2016-04-25,BTIG Research,Buy,,main
2016-04-25,Deutsche Bank,Buy,,main
2016-04-25,Nomura,Buy,,main
2016-06-22,Nomura,Neutral,Buy,down
2016-06-27,Credit Suisse,Outperform,,main
2016-06-29,Baird,Neutral,,main
2016-07-27,Credit Suisse,Outperform,,main
2016-08-15,Argus,Hold,Buy,down
2016-08-22,Canaccord Genuity,Hold,,init
2016-08-30,Baird,Outperform,Neutral,up
2016-09-13,Citigroup,Neutral,,main
2016-10-10,Telsey Advisory Group,Outperform,,init
2016-10-17,Nomura,Neutral,,main
2016-12-01,Guggenheim,Neutral,Buy,down
2016-12-05,Nomura,Buy,Neutral,up
2017-01-06,UBS,Neutral,Buy,down
2017-04-17,Wells Fargo,Outperform,Market Perform,up
2017-04-18,Bernstein,Outperform,Market Perform,up
2017-04-20,Nomura,Buy,,main
2017-04-21,BMO Capital,Outperform,,init
2017-04-27,Argus,Buy,Hold,up
2017-05-03,Goldman Sachs,Buy,Neutral,up
2017-06-20,Cowen & Co.,Outperform,Market Perform,up
2017-07-19,Nomura,Buy,,main
2017-07-26,Morgan Stanley,Equal-Weight,,main
2017-07-26,BMO Capital,Outperform,,main
2017-07-26,UBS,Neutral,,main
2017-07-27,Argus,Buy,,main
2017-09-28,Longbow Research,Buy,Neutral,up
2017-10-03,Stifel Nicolaus,Hold,,init
2017-10-17,Nomura,Buy,,main
2017-10-18,Barclays,Overweight,,main
2017-10-25,Baird,Outperform,,main
2017-10-25,Nomura,Buy,,main
2017-10-25,Credit Suisse,Outperform,,main
2017-12-05,Jefferies,Buy,Hold,up
2018-01-31,Barclays,Overweight,Overweight,main
2018-01-31,Nomura,Buy,Buy,main
2018-02-01,Nomura,Buy,Buy,main
2018-02-06,Citigroup,Neutral,Neutral,main
2018-03-05,Bank of America,Buy,Buy,main
2018-03-06,Credit Suisse,Outperform,Outperform,main
2018-03-26,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-04-16,Stephens & Co.,Equal-Weight,Overweight,down
2018-04-18,Stifel Nicolaus,Hold,Hold,main
2018-05-01,BMO Capital,Outperform,Outperform,main
2018-05-01,Bank of America,Buy,Buy,main
2018-05-01,Stifel Nicolaus,Hold,Hold,main
2018-06-14,Citigroup,Neutral,Neutral,main
2018-07-27,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-08-15,Citigroup,Neutral,Neutral,main
2018-10-04,KeyBanc,Overweight,,init
2018-10-10,Guggenheim,Buy,Neutral,up
2018-10-15,Evercore ISI Group,Outperform,In-Line,up
2018-10-19,Gordon Haskett,Buy,,init
2018-10-24,KeyBanc,Overweight,Overweight,main
2018-10-24,Jefferies,Buy,Buy,main
2018-10-24,UBS,Neutral,Neutral,main
2018-10-30,Citigroup,Neutral,Neutral,main
2018-11-29,Morgan Stanley,Overweight,Equal-Weight,up
2019-01-11,Wells Fargo,Outperform,Outperform,main
2019-02-19,Stephens & Co.,Overweight,Equal-Weight,up
2019-04-24,Wells Fargo,Outperform,Outperform,main
2019-05-01,Stephens & Co.,Overweight,Overweight,main
2019-05-01,Longbow Research,Neutral,Buy,down
2019-05-01,Bank of America,Buy,Buy,main
2019-05-01,Barclays,Overweight,Overweight,main
2019-05-01,Mizuho,Buy,Buy,main
2019-05-01,Mizuho,Buy,Buy,main
2019-05-01,KeyBanc,Overweight,Overweight,main
2019-05-01,BMO Capital,Outperform,Outperform,main
2019-06-07,Bank of America,Buy,,main
2019-06-11,UBS,Neutral,Neutral,main
2019-06-12,Evercore ISI Group,Outperform,,init
2019-06-14,Stifel,Hold,,main
2019-06-25,Credit Suisse,Outperform,,init
2019-06-28,JP Morgan,Overweight,,main
2019-07-15,Wells Fargo,Outperform,,main
2019-07-18,Cowen & Co.,Outperform,,main
2019-07-18,Morgan Stanley,Overweight,,main
2019-07-29,Stephens & Co.,Overweight,,main
2019-07-29,Stifel Nicolaus,Hold,,main
2019-07-29,Baird,Outperform,,main
2019-07-29,Wells Fargo,Outperform,,main
2019-07-29,UBS,Neutral,,main
2019-07-29,Goldman Sachs,Buy,,init
2019-07-30,DZ Bank,Hold,Buy,down
2019-08-13,MKM Partners,Buy,,init
2019-09-24,BTIG,Buy,,main
2019-10-14,Kalinowski,Neutral,Buy,down
2019-10-23,KeyBanc,Overweight,,main
2019-10-23,Morgan Stanley,Overweight,,main
2019-10-23,SunTrust Robinson Humphrey,Buy,,main
2019-10-23,UBS,Neutral,,main
2019-10-23,Credit Suisse,Outperform,,main
2019-10-23,Wells Fargo,Outperform,,main
2019-10-23,JP Morgan,Overweight,,main
2019-11-04,MKM Partners,Buy,,main
2019-11-04,Citigroup,Neutral,,main
2019-11-04,Piper Jaffray,Neutral,Overweight,down
2019-11-08,Longbow Research,Buy,Neutral,up
2019-11-26,Deutsche Bank,Hold,,init
2019-12-10,RBC Capital,Outperform,,init
2019-12-19,Morgan Stanley,Overweight,,main
2020-01-22,Kalinowski,Buy,Neutral,up
2020-01-23,Wells Fargo,Overweight,,main
2020-01-24,KeyBanc,Overweight,,main
2020-01-30,Wells Fargo,Overweight,,main
2020-01-30,B of A Securities,Buy,,reit
2020-01-30,Guggenheim,Buy,,main
2020-01-30,BMO Capital,Outperform,,main
2020-01-30,Baird,Outperform,,main
2020-01-30,Deutsche Bank,Hold,,main
2020-03-13,Tigress Financial,Buy,Neutral,up
2020-03-23,Deutsche Bank,Hold,,main
2020-03-25,Morgan Stanley,Overweight,,main
2020-03-25,Stephens & Co.,Overweight,Equal-Weight,up
2020-03-27,KeyBanc,Overweight,,main
2020-04-01,SunTrust Robinson Humphrey,Buy,,main
2020-04-07,Piper Sandler,Neutral,,main
2020-04-09,Morgan Stanley,Overweight,,main
2020-04-09,UBS,Neutral,,main
2020-04-09,Wells Fargo,Overweight,,main
2020-04-09,BTIG,Buy,,main
2020-04-14,MKM Partners,Buy,,main
2020-04-20,Stephens & Co.,Overweight,,main
2020-04-22,Jefferies,Buy,,main
2020-05-01,B of A Securities,Buy,,reit
2020-05-01,Morgan Stanley,Overweight,,main
2020-05-01,Stephens & Co.,Overweight,,main
2020-05-01,Wells Fargo,Overweight,,main
2020-05-01,Stifel,Hold,,main
2020-05-01,SunTrust Robinson Humphrey,Buy,,main
2020-05-04,JP Morgan,Overweight,,main
2020-06-11,UBS,Neutral,,main
2020-06-17,B of A Securities,Buy,,main
2020-06-17,Credit Suisse,Outperform,,main
2020-06-17,Jefferies,Buy,,main
2020-06-17,Morgan Stanley,Overweight,,main
2020-06-24,BMO Capital,Outperform,,main
2020-07-20,Morgan Stanley,Overweight,,main
2020-07-22,KeyBanc,Overweight,,main
2020-07-29,Credit Suisse,Outperform,,main
2020-07-29,Morgan Stanley,Equal-Weight,,main
2020-07-29,B of A Securities,Buy,,main
2020-08-18,KeyBanc,Overweight,,main
2020-09-14,UBS,Neutral,,main
2020-10-01,Wells Fargo,Overweight,,main
2020-10-09,Truist Securities,Buy,,main
2020-10-09,BTIG,Buy,,main
