Date,Firm,To Grade,From Grade,Action
2012-08-03,Barclays,Equal-Weight,,main
2012-08-03,Stifel Nicolaus,Buy,,main
2012-10-08,ISI Group,Hold,,main
2012-10-16,Jefferies,Buy,,main
2012-10-16,UBS,Buy,,main
2012-10-16,Miller Tabak,Neutral,,main
2012-11-09,Stifel Nicolaus,Buy,,main
2012-12-07,Needham,Buy,,init
2012-12-13,Goldman Sachs,Neutral,Sell,up
2013-02-08,UBS,Buy,,main
2013-02-08,Jefferies,Buy,,main
2013-03-04,ISI Group,Strong Buy,Buy,up
2013-05-03,Jefferies,Buy,,main
2013-05-29,Citigroup,Buy,Neutral,up
2013-06-04,Citigroup,Buy,,main
2013-06-04,Goldman Sachs,Neutral,,main
2013-06-04,JP Morgan,Neutral,,main
2013-06-04,Stifel Nicolaus,Buy,,main
2013-08-01,Jefferies,Buy,,main
2013-08-01,Stifel Nicolaus,Buy,,main
2013-08-01,Susquehanna,Positive,,main
2013-08-16,Morgan Stanley,Equal-Weight,,init
2013-09-24,Goldman Sachs,Buy,Neutral,up
2013-10-31,Mizuho,Buy,Neutral,up
2013-11-18,Stephens & Co.,Equal-Weight,Overweight,down
2013-12-10,Drexel Hamilton,Buy,,init
2014-01-31,Stifel Nicolaus,Buy,,main
2014-01-31,Citigroup,Buy,,main
2014-01-31,Stifel Nicolaus,Buy,,main
2014-04-04,Stifel Nicolaus,Buy,,main
2014-04-22,Citigroup,Buy,,main
2014-05-07,Stifel Nicolaus,Buy,,main
2014-05-07,JP Morgan,Neutral,,main
2014-06-02,Goldman Sachs,Neutral,Buy,down
2014-08-01,B. Riley FBR,Neutral,,main
2014-10-10,Credit Suisse,Outperform,,main
2014-10-10,Drexel Hamilton,Hold,Buy,down
2014-10-10,Needham,Hold,Buy,down
2014-10-31,Credit Suisse,Outperform,,main
2014-12-18,Citigroup,Buy,,main
2015-01-30,Jefferies,Buy,,main
2015-02-12,Stifel Nicolaus,Buy,,main
2015-05-08,JP Morgan,Neutral,,main
2015-08-04,B. Riley FBR,Neutral,,main
2015-08-04,Stifel Nicolaus,Buy,,main
2015-08-05,Jefferies,Buy,,main
2015-09-08,JP Morgan,Overweight,Neutral,up
2015-11-05,B. Riley FBR,Buy,Neutral,up
2015-11-09,Bank of America,Neutral,,init
2016-01-15,Needham,Buy,Hold,up
2016-01-19,Morgan Stanley,Overweight,Equal-Weight,up
2016-01-20,B. Riley FBR,Buy,,main
2016-01-20,SunTrust Robinson Humphrey,Neutral,,main
2016-02-04,Jefferies,Buy,,main
2016-04-05,Goldman Sachs,Sell,,main
2016-05-17,CLSA,Buy,,init
2016-08-09,Jefferies,Buy,,main
2016-08-09,Citigroup,Buy,,main
2016-08-09,JP Morgan,Overweight,,main
2016-09-30,Mizuho,Neutral,,init
2016-11-04,Goldman Sachs,Neutral,Sell,up
2016-11-08,Bank of America,Buy,Neutral,up
2016-12-21,Susquehanna,Positive,,init
2017-02-08,Needham,Strong Buy,Buy,up
2017-04-04,Summit Redstone Partners,Buy,Hold,up
2017-06-16,Raymond James,Outperform,,init
2017-10-06,Argus,Buy,,init
2017-11-01,Morgan Stanley,Equal-Weight,Overweight,down
2017-11-07,B. Riley FBR,Buy,,main
2017-11-07,Credit Suisse,Outperform,,main
2017-11-07,Jefferies,Buy,,main
2017-12-13,Morgan Stanley,Equal-Weight,,main
2017-12-19,PiperJaffray,Overweight,,init
2018-02-07,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-02-07,Bank of America,Buy,Buy,main
2018-03-02,SunTrust Robinson Humphrey,Buy,Hold,up
2018-03-05,Mizuho,Buy,Neutral,up
2018-03-08,Goldman Sachs,Buy,Neutral,up
2018-05-09,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-05-30,SunTrust Robinson Humphrey,Buy,Buy,main
2018-06-01,B. Riley FBR,Buy,Buy,main
2018-06-05,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-07-19,Nomura,Buy,,init
2018-07-27,PiperJaffray,Overweight,Overweight,main
2018-08-10,Nomura,Buy,Buy,main
2018-08-10,JP Morgan,Overweight,Overweight,main
2018-08-10,KeyBanc,Overweight,Overweight,main
2018-09-17,Bank of America,Neutral,Buy,down
2018-09-25,Raymond James,Market Perform,Outperform,down
2018-09-25,KeyBanc,Sector Weight,,init
2018-10-03,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-10-10,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-11-08,Jefferies,Buy,Buy,main
2018-11-08,B. Riley FBR,Buy,Buy,main
2018-11-13,BMO Capital,Outperform,,init
2018-12-19,Morgan Stanley,Equal-Weight,Equal-Weight,main
2019-01-24,Needham,Buy,Strong Buy,down
2019-02-22,Cowen & Co.,Market Perform,,init
2019-05-06,B. Riley,Buy,Buy,main
2019-05-09,B. Riley,Buy,,main
2019-05-09,BMO Capital,Outperform,,main
2019-05-09,Mizuho,Buy,,main
2019-06-25,Wells Fargo,Outperform,,init
2019-07-09,Longbow Research,Neutral,,init
2019-07-29,Wells Fargo,Outperform,,main
2019-10-01,KeyBanc,Overweight,Sector Weight,up
2019-10-30,Raymond James,Strong Buy,Market Perform,up
2019-11-06,B. Riley,Buy,,main
2019-11-06,Morgan Stanley,Equal-Weight,,main
2019-11-06,Citigroup,Buy,,main
