Date,Firm,To Grade,From Grade,Action
2012-03-29,Citigroup,Buy,,main
2012-06-29,Barclays,Overweight,,main
2012-07-12,ISI Group,Overweight,,init
2012-07-27,ISI Group,Overweight,,main
2012-08-17,Morgan Stanley,Equal-Weight,Overweight,down
2012-09-05,Mizuho,Buy,Neutral,up
2012-10-12,UBS,Buy,,main
2012-10-31,Citigroup,Buy,,main
2013-02-25,JP Morgan,Overweight,,main
2013-03-20,Goldman Sachs,Buy,,main
2013-05-08,Credit Suisse,Outperform,,main
2013-09-18,Sterne Agee,Buy,,init
2013-10-09,Raymond James,,Market Perform,up
2013-10-24,ISI Group,Strong Buy,Buy,up
2013-10-24,Bank of America,Underperform,,down
2013-10-25,Baird,Outperform,,main
2013-10-25,Morgan Stanley,Overweight,Equal-weight,up
2013-10-29,FBR Capital,Outperform,,init
2013-11-20,Deutsche Bank,Buy,,init
2014-01-06,Raymond James,Strong Buy,Outperform,up
2014-01-08,Credit Suisse,Outperform,,main
2014-01-13,S&P Capital IQ,Buy,,down
2014-01-14,Morgan Stanley,Overweight,,main
2014-01-24,Deutsche Bank,Buy,,main
2014-01-24,Morgan Stanley,Overweight,,main
2014-01-31,Morgan Stanley,Overweight,,main
2014-03-12,Goldman Sachs,Buy,,main
2014-05-13,JP Morgan,Overweight,,main
2014-05-13,Bank of America,Underperform,,main
2014-08-01,Mizuho,Buy,,main
2014-08-04,Credit Suisse,Outperform,,main
2014-09-29,Barclays,Overweight,,init
2014-10-29,JP Morgan,Overweight,,main
2014-10-29,Deutsche Bank,Buy,,main
2014-12-29,Bank of America,Buy,,main
2015-01-08,Barclays,Overweight,,main
2015-01-08,JP Morgan,Overweight,,main
2015-03-19,Deutsche Bank,Buy,,main
2015-03-19,JP Morgan,Overweight,,main
2015-05-13,Barclays,Overweight,,main
2015-05-13,Baird,Outperform,,main
2015-10-30,Barclays,Overweight,,main
2015-11-02,Barclays,Overweight,,main
2015-11-04,Goldman Sachs,Buy,,main
2016-01-06,Raymond James,Outperform,Strong Buy,down
2016-01-12,Deutsche Bank,Buy,,main
2016-01-12,Raymond James,Market Perform,,down
2016-01-15,Barclays,Overweight,,main
2016-01-27,Deutsche Bank,Buy,,main
2016-02-10,Standpoint Research,Buy,Hold,up
2016-03-01,Mizuho,Neutral,Buy,down
2016-03-15,Credit Suisse,Neutral,,init
2016-03-15,Cowen & Co.,Market Perform,Outperform,down
2016-04-18,Avondale Partners,Market Perform,,init
2016-04-26,Standpoint Research,Hold,Buy,down
2016-05-05,Avondale Partners,Market Perform,Market Outperform,down
2016-07-28,Citigroup,Buy,,main
2016-07-28,Morgan Stanley,Overweight,,main
2016-08-09,JP Morgan,Overweight,,main
2016-09-16,Goldman Sachs,Neutral,Buy,down
2016-10-06,UBS,Neutral,,init
2016-10-28,Leerink Swann,Market Perform,Outperform,down
2016-10-28,Baird,Neutral,Outperform,down
2016-11-09,Mizuho,Buy,Neutral,up
2016-11-11,Standpoint Research,Hold,Buy,down
2016-11-23,Credit Suisse,Underperform,,main
2016-11-23,Credit Suisse,Underperform,Neutral,down
2017-01-03,Mizuho,Neutral,Buy,down
2017-01-05,JP Morgan,Neutral,Overweight,down
2017-01-18,Avondale Partners,Market Outperform,Market Perform,up
2017-04-04,Needham,Hold,,init
2017-05-17,Jefferies,Hold,,init
2017-05-23,JP Morgan,Overweight,Neutral,up
2017-07-28,Jefferies,Buy,Hold,up
2017-09-14,Morgan Stanley,Equal-Weight,Overweight,down
2017-09-19,RBC Capital,Sector Perform,,init
2017-09-19,Baird,Outperform,Neutral,up
2017-10-10,Cowen & Co.,Outperform,Market Perform,up
2017-12-04,Deutsche Bank,Buy,,init
2018-01-05,Evercore ISI Group,Outperform,,init
2018-01-24,Jefferies,Buy,Hold,up
2018-03-08,Barclays,Equal-Weight,,init
2018-04-11,Bank of America,Buy,Buy,main
2018-05-29,Leerink Swann,Market Perform,Market Perform,main
2018-07-03,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-07-05,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-07-10,Standpoint Research,Buy,Hold,up
2018-07-20,Baird,Neutral,Outperform,down
2018-07-27,JP Morgan,Overweight,Overweight,main
2018-10-26,Barclays,Equal-Weight,Equal-Weight,main
2018-12-03,Morgan Stanley,Equal-Weight,Equal-Weight,main
2019-01-17,UBS,Neutral,,init
2019-01-25,Deutsche Bank,Hold,Sell,up
2019-07-22,Guggenheim,Neutral,,init
2019-08-27,Morgan Stanley,Equal-Weight,,main
2019-09-12,Deutsche Bank,Hold,,init
2020-01-10,Morgan Stanley,Overweight,Equal-Weight,up
2020-01-15,Mizuho,Neutral,,main
2020-02-05,Deutsche Bank,Hold,,main
2020-02-05,Baird,Neutral,,main
2020-02-05,Morgan Stanley,Overweight,,main
2020-02-07,Baird,Outperform,Neutral,up
2020-02-11,Morgan Stanley,Overweight,,main
2020-02-12,Morgan Stanley,Overweight,,main
2020-03-18,Goldman Sachs,Buy,Neutral,up
2020-03-18,JP Morgan,Overweight,,main
2020-03-27,Morgan Stanley,Overweight,,main
2020-03-31,Barclays,Equal-Weight,,main
2020-05-15,UBS,Buy,Neutral,up
2020-05-20,CFRA,Buy,,main
2020-05-21,Mizuho,Neutral,,main
2020-05-21,Deutsche Bank,Hold,,main
2020-05-22,Morgan Stanley,Overweight,,main
2020-05-26,UBS,Buy,,main
2020-05-27,Guggenheim,Buy,,reit
2020-06-15,Morgan Stanley,Overweight,,main
2020-08-04,Credit Suisse,Neutral,,main
2020-08-04,Morgan Stanley,Overweight,,main
2020-08-04,Deutsche Bank,Buy,Hold,up
2020-11-02,Barclays,Overweight,Equal-Weight,up
2020-11-04,Morgan Stanley,Overweight,,main
2020-11-04,Deutsche Bank,Buy,,main
2020-11-05,Credit Suisse,Neutral,,main
2021-02-03,Credit Suisse,Neutral,,main
2021-02-03,Morgan Stanley,Overweight,,main
2021-03-30,Argus Research,Buy,Hold,up
2021-05-07,Goldman Sachs,Buy,,main
2021-05-12,Mizuho,Neutral,,main
2021-08-09,Credit Suisse,Neutral,,main
2021-10-29,Morgan Stanley,Overweight,,main
2021-11-02,Barclays,Overweight,,main
2021-11-03,Mizuho,Neutral,,main
2021-11-08,Credit Suisse,Neutral,,main
2021-12-06,Morgan Stanley,Overweight,,main
2021-12-09,Mizuho,Neutral,,main
2021-12-09,Barclays,Overweight,,main
2021-12-17,Morgan Stanley,Overweight,,main
2021-12-20,Mizuho,Neutral,,main
2022-01-07,Credit Suisse,Outperform,Neutral,up
2022-02-04,Deutsche Bank,Hold,Buy,down
2022-02-07,Mizuho,Neutral,,main
2022-02-08,UBS,Buy,,main
2022-04-12,Morgan Stanley,Overweight,,main
2022-04-18,Cowen & Co.,Outperform,,main
2022-05-09,Mizuho,Neutral,,main
2022-05-11,Credit Suisse,Outperform,,main
