Date,Firm,To Grade,From Grade,Action
2012-06-29,UBS,Neutral,,main
2012-07-11,BTIG Research,Sell,,init
2012-09-17,Benchmark,Buy,Hold,up
2012-10-09,PiperJaffray,Overweight,,main
2012-10-10,Barclays,Equal-Weight,,init
2012-11-19,Benchmark,Buy,,main
2013-01-08,Benchmark,Buy,,main
2013-01-14,PiperJaffray,Overweight,,main
2013-02-06,Raymond James,Strong Buy,Outperform,up
2013-02-11,Barclays,Equal-Weight,,main
2013-02-12,Benchmark,Buy,,main
2013-02-13,Barclays,Equal-Weight,,main
2013-05-06,Raymond James,Outperform,Strong Buy,down
2013-06-10,Lazard,Neutral,Buy,down
2013-06-11,Benchmark,Hold,Buy,down
2013-09-06,Lazard,Buy,Neutral,up
2013-09-09,William Blair,Outperform,,init
2013-09-25,Lazard,Buy,,main
2013-10-28,Benchmark,Hold,,main
2013-10-29,FBR Capital,Outperform,,init
2013-12-11,Credit Suisse,Outperform,,init
2013-12-16,Barclays,Overweight,Equal-Weight,up
2014-03-28,Janney Capital,Neutral,,init
2014-07-01,Credit Suisse,Outperform,,main
2014-07-02,UBS,Neutral,,main
2014-07-09,Raymond James,Market Perform,Outperform,down
2014-07-14,Barclays,Overweight,,main
2014-07-28,UBS,Neutral,,main
2014-07-28,FBR Capital,Outperform,,main
2014-07-28,Barclays,Overweight,,main
2014-10-01,FBR Capital,Outperform,,main
2014-10-01,Barclays,Overweight,,main
2015-01-12,Barclays,Overweight,,main
2015-02-09,UBS,Neutral,,main
2015-03-17,Evercore ISI Group,Buy,Hold,up
2015-03-26,Morgan Stanley,Outperform,,init
2015-05-04,Barclays,Overweight,,main
2015-10-05,Argus,Buy,,init
2015-10-06,Barclays,Overweight,,main
2015-10-14,Atlantic Equities,Neutral,,init
2015-11-02,PiperJaffray,Overweight,,main
2015-11-02,FBR Capital,Market Perform,Outperform,down
2015-11-05,PiperJaffray,Overweight,,main
2015-11-10,Cantor Fitzgerald,Hold,,init
2015-11-17,UBS,Buy,Neutral,up
2015-12-17,Barclays,Overweight,,main
2016-01-07,Evercore ISI Group,Hold,,init
2016-01-07,PiperJaffray,Neutral,Overweight,down
2016-02-08,FBR Capital,Market Perform,,main
2016-02-08,Barclays,Overweight,,main
2016-02-22,Argus,Buy,,main
2016-04-12,BMO Capital,Perform,,init
2016-07-11,Credit Suisse,Neutral,,init
2016-07-25,UBS,Buy,,main
2016-08-17,Argus,Buy,,main
2016-08-23,Barclays,Overweight,,main
2016-09-21,Barclays,Overweight,,main
2017-01-10,Barclays,Equal-Weight,Overweight,down
2017-01-10,UBS,Neutral,Buy,down
2017-02-21,Morgan Stanley,Equal-Weight,Overweight,down
2017-07-24,Barclays,Equal-Weight,,main
2017-07-25,Morgan Stanley,Equal-Weight,,main
2017-08-30,Credit Suisse,Neutral,,main
2017-09-06,BMO Capital,Market Perform,,main
2017-09-15,Barclays,Equal-Weight,,main
2017-10-06,Morgan Stanley,Equal-Weight,,main
2017-11-06,UBS,Neutral,,main
2017-11-06,BMO Capital,Market Perform,,main
2017-11-06,Credit Suisse,Neutral,,main
2017-11-17,Barclays,Overweight,Equal-Weight,up
2017-12-20,Stifel Nicolaus,Hold,,init
2018-01-11,Nomura,Buy,,init
2018-02-12,Barclays,Overweight,Overweight,main
2018-02-12,Wells Fargo,Market Perform,,main
2018-02-12,Cantor Fitzgerald,Neutral,Hold,main
2018-02-12,BMO Capital,Market Perform,Market Perform,main
2018-02-12,Credit Suisse,Neutral,Neutral,main
2018-04-12,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-04-25,Nomura,Buy,Buy,main
2018-04-30,BMO Capital,Market Perform,Market Perform,main
2018-04-30,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-07-09,Nomura,Buy,Buy,main
2018-07-18,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-07-30,Wells Fargo,Market Perform,Market Perform,main
2018-07-30,BMO Capital,Market Perform,Market Perform,main
2018-07-30,Stifel Nicolaus,Hold,Hold,main
2018-09-21,UBS,Neutral,Neutral,main
2018-10-11,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-10-29,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-10-30,Wells Fargo,Market Perform,Market Perform,main
2018-11-14,Goldman Sachs,Neutral,,init
2019-01-07,Barclays,Overweight,Overweight,main
2019-01-08,UBS,Neutral,Neutral,main
2019-01-08,Morgan Stanley,Underweight,Equal-Weight,down
2019-04-05,PiperJaffray,Neutral,Neutral,main
2019-04-09,UBS,Neutral,Neutral,main
2019-04-25,Wells Fargo,Market Perform,Market Perform,main
2019-04-25,BMO Capital,Market Perform,Market Perform,main
2019-04-25,Cantor Fitzgerald,Neutral,Neutral,main
2019-06-11,Morgan Stanley,Underweight,,main
2019-07-10,JP Morgan,Overweight,,init
2019-07-10,Morgan Stanley,Underweight,,main
2019-07-10,UBS,Neutral,,main
2019-08-01,JP Morgan,Overweight,,main
2019-08-01,UBS,Neutral,,main
2019-08-01,Stifel Nicolaus,Hold,,main
2019-09-10,Morgan Stanley,Underweight,,main
2019-10-07,Morgan Stanley,Underweight,,main
2019-10-07,UBS,Buy,Neutral,up
2019-10-31,UBS,Buy,,main
2019-10-31,Morgan Stanley,Underweight,,main
2020-01-07,Morgan Stanley,Equal-Weight,Underweight,up
2020-02-13,Cantor Fitzgerald,Neutral,,main
2020-02-13,Stifel Nicolaus,Hold,,main
2020-02-13,Wells Fargo,Equal-Weight,,main
2020-02-18,Argus Research,Buy,,main
2020-03-12,Morgan Stanley,Equal-Weight,,main
2020-04-06,UBS,Buy,,main
2020-05-01,Wells Fargo,Equal-Weight,,main
2020-05-01,UBS,Buy,,main
2020-05-01,Morgan Stanley,Equal-Weight,,main
2020-05-19,Oppenheimer,Outperform,,init
2020-05-29,Credit Suisse,Outperform,,init
2020-06-03,Morgan Stanley,Equal-Weight,,main
2020-07-08,Morgan Stanley,Equal-Weight,,main
2020-07-08,UBS,Buy,,main
2020-07-29,Morgan Stanley,Equal-Weight,,main
2020-07-31,UBS,Buy,,main
2020-07-31,Morgan Stanley,Equal-Weight,,main
2020-10-02,Stifel,Hold,,main
2020-10-06,UBS,Buy,,main
2020-10-12,Morgan Stanley,Equal-Weight,,main
2020-10-30,Morgan Stanley,Equal-Weight,,main
2020-11-30,Deutsche Bank,Hold,,init
2021-01-06,Morgan Stanley,Equal-Weight,,main
2021-03-24,Deutsche Bank,Hold,,main
2021-04-01,Raymond James,Outperform,Market Perform,up
2021-04-12,Morgan Stanley,Equal-Weight,,main
2021-04-14,BMO Capital,Outperform,,main
2021-04-29,Oppenheimer,Outperform,,main
2021-04-29,Morgan Stanley,Equal-Weight,,main
2021-07-06,Stifel,Hold,,main
2021-07-07,Raymond James,Outperform,,main
2021-07-08,Morgan Stanley,Equal-Weight,,main
2021-07-08,RBC Capital,Outperform,,init
2021-07-29,Raymond James,Outperform,,main
2021-07-29,Oppenheimer,Outperform,,main
2021-07-29,UBS,Neutral,Buy,down
2021-07-29,Morgan Stanley,Equal-Weight,,main
2021-09-07,Oppenheimer,Outperform,,main
2021-10-05,Raymond James,Outperform,,main
2021-10-29,Oppenheimer,Outperform,,main
2021-10-29,RBC Capital,Outperform,,main
2021-10-29,Credit Suisse,Outperform,,main
2021-10-29,Morgan Stanley,Equal-Weight,,main
2022-01-05,Morgan Stanley,Equal-Weight,,main
2022-01-10,Raymond James,Outperform,,main
2022-02-11,Morgan Stanley,Equal-Weight,,main
2022-02-11,Credit Suisse,Outperform,,main
2022-02-14,BMO Capital,Outperform,,main
2022-03-04,Stifel,Hold,,main
2022-03-08,Baird,Outperform,,init
2022-03-11,Morgan Stanley,Equal-Weight,,main
2022-03-11,BMO Capital,Outperform,,main
2022-03-11,Credit Suisse,Outperform,,main
2022-03-11,Barclays,Overweight,,main
2022-03-30,Deutsche Bank,Buy,,init
2022-04-04,Morgan Stanley,Equal-Weight,,main
2022-04-07,Raymond James,Outperform,,main
2022-04-18,BMO Capital,Outperform,,main
2022-05-03,Deutsche Bank,Buy,,main
2022-05-03,Morgan Stanley,Equal-Weight,,main
2022-05-03,Barclays,Overweight,,main
2022-05-03,Credit Suisse,Outperform,,main
2022-05-03,RBC Capital,Outperform,,main
2022-05-03,Raymond James,Outperform,,main
