,2021-04-30,2020-04-24,2019-04-26,2018-04-27
Research Development,2493000000.0,2331000000.0,2330000000.0,2256000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,3895000000.0,4055000000.0,5197000000.0,5675000000.0
Minority Interest,174000000.0,135000000.0,121000000.0,102000000.0
Net Income,3606000000.0,4789000000.0,4631000000.0,3104000000.0
Selling General Administrative,9953000000.0,9779000000.0,10273000000.0,10077000000.0
Gross Profit,19762000000.0,19644000000.0,21493000000.0,20914000000.0
Ebit,5459000000.0,5267000000.0,6709000000.0,6545000000.0
Operating Income,5459000000.0,5267000000.0,6709000000.0,6545000000.0
Other Operating Expenses,74000000.0,511000000.0,417000000.0,213000000.0
Interest Expense,-925000000.0,-1092000000.0,-1444000000.0,-1146000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,265000000.0,-751000000.0,547000000.0,2580000000.0
Total Revenue,30117000000.0,28913000000.0,30557000000.0,29953000000.0
Total Operating Expenses,24658000000.0,23646000000.0,23848000000.0,23408000000.0
Cost Of Revenue,10355000000.0,9269000000.0,9064000000.0,9039000000.0
Total Other Income Expense Net,-1564000000.0,-1212000000.0,-1512000000.0,-870000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,3630000000.0,4806000000.0,4650000000.0,3095000000.0
Net Income Applicable To Common Shares,3606000000.0,4789000000.0,4631000000.0,3104000000.0
