,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1461804000.0,-1511479000.0,2846725000.0,634006000.0
Minority Interest,5053668000.0,4741724000.0,5040700000.0,4059758000.0
Net Income,1254370000.0,-1032724000.0,2049146000.0,466772000.0
Selling General Administrative,2930016000.0,2489080000.0,2565859000.0,2183842000.0
Gross Profit,4649531000.0,1709371000.0,5296183000.0,4844221000.0
Ebit,563811000.0,-1990349000.0,1418500000.0,1330943000.0
Operating Income,563811000.0,-1990349000.0,1418500000.0,1330943000.0
Other Operating Expenses,,,,
Interest Expense,-760593000.0,-676380000.0,-847932000.0,-769513000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,253415000.0,-191572000.0,632345000.0,50112000.0
Total Revenue,9454057000.0,4917133000.0,12462785000.0,11337604000.0
Total Operating Expenses,8890246000.0,6907482000.0,11044285000.0,10006661000.0
Cost Of Revenue,4804526000.0,3207762000.0,7166602000.0,6493383000.0
Total Other Income Expense Net,897993000.0,478870000.0,1428225000.0,-696937000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1208389000.0,-1319907000.0,2214380000.0,583894000.0
Net Income Applicable To Common Shares,1176072000.0,-997204000.0,2046433000.0,445446000.0
