,2021-11-30,2020-11-30,2019-11-30,2018-11-30
Research Development,87300000.0,68600000.0,67300000.0,69400000.0
Effect Of Accounting Charges,,,,
Income Before Tax,948000000.0,922300000.0,860100000.0,776100000.0
Minority Interest,14500000.0,13900000.0,12500000.0,11300000.0
Net Income,755300000.0,747400000.0,702700000.0,933400000.0
Selling General Administrative,1310400000.0,1203000000.0,1081800000.0,1081800000.0
Gross Profit,2505600000.0,2300400000.0,2145300000.0,2093300000.0
Ebit,1107900000.0,1028800000.0,996200000.0,942100000.0
Operating Income,1107900000.0,1028800000.0,996200000.0,942100000.0
Other Operating Expenses,,,,
Interest Expense,-136600000.0,-135600000.0,-165200000.0,-174600000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,192700000.0,174900000.0,157400000.0,-157300000.0
Total Revenue,6317900000.0,5601300000.0,5347400000.0,5302800000.0
Total Operating Expenses,5210000000.0,4572500000.0,4351200000.0,4360700000.0
Cost Of Revenue,3812300000.0,3300900000.0,3202100000.0,3209500000.0
Total Other Income Expense Net,-159900000.0,-106500000.0,-136100000.0,-166000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,755300000.0,747400000.0,702700000.0,933400000.0
Net Income Applicable To Common Shares,755300000.0,747400000.0,702700000.0,933400000.0
