Date,Firm,To Grade,From Grade,Action
2012-02-24,Stifel Nicolaus,Hold,,init
2012-04-13,Keefe Bruyette & Woods,Outperform,,up
2012-06-05,Stifel Nicolaus,Buy,,main
2012-09-06,Stifel Nicolaus,Hold,Buy,down
2012-09-26,Credit Suisse,Underperform,Neutral,down
2012-10-05,BMO Capital,Market Perform,,init
2012-12-06,BMO Capital,Market Perform,,main
2013-01-10,Keefe Bruyette & Woods,Market Perform,Outperform,down
2013-03-05,BMO Capital,Market Perform,,main
2013-03-07,Sandler O'Neill,Hold,,init
2013-04-15,Raymond James,Strong Buy,Market Perform,up
2013-07-24,Credit Suisse,Underperform,,main
2013-07-26,Raymond James,Market Perform,Strong Buy,down
2014-05-13,Credit Suisse,Underperform,,main
2014-07-24,Raymond James,Outperform,Market Perform,up
2014-09-18,Keefe Bruyette & Woods,Market Perform,,main
2014-10-09,Keefe Bruyette & Woods,Market Perform,,main
2014-12-04,Keefe Bruyette & Woods,Market Perform,,main
2015-01-06,Credit Suisse,Underperform,,main
2015-01-29,Keefe Bruyette & Woods,Market Perform,,main
2015-03-18,Keefe Bruyette & Woods,Market Perform,,main
2015-03-23,Raymond James,Market Perform,Outperform,down
2015-03-23,Raymond James,Market Perform,Outperform,down
2015-04-14,Keefe Bruyette & Woods,Market Perform,,main
2015-06-29,Macquarie,Underperform,Neutral,down
2015-09-09,Keefe Bruyette & Woods,Market Perform,,main
2015-10-08,Keefe Bruyette & Woods,Market Perform,,main
2015-10-22,Keefe Bruyette & Woods,Outperform,Market Perform,up
2015-10-26,Raymond James,Outperform,Market Perform,up
2016-01-28,Macquarie,Underperform,,main
2016-04-08,Keefe Bruyette & Woods,Outperform,,main
2016-06-20,William Blair,Market Perform,,init
2016-07-15,Raymond James,Market Perform,Outperform,down
2016-07-29,Keefe Bruyette & Woods,Outperform,,main
2016-10-03,Macquarie,Underperform,,main
2017-01-03,Raymond James,Outperform,Market Perform,up
2017-01-06,Goldman Sachs,Buy,,init
2017-01-25,Credit Suisse,Neutral,Underperform,up
2017-01-31,Macquarie,Neutral,Underperform,up
2017-07-27,Raymond James,Outperform,,main
2017-12-14,Rosenblatt,Neutral,,init
