Date,Firm,To Grade,From Grade,Action
2012-07-26,UBS,Neutral,,main
2012-08-09,Citigroup,Neutral,,main
2012-08-09,Stifel Nicolaus,Buy,,main
2012-09-17,Goldman Sachs,Buy,,main
2012-10-10,Stifel Nicolaus,Hold,Buy,down
2012-10-23,Citigroup,Neutral,,main
2012-10-23,Goldman Sachs,Buy,,main
2012-11-08,UBS,Buy,,main
2012-11-08,Citigroup,Neutral,,main
2012-11-27,ValuEngine,Strong Buy,,main
2012-12-11,Stifel Nicolaus,Buy,Hold,up
2012-12-12,Citigroup,Neutral,,main
2012-12-12,Goldman Sachs,Buy,,main
2013-05-09,Gabelli & Co.,Hold,Buy,down
2013-05-09,Stifel Nicolaus,Buy,,main
2013-05-14,Morgan Stanley,Overweight,,init
2013-05-21,BMO Capital,Outperform,,init
2013-08-09,Stifel Nicolaus,Buy,,main
2013-08-23,Northcoast Research,Sell,,init
2013-11-25,RBC Capital,Outperform,,init
2013-12-02,JP Morgan,Overweight,Neutral,up
2013-12-16,RBC Capital,Top Pick,Outperform,up
2014-01-07,Stifel Nicolaus,Buy,,main
2014-01-08,BMO Capital,Outperform,,main
2014-02-25,Longbow Research,Underperform,,down
2014-03-03,Morgan Stanley,Overweight,,main
2014-03-04,UBS,Buy,,init
2014-03-28,Citigroup,Neutral,,main
2014-05-09,Stifel Nicolaus,Buy,,main
2014-05-09,UBS,Buy,,main
2014-06-04,Credit Suisse,Outperform,,init
2014-06-09,Jefferies,Buy,,init
2014-06-19,BTIG Research,Buy,,init
2014-06-19,Wells Fargo,Outperform,,init
2014-07-16,Stifel Nicolaus,Buy,,main
2014-07-21,Morgan Stanley,Equal-weight,Overweight,down
2014-07-28,UBS,Neutral,Buy,down
2014-08-08,Longbow Research,Neutral,Underperform,up
2014-08-08,JP Morgan,Overweight,,main
2014-08-08,Citigroup,Neutral,,main
2014-08-08,UBS,Neutral,,main
2014-08-18,UBS,Neutral,,main
2014-08-18,Credit Suisse,Outperform,,main
2014-08-18,Citigroup,Neutral,,main
2014-08-18,Jefferies,Hold,Buy,down
2014-08-19,SunTrust Robinson Humphrey,Neutral,Buy,down
2014-08-19,Goldman Sachs,Buy,,main
2014-09-16,Cowen & Co.,Market Perform,,init
2014-09-22,ISI Group,Buy,,init
2014-09-22,Stifel Nicolaus,Buy,,main
2014-11-07,Stifel Nicolaus,Buy,,main
2014-11-07,Credit Suisse,Outperform,,main
2014-12-01,RBC Capital,Outperform,Top Pick,down
2014-12-16,CLSA,Buy,Outperform,up
2015-01-13,Stifel Nicolaus,Buy,,main
2015-01-13,Wells Fargo,Market Perform,Outperform,down
2015-01-26,Jefferies,Hold,,main
2015-02-27,Jefferies,Hold,,main
2015-02-27,Citigroup,Neutral,,main
2015-03-05,Citigroup,Neutral,,main
2015-04-14,Susquehanna,Neutral,,init
2015-05-08,Goldman Sachs,Neutral,Buy,down
2015-05-08,Jefferies,Hold,,main
2015-05-08,RBC Capital,Outperform,,main
2015-05-11,Citigroup,Buy,Neutral,up
2015-05-12,Susquehanna,Neutral,,main
2015-06-12,UBS,,Neutral,up
2015-08-03,Stifel Nicolaus,Buy,,main
2015-08-07,Jefferies,Hold,,main
2015-08-07,Citigroup,Buy,,main
2015-08-10,BMO Capital,Outperform,,main
2015-08-13,Morgan Stanley,Overweight,Equal-Weight,up
2015-09-16,CLSA,Outperform,Buy,down
2015-09-24,Goldman Sachs,Buy,Neutral,up
2015-11-02,Susquehanna,Neutral,,main
2015-11-13,Susquehanna,Neutral,,main
2016-02-01,Wells Fargo,Outperform,Market Perform,up
2016-02-26,CLSA,Buy,Outperform,up
2016-03-16,Goldman Sachs,Buy,,main
2016-03-22,Bank of America,Neutral,,init
2016-06-29,Goldman Sachs,Buy,,main
2016-07-18,Wells Fargo,Market Perform,Outperform,down
2016-08-05,JP Morgan,Overweight,,main
2016-08-05,Stifel Nicolaus,Buy,,main
2016-08-05,UBS,Buy,,main
2016-08-08,Citigroup,Buy,,main
2016-08-18,Jefferies,Hold,,main
2016-09-15,Credit Suisse,Outperform,,init
2016-12-21,Jefferies,Buy,Hold,up
2017-03-21,JP Morgan,Overweight,,init
2017-08-09,Credit Suisse,Outperform,,main
2017-09-15,Macquarie,Outperform,,init
2017-11-09,BMO Capital,Outperform,,main
2017-11-09,Credit Suisse,Outperform,,main
2017-11-10,Citigroup,Buy,,main
2017-11-20,Susquehanna,Negative,Neutral,down
2017-11-20,Credit Suisse,Outperform,,main
2017-12-14,Deutsche Bank,Hold,,init
2018-03-01,Credit Suisse,Outperform,Outperform,main
2018-03-01,Deutsche Bank,Hold,Hold,main
2018-03-01,BMO Capital,Outperform,Outperform,main
2018-03-01,Stifel Nicolaus,Buy,Buy,main
2018-03-02,Morgan Stanley,Overweight,Overweight,main
2018-03-05,Citigroup,Buy,Buy,main
2018-03-05,Deutsche Bank,Buy,Hold,up
2018-05-09,Stifel Nicolaus,Buy,Buy,main
2018-05-09,JP Morgan,Neutral,Overweight,down
2018-05-09,Morgan Stanley,Overweight,Overweight,main
2018-06-08,Jefferies,Buy,Buy,main
2018-06-11,Morgan Stanley,Overweight,Overweight,main
2018-07-12,Stifel Nicolaus,Buy,Buy,main
2018-07-19,BMO Capital,Outperform,Outperform,main
2018-08-09,Jefferies,Buy,Buy,main
2018-08-10,Citigroup,Buy,Buy,main
2018-09-14,Guggenheim,Buy,,init
2018-09-18,Stifel Nicolaus,Buy,Buy,main
2018-10-15,Evercore ISI Group,In-Line,Outperform,down
2018-10-24,JP Morgan,Neutral,Neutral,main
2018-11-08,Morgan Stanley,Equal-Weight,Overweight,down
2018-12-13,UBS,Sell,,init
2019-01-08,SunTrust Robinson Humphrey,Buy,Hold,up
2019-02-28,BMO Capital,Outperform,Outperform,main
2019-02-28,Morgan Stanley,Equal-Weight,Equal-Weight,main
2019-03-07,Credit Suisse,Outperform,,init
2019-03-12,BMO Capital,Market Perform,Outperform,down
2019-03-20,Goldman Sachs,Neutral,Buy,down
2019-03-28,Morgan Stanley,Equal-Weight,Equal-Weight,main
2019-03-28,Credit Suisse,Outperform,Outperform,main
2019-04-01,Macquarie,Neutral,Outperform,down
2019-04-11,Citigroup,Buy,Buy,main
2019-05-29,Wells Fargo,Market Perform,,main
2019-08-08,JP Morgan,Neutral,,main
2019-08-08,BMO Capital,Market Perform,,main
2019-08-28,Credit Suisse,Outperform,,reit
2019-10-02,Guggenheim,Neutral,Buy,down
2019-10-15,Wells Fargo,Market Perform,,main
2019-10-17,Cowen & Co.,Market Perform,Outperform,down
2019-11-08,Morgan Stanley,Equal-Weight,,main
2019-11-08,UBS,Sell,,main
2019-12-12,Deutsche Bank,Buy,,main
2020-01-21,Morgan Stanley,Equal-Weight,,main
2020-01-29,Citigroup,Buy,,main
2020-02-03,Morgan Stanley,Overweight,Equal-Weight,up
2020-02-28,SunTrust Robinson Humphrey,Buy,,main
2020-02-28,UBS,Sell,,main
2020-02-28,JP Morgan,Neutral,,main
2020-03-18,Morgan Stanley,Equal-Weight,Overweight,down
2020-03-20,Guggenheim,Buy,Neutral,up
2020-03-23,Morgan Stanley,Equal-Weight,,main
2020-05-04,JP Morgan,Neutral,,main
2020-05-04,Stifel,Buy,,main
2020-05-08,Morgan Stanley,Equal-Weight,,main
2020-05-11,Citigroup,Neutral,Buy,down
2020-05-28,Stifel,Buy,,main
2020-06-01,Deutsche Bank,Buy,,main
2020-06-04,B of A Securities,Buy,,main
2020-06-08,Morgan Stanley,Equal-Weight,,main
2020-07-13,Morgan Stanley,Equal-Weight,,main
2020-08-05,Credit Suisse,Outperform,,main
2020-08-05,Deutsche Bank,Buy,,main
2020-08-06,Morgan Stanley,Equal-Weight,,main
2020-10-14,Morgan Stanley,Equal-Weight,,main
2020-11-03,Morgan Stanley,Overweight,Equal-Weight,up
2020-11-06,Morgan Stanley,Overweight,,main
2020-12-08,Wells Fargo,Overweight,,init
2020-12-10,Morgan Stanley,Overweight,,main
2021-01-15,Citigroup,Neutral,,main
2021-01-15,Truist Securities,Buy,,main
2021-01-15,Deutsche Bank,Buy,,main
2021-01-20,Bernstein,Market Perform,,init
2021-02-26,Evercore ISI Group,Outperform,In-Line,up
2021-02-26,Credit Suisse,Outperform,,main
2021-03-01,Argus Research,Buy,,main
2021-03-09,Morgan Stanley,Overweight,,main
2021-03-16,Credit Suisse,Outperform,,main
2021-04-19,Morgan Stanley,Overweight,,main
2021-07-23,Citigroup,Buy,Neutral,up
2021-07-30,Deutsche Bank,Buy,,main
2021-10-13,Jefferies,Hold,Buy,down
2021-10-14,Wells Fargo,Overweight,,main
2021-11-01,Redburn Partners,Neutral,,init
2021-11-05,Morgan Stanley,Overweight,,main
2022-02-16,Wells Fargo,Overweight,,main
2022-02-17,BMO Capital,Market Perform,,init
2022-02-18,Credit Suisse,Outperform,,main
2022-02-25,Citigroup,Buy,,main
2022-03-10,Stifel,Buy,,main
2022-03-30,JP Morgan,Neutral,,main
2022-04-06,BMO Capital,Market Perform,,main
