,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,875000000.0,961000000.0,972000000.0,999000000.0
Minority Interest,,,,
Net Income,659000000.0,673000000.0,737000000.0,707000000.0
Selling General Administrative,2034000000.0,1480000000.0,1296000000.0,1333000000.0
Gross Profit,3280000000.0,2555000000.0,2435000000.0,3007000000.0
Ebit,1078000000.0,956000000.0,1044000000.0,1131000000.0
Operating Income,1078000000.0,956000000.0,1044000000.0,1131000000.0
Other Operating Expenses,37000000.0,31000000.0,6000000.0,444000000.0
Interest Expense,-120000000.0,-102000000.0,-87000000.0,-115000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,216000000.0,288000000.0,235000000.0,292000000.0
Total Revenue,26984000000.0,18375000000.0,16340000000.0,18144000000.0
Total Operating Expenses,25906000000.0,17419000000.0,15296000000.0,17013000000.0
Cost Of Revenue,23704000000.0,15820000000.0,13905000000.0,15137000000.0
Total Other Income Expense Net,-203000000.0,5000000.0,-57000000.0,-132000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,659000000.0,673000000.0,737000000.0,707000000.0
Net Income Applicable To Common Shares,659000000.0,673000000.0,737000000.0,707000000.0
