,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,2817000000.0,-13612000000.0,3233000000.0,3697000000.0
Minority Interest,7375000000.0,8021000000.0,9413000000.0,9878000000.0
Net Income,9738000000.0,-9826000000.0,2637000000.0,2780000000.0
Selling General Administrative,2601000000.0,2721000000.0,3196000000.0,2085000000.0
Gross Profit,10443000000.0,4163000000.0,12047000000.0,9237000000.0
Ebit,3757000000.0,-2600000000.0,5065000000.0,4576000000.0
Operating Income,3757000000.0,-2600000000.0,5065000000.0,4576000000.0
Other Operating Expenses,721000000.0,667000000.0,561000000.0,406000000.0
Interest Expense,-1267000000.0,-1333000000.0,-1231000000.0,-945000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,264000000.0,-2430000000.0,784000000.0,764000000.0
Total Revenue,120451000000.0,69896000000.0,111275000000.0,86284000000.0
Total Operating Expenses,116694000000.0,72496000000.0,106210000000.0,81708000000.0
Cost Of Revenue,110008000000.0,65733000000.0,99228000000.0,77047000000.0
Total Other Income Expense Net,-940000000.0,-11012000000.0,-1832000000.0,-879000000.0
Discontinued Operations,8448000000.0,1205000000.0,806000000.0,673000000.0
Net Income From Continuing Ops,2553000000.0,-11182000000.0,2449000000.0,2933000000.0
Net Income Applicable To Common Shares,9736000000.0,-9827000000.0,2636000000.0,2779000000.0
