Date,Firm,To Grade,From Grade,Action
2012-04-16,Deutsche Bank,Hold,,down
2012-07-02,Deutsche Bank,Buy,Hold,up
2012-07-12,Wells Fargo,Outperform,,init
2012-07-23,Tudor Pickering,Buy,,init
2012-07-30,Barclays,Overweight,,main
2012-08-06,Oppenheimer,Outperform,,main
2012-09-17,Citigroup,Neutral,Buy,down
2012-09-18,Credit Suisse,Neutral,Outperform,down
2012-09-20,Goldman Sachs,Buy,,main
2012-10-09,Barclays,Overweight,,main
2012-10-09,Citigroup,Neutral,,main
2012-10-09,Credit Suisse,Neutral,,main
2012-10-09,Deutsche Bank,Buy,,main
2012-10-26,Credit Suisse,Outperform,Neutral,up
2012-11-13,Oppenheimer,Outperform,,main
2012-11-14,Imperial Capital,Outperform,,init
2012-11-20,Morgan Stanley,Overweight,,main
2012-12-07,JP Morgan,Neutral,,init
2013-01-17,Credit Suisse,Outperform,,main
2013-01-22,Citigroup,Neutral,,main
2013-01-23,Imperial Capital,Outperform,,main
2013-01-31,Imperial Capital,Outperform,,main
2013-03-06,Credit Suisse,Outperform,,main
2013-03-07,Goldman Sachs,Buy,,main
2013-03-14,Cowen & Co.,Buy,,main
2013-04-17,Deutsche Bank,Hold,,main
2013-07-01,JP Morgan,Underweight,Neutral,down
2013-08-02,Macquarie,Neutral,Outperform,down
2013-09-09,Simmons & Co.,Neutral,Overweight,down
2013-09-10,Credit Suisse,Neutral,Outperform,down
2013-10-04,Oppenheimer,Perform,Outperform,down
2013-10-09,Imperial Capital,Outperform,,main
2013-10-15,Scotia Howard Weil,Sector Outperform,,main
2013-11-04,Imperial Capital,In-Line,Outperform,down
2013-12-02,Simmons & Co.,Overweight,Neutral,up
2013-12-02,Deutsche Bank,Buy,Hold,up
2013-12-03,Bank of America,Neutral,,main
2013-12-05,Macquarie,Outperform,Neutral,up
2013-12-05,Imperial Capital,In-Line,,main
2013-12-09,JP Morgan,Neutral,Underweight,up
2014-01-30,ISI Group,Buy,Neutral,up
2014-01-31,Imperial Capital,Outperform,In-Line,up
2014-04-01,Wolfe Research,Peer Perform,,init
2014-04-07,Citigroup,Neutral,,main
2014-04-21,Scotia Howard Weil,Sector Outperform,,main
2014-07-03,S&P Capital IQ,Buy,Hold,up
2014-07-11,Citigroup,Buy,,main
2014-07-11,Citigroup,Buy,Neutral,up
2014-07-28,Wolfe Research,Outperform,Peer Perform,up
2014-08-01,Credit Suisse,Outperform,Neutral,up
2014-09-15,Scotia Howard Weil,Sector Perform,Sector Outperform,down
2014-09-23,JP Morgan,Overweight,,init
2014-10-02,RBC Capital,Top Pick,,init
2014-10-08,Citigroup,Buy,,main
2014-10-09,Deutsche Bank,Buy,,init
2014-10-31,Barclays,Overweight,,main
2014-11-03,Barclays,Overweight,,main
2014-11-06,Barclays,Overweight,,main
2014-11-18,Goldman Sachs,Buy,,init
2014-11-25,Deutsche Bank,Buy,,main
2014-12-17,Wells Fargo,Market Perform,,down
2015-01-13,JP Morgan,Neutral,Overweight,down
2015-01-14,Barclays,Overweight,,main
2015-01-28,Citigroup,Buy,,main
2015-02-19,Deutsche Bank,Buy,,main
2015-04-20,Barclays,Buy,,main
2015-04-23,Deutsche Bank,Buy,,main
2015-05-27,Oppenheimer,Outperform,Perform,up
2015-06-12,Barclays,Overweight,,main
2015-07-13,Citigroup,Buy,,main
2015-07-14,Barclays,Overweight,,main
2015-07-14,Morgan Stanley,Overweight,,main
2015-08-24,Bank of America,Underperform,Neutral,down
2015-08-26,JP Morgan,Overweight,Neutral,up
2015-10-12,Barclays,Overweight,,main
2015-10-16,Deutsche Bank,Buy,,main
2015-12-04,Barclays,Overweight,,main
2015-12-04,Deutsche Bank,Buy,,main
2015-12-15,Scotia Howard Weil,Sector Outperform,Sector Perform,up
2015-12-18,Deutsche Bank,Buy,,main
2016-01-05,Bank of America,Neutral,Underperform,up
2016-01-26,Deutsche Bank,Buy,,main
2016-01-26,Credit Suisse,Outperform,,main
2016-02-05,JP Morgan,Neutral,Overweight,down
2016-02-09,Deutsche Bank,Buy,,main
2016-02-23,JP Morgan,Neutral,,main
2016-03-03,Bank of America,Buy,Neutral,up
2016-03-16,Barclays,Overweight,,main
2016-05-19,UBS,Sell,,init
2016-06-10,JP Morgan,Neutral,,main
2016-07-20,Credit Suisse,Outperform,,main
2016-08-22,Jefferies,Buy,,init
2016-08-22,PiperJaffray,Neutral,,main
2016-09-16,PiperJaffray,Neutral,,main
2016-10-31,Raymond James,Strong Buy,Outperform,up
2016-11-01,UBS,Neutral,Sell,up
2016-12-07,JP Morgan,Overweight,Neutral,up
2017-02-02,UBS,Buy,Neutral,up
2017-09-06,Wells Fargo,Market Perform,Outperform,down
2017-10-03,Goldman Sachs,Neutral,Buy,down
2017-10-10,Barclays,Overweight,,main
2017-10-18,Citigroup,Buy,,main
2017-11-14,Barclays,Overweight,,main
2017-11-15,UBS,Neutral,Buy,down
2018-01-03,Credit Suisse,Outperform,,init
2018-02-05,Jefferies,Hold,Buy,down
2018-03-13,Citigroup,Buy,Buy,main
2018-03-13,JP Morgan,Overweight,Overweight,main
2018-03-19,Deutsche Bank,Buy,Buy,main
2018-04-09,JP Morgan,Overweight,Overweight,main
2018-04-16,Morgan Stanley,Overweight,Overweight,main
2018-05-01,Wells Fargo,Market Perform,Market Perform,main
2018-05-01,RBC Capital,Outperform,Top Pick,down
2018-05-01,Bank of America,Neutral,Neutral,main
2018-05-03,Jefferies,Buy,Hold,up
2018-05-10,Bank of America,Buy,Neutral,up
2018-05-29,Wells Fargo,Outperform,Market Perform,up
2018-07-27,JP Morgan,Overweight,Overweight,main
2018-08-02,Mizuho,Buy,,init
2018-09-07,Citigroup,Buy,Buy,main
2018-10-12,Morgan Stanley,Overweight,Overweight,main
2018-10-16,Citigroup,Buy,Buy,main
2018-11-20,Morgan Stanley,Overweight,Overweight,main
2018-12-06,Citigroup,Buy,Buy,main
2018-12-07,Citigroup,Buy,Buy,main
2018-12-26,Standpoint Research,Accumulate,,init
2019-02-06,Macquarie,Outperform,,init
2019-03-04,Citigroup,Buy,Buy,main
2019-04-10,Raymond James,Strong Buy,Strong Buy,reit
2019-04-15,Morgan Stanley,Overweight,Overweight,main
2019-05-09,Raymond James,Strong Buy,,main
2019-05-09,Wells Fargo,Outperform,,main
2019-05-09,RBC Capital,Outperform,,main
2019-05-10,Cowen & Co.,Market Perform,Outperform,down
2019-05-17,Morgan Stanley,Overweight,,main
2019-08-02,Raymond James,Strong Buy,,reit
2019-09-10,JP Morgan,Overweight,,main
2019-09-25,Wells Fargo,Outperform,,main
2019-10-17,Citigroup,Buy,,main
