,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,190627000.0,137598000.0,107757000.0,93455000.0
Effect Of Accounting Charges,,,,
Income Before Tax,272219000.0,169342000.0,113120000.0,118482000.0
Minority Interest,,,,
Net Income,242023000.0,164375000.0,108839000.0,105268000.0
Selling General Administrative,226190000.0,161670000.0,133542000.0,113803000.0
Gross Profit,685459000.0,465954000.0,346325000.0,322668000.0
Ebit,268642000.0,166686000.0,105026000.0,115410000.0
Operating Income,268642000.0,166686000.0,105026000.0,115410000.0
Other Operating Expenses,,,,
Interest Expense,,,,4994000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,30196000.0,4967000.0,4281000.0,13214000.0
Total Revenue,1207798000.0,844452000.0,627921000.0,582382000.0
Total Operating Expenses,939156000.0,677766000.0,522895000.0,466972000.0
Cost Of Revenue,522339000.0,378498000.0,281596000.0,259714000.0
Total Other Income Expense Net,3577000.0,2656000.0,8094000.0,3072000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,242023000.0,164375000.0,108839000.0,105268000.0
Net Income Applicable To Common Shares,242023000.0,164375000.0,108839000.0,105268000.0
