Date,Firm,To Grade,From Grade,Action
2012-02-10,Evercore Partners,Overweight,,main
2012-05-01,Deutsche Bank,Buy,,main
2012-05-29,PiperJaffray,Overweight,,main
2012-07-31,Deutsche Bank,Buy,,main
2012-09-04,PiperJaffray,Neutral,Overweight,down
2012-11-02,Deutsche Bank,Buy,,main
2012-12-05,Stifel Nicolaus,Buy,,main
2012-12-10,Blaylock Robert Van,Neutral,Strong Buy,down
2013-02-07,Blaylock Robert Van,Buy,Hold,up
2013-02-07,Deutsche Bank,Buy,,main
2013-03-06,Stifel Nicolaus,Buy,,main
2013-04-30,Stifel Nicolaus,Buy,,main
2013-06-04,Wells Fargo,Outperform,,init
2013-08-07,Evercore Partners,Overweight,,main
2013-08-30,William Blair,Outperform,,init
2013-09-13,Needham,Hold,Buy,down
2013-09-30,Deutsche Bank,Buy,,main
2013-10-18,Wells Fargo,Market Perform,Outperform,down
2013-10-25,Oppenheimer,Outperform,Perform,up
2013-11-08,Stifel Nicolaus,Buy,,main
2014-03-11,Stifel Nicolaus,Buy,,main
2014-03-14,Stifel Nicolaus,Buy,,main
2014-04-25,Pacific Crest,Outperform,,main
2014-04-25,Oppenheimer,Outperform,,main
2014-04-25,Deutsche Bank,Buy,,main
2014-04-25,Stifel Nicolaus,Buy,,main
2014-05-14,Evercore Partners,Overweight,,init
2014-06-16,Raymond James,Outperform,,main
2014-07-25,Stifel Nicolaus,Buy,,main
2014-07-25,Deutsche Bank,Buy,,main
2014-12-04,Stifel Nicolaus,Buy,,main
2015-04-23,Pacific Crest,Overweight,,main
2015-04-23,Deutsche Bank,Buy,,main
2015-09-11,PiperJaffray,Overweight,,init
2015-10-27,Raymond James,Outperform,,main
2015-10-27,Oppenheimer,Outperform,,main
2016-02-05,Deutsche Bank,Buy,,main
2016-02-05,Pacific Crest,Overweight,,main
2016-05-03,Stifel Nicolaus,Buy,,main
2016-05-03,Oppenheimer,Outperform,,main
2016-07-14,Stifel Nicolaus,Buy,,main
2016-11-21,Raymond James,Strong Buy,Outperform,up
2017-10-10,SunTrust Robinson Humphrey,Buy,,init
2017-10-24,Deutsche Bank,Buy,,main
2017-10-27,Oppenheimer,Outperform,,main
2017-10-27,Stifel Nicolaus,Buy,,main
2018-04-12,Raymond James,Strong Buy,,init
2018-05-01,Stifel Nicolaus,Buy,Buy,main
2018-05-01,KeyBanc,Overweight,Overweight,main
2018-05-17,Cowen & Co.,Outperform,,init
2018-06-05,Deutsche Bank,Buy,Buy,main
2018-06-08,Deutsche Bank,Buy,Buy,main
2018-06-08,Stifel Nicolaus,Buy,Buy,main
2018-07-19,Stifel Nicolaus,Buy,Buy,main
2018-08-29,KeyBanc,Overweight,Overweight,main
2018-09-25,Raymond James,Outperform,Strong Buy,down
2018-10-16,KeyBanc,Overweight,Overweight,main
2019-02-13,Deutsche Bank,Buy,Buy,main
2019-05-03,KeyBanc,Sector Weight,Overweight,down
2019-06-18,Loop Capital,Buy,,init
2019-09-10,Stifel Nicolaus,Buy,,main
2019-12-12,Rosenblatt,Buy,,init
2020-02-06,Raymond James,Outperform,,main
2020-02-06,Rosenblatt,Buy,,main
2020-03-05,Needham,Buy,Hold,up
2020-03-31,Needham,Buy,,main
2020-04-16,Stifel,Buy,,main
2020-04-29,Raymond James,Outperform,,main
2020-04-29,Oppenheimer,Outperform,,main
2020-04-29,Needham,Buy,,main
2020-04-29,SunTrust Robinson Humphrey,Buy,,main
2020-06-22,Rosenblatt,Buy,,main
2020-06-26,SunTrust Robinson Humphrey,Buy,,main
2020-07-07,Needham,Buy,,main
2020-07-29,Stifel,Buy,,main
2020-07-29,Raymond James,Outperform,,main
2020-07-29,Rosenblatt,Buy,,main
2020-07-29,Needham,Buy,,main
2020-10-30,Needham,Buy,,main
2020-10-30,Raymond James,Outperform,,main
2020-10-30,Rosenblatt,Buy,,main
2021-01-07,Rosenblatt,Buy,,main
2021-02-05,Rosenblatt,Buy,,main
2021-02-05,Needham,Buy,,main
2021-02-05,Raymond James,Outperform,,main
2021-02-08,Loop Capital,Buy,,main
2021-07-22,Oppenheimer,Outperform,,main
2021-07-28,Oppenheimer,Outperform,,main
2021-07-28,Raymond James,Outperform,,main
2021-07-28,Rosenblatt,Buy,,main
2021-07-28,Needham,Buy,,main
2021-08-31,Stifel,Buy,,main
2021-09-10,Deutsche Bank,Buy,,main
2021-09-24,Rosenblatt,Buy,,main
2021-10-22,Oppenheimer,Outperform,,main
2021-10-29,Raymond James,Outperform,,main
2021-10-29,Needham,Hold,Buy,down
2022-01-11,Keybanc,Overweight,Sector Weight,up
2022-02-07,Deutsche Bank,Buy,,main
2022-02-11,Deutsche Bank,Buy,,main
2022-02-11,Needham,Buy,Hold,up
2022-04-20,Deutsche Bank,Buy,,main
2022-05-03,Keybanc,Overweight,,main
