Date,Firm,To Grade,From Grade,Action
2012-06-21,Deutsche Bank,Hold,,main
2012-06-26,Goldman Sachs,Neutral,Buy,down
2012-09-10,ISI Group,Hold,,main
2012-09-17,Citigroup,Neutral,,main
2012-09-20,UBS,Neutral,Buy,down
2012-10-02,Drexel Hamilton,Buy,,init
2012-10-19,Citigroup,Neutral,,main
2012-12-07,SunTrust Robinson Humphrey,Neutral,,init
2012-12-19,Evercore Partners,Overweight,Equal-Weight,up
2012-12-24,Citigroup,Neutral,,main
2013-01-03,Nomura,Neutral,,main
2013-01-04,ISI Group,Hold,,main
2013-01-10,UBS,Neutral,,main
2013-01-14,Mediobanca Securities,Underperform,Neutral,down
2013-01-22,Nomura,Neutral,,main
2013-01-22,Susquehanna,Neutral,Positive,down
2013-02-06,SunTrust Robinson Humphrey,Neutral,Reduce,up
2013-02-22,HSBC,Neutral,Underweight,up
2013-03-28,Guggenheim,Neutral,,init
2013-04-02,Credit Suisse,Neutral,Overweight,down
2013-04-23,SunTrust Robinson Humphrey,Buy,Neutral,up
2013-05-30,Deutsche Bank,Buy,Hold,up
2013-06-07,Macquarie,Outperform,,init
2013-06-10,Oppenheimer,Perform,Outperform,down
2013-09-11,UBS,Buy,Neutral,up
2013-10-23,Mediobanca Securities,Outperform,Neutral,up
2013-12-05,Deutsche Bank,Hold,Buy,down
2014-01-07,Societe Generale,Hold,,init
2014-01-09,JMP Securities,Market Outperform,,main
2014-01-09,Nomura,Neutral,,init
2014-04-15,Bank of America,Buy,Neutral,up
2014-04-21,Barclays,Equal-Weight,,main
2014-04-21,Nomura,Buy,Neutral,up
2014-04-24,Deutsche Bank,Hold,,main
2014-06-17,Barclays,Equal-Weight,,main
2014-07-18,Macquarie,Outperform,,main
2014-09-05,Macquarie,Neutral,Outperform,down
2014-09-24,JP Morgan,Neutral,Overweight,down
2014-10-03,Credit Suisse,Neutral,,main
2014-10-06,JMP Securities,Market Outperform,,main
2014-10-20,Keefe Bruyette & Woods,Market Perform,,main
2014-12-08,UBS,Buy,,main
2014-12-12,Buckingham Research,Neutral,Buy,down
2015-01-05,Credit Suisse,Neutral,,main
2015-01-05,Barclays,Equal-Weight,,main
2015-01-12,JMP Securities,Market Perform,Market Outperform,down
2015-01-22,Deutsche Bank,Neutral,,main
2015-04-07,Susquehanna,Neutral,,main
2015-04-21,Macquarie,Neutral,,main
2015-04-21,Keefe Bruyette & Woods,Market Perform,,main
2015-07-13,Citigroup,Neutral,,main
2015-07-21,Macquarie,Neutral,,main
2015-07-29,Guggenheim,Neutral,Buy,down
2015-08-31,Evercore ISI Group,Buy,Hold,up
2015-10-07,RBC Capital,Outperform,Sector Perform,up
2015-10-08,JMP Securities,Outperform,,up
2015-10-09,Barclays,Equal-Weight,,main
2015-10-20,Barclays,Equal-Weight,,main
2015-10-20,Macquarie,Neutral,,main
2015-12-01,UBS,Buy,,main
2016-01-11,Nomura,Buy,,main
2016-01-13,Societe Generale,Sell,Hold,down
2016-01-20,Barclays,Equal-Weight,,main
2016-01-20,Macquarie,Neutral,,main
2016-01-20,Keefe Bruyette & Woods,Market Perform,,main
2016-01-26,Deutsche Bank,Hold,,main
2016-02-03,Atlantic Equities,Underweight,Neutral,down
2016-02-16,JP Morgan,Overweight,Neutral,up
2016-03-30,Credit Suisse,Neutral,,main
2016-04-06,Barclays,Equal-Weight,,main
2016-04-19,Keefe Bruyette & Woods,Market Perform,,main
2016-07-13,Berenberg,Hold,,init
2016-08-17,Argus,Buy,,main
2016-10-05,Macquarie,Outperform,,main
2016-10-06,Sandler O'Neill,Hold,Buy,down
2016-10-10,Citigroup,Neutral,,main
2016-10-20,Guggenheim,Buy,Neutral,up
2016-11-30,Deutsche Bank,Hold,,main
2016-12-05,HSBC,Hold,,init
2016-12-21,Atlantic Equities,Neutral,Underweight,up
2017-01-12,Societe Generale,Buy,Sell,up
2017-02-22,Compass Point,Neutral,,init
2017-03-29,Deutsche Bank,Buy,Hold,up
2017-07-20,BMO Capital,Outperform,,main
2017-07-20,Bank of America,Buy,,main
2017-09-15,HSBC,Buy,Hold,up
2017-10-09,Citigroup,Neutral,,main
2017-10-09,Credit Suisse,Outperform,Neutral,up
2017-10-10,Citigroup,Neutral,,main
2017-10-18,Buckingham,Buy,,main
2017-10-18,BMO Capital,Outperform,,main
2017-10-18,Barclays,Equal-Weight,,main
2017-12-13,Keefe Bruyette & Woods,Outperform,Market Perform,up
2018-01-10,Atlantic Equities,Overweight,Neutral,up
2018-04-10,Bernstein,Underperform,,init
2018-04-19,Barclays,Equal-Weight,Equal-Weight,main
2018-04-19,Credit Suisse,Outperform,Outperform,main
2018-07-19,Bernstein,Market Perform,Underperform,up
2018-07-20,Citigroup,Neutral,Neutral,main
2018-10-02,HSBC,Hold,Buy,down
2018-10-24,Wells Fargo,Outperform,Market Perform,up
2018-12-07,Credit Suisse,Outperform,Outperform,main
2019-01-10,Citigroup,Buy,Neutral,up
2019-02-01,Societe Generale,Sell,Hold,down
2019-03-26,Oppenheimer,Outperform,Outperform,main
2019-04-18,Citigroup,Neutral,Buy,down
2019-07-12,Citi,Buy,Neutral,up
2019-10-10,Sandler O'Neill,Buy,Hold,up
2020-01-08,DA Davidson,Buy,,init
2020-01-09,DA Davidson,Buy,,init
2020-01-13,JMP Securities,Market Perform,Market Outperform,down
2020-01-17,B of A Securities,Buy,,reit
2020-01-17,Piper Sandler,Neutral,Overweight,down
2020-01-21,Citigroup,Neutral,Buy,down
2020-02-21,DA Davidson,Neutral,Buy,down
2020-03-04,Citigroup,Buy,Neutral,up
2020-03-13,Goldman Sachs,Buy,Neutral,up
2020-03-23,B of A Securities,Buy,,main
2020-03-25,UBS,Buy,,main
2020-03-30,Citigroup,Buy,,main
2020-04-01,Wells Fargo,Equal-Weight,,main
2020-04-01,Oppenheimer,Outperform,,main
2020-04-02,Credit Suisse,Outperform,,main
2020-04-02,Deutsche Bank,Hold,,main
2020-04-03,Piper Sandler,Neutral,,main
2020-04-06,Wells Fargo,Equal-Weight,,main
2020-04-16,CFRA,Hold,,reit
2020-04-17,Argus Research,Buy,,main
2020-04-17,Oppenheimer,Outperform,,main
2020-06-24,DA Davidson,Buy,Neutral,up
2020-07-08,Seaport Global,Buy,,init
2020-07-10,B of A Securities,Buy,,main
2020-07-27,Citigroup,Buy,,main
