,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,111564000.0,101053000.0,98334000.0,81411000.0
Effect Of Accounting Charges,,,,
Income Before Tax,858136000.0,686225000.0,603318000.0,629896000.0
Minority Interest,,,,
Net Income,725983000.0,601822000.0,563648000.0,507885000.0
Selling General Administrative,376737000.0,332158000.0,322131000.0,292859000.0
Gross Profit,1684860000.0,1403686000.0,1269835000.0,1146649000.0
Ebit,1101663000.0,883350000.0,754961000.0,694744000.0
Operating Income,1101663000.0,883350000.0,754961000.0,694744000.0
Other Operating Expenses,,,15000000.0,15000000.0
Interest Expense,-159614000.0,-156324000.0,-148041000.0,-133114000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,132153000.0,84403000.0,39670000.0,122011000.0
Total Revenue,2043544000.0,1695390000.0,1557796000.0,1433984000.0
Total Operating Expenses,941881000.0,812040000.0,802835000.0,739240000.0
Cost Of Revenue,358684000.0,291704000.0,287961000.0,287335000.0
Total Other Income Expense Net,-243527000.0,-197125000.0,-151643000.0,-64848000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,725983000.0,601822000.0,563648000.0,507885000.0
Net Income Applicable To Common Shares,725983000.0,601822000.0,563648000.0,507885000.0
