Date,Firm,To Grade,From Grade,Action
2012-03-16,Argus Research,Buy,,up
2012-03-19,Hilliard Lyons,Long-Term Buy,,main
2012-03-22,Morgan Stanley,Overweight,,main
2012-04-03,UBS,Buy,,main
2012-04-20,UBS,Buy,,main
2012-04-20,Deutsche Bank,Buy,,main
2012-04-20,McAdams Wright Ragen,Buy,,main
2012-04-20,Bank oferica,Buy,,main
2012-04-20,Goldman Sachs,Neutral,,main
2012-07-20,Goldman Sachs,Neutral,,main
2012-07-20,Griffin Securities,Buy,,init
2012-08-20,Longbow Research,Buy,,init
2012-09-12,Jefferies,Hold,,init
2012-10-01,RBC Capital,Sector Perform,Outperform,down
2012-10-01,RBC Capital,Sector Perform,Outperform,down
2012-10-19,Barclays,Equal-Weight,,main
2012-11-28,Nomura,,,main
2012-12-05,MKM Partners,Neutral,,main
2012-12-12,Standpoint Research,Buy,Hold,up
2012-12-13,Barclays,Equal-Weight,,main
2012-12-14,SunTrust Robinson Humphrey,Neutral,,init
2012-12-14,BMO Capital,Market Perform,,init
2013-01-04,Argus,Hold,Buy,down
2013-01-07,Barclays,Equal-Weight,,main
2013-01-10,Morgan Stanley,Equal-Weight,Overweight,down
2013-01-11,Nomura,Buy,,main
2013-01-18,Deutsche Bank,Buy,,main
2013-01-25,Deutsche Bank,Buy,,main
2013-02-04,McAdams Wright Ragen,Buy,,main
2013-04-04,Bank of America,Neutral,Buy,down
2013-04-10,BGC Financial,Hold,Buy,down
2013-04-11,Hilliard Lyons,Neutral,Long-term Buy,down
2013-04-11,Nomura,Neutral,Buy,down
2013-04-11,Goldman Sachs,Sell,Neutral,down
2013-04-12,Credit Agricole,Outperform,Buy,down
2013-04-25,McAdams Wright Ragen,Hold,Buy,down
2013-04-30,Standpoint Research,Hold,Buy,down
2013-04-30,Morgan Stanley,Overweight,Equal-Weight,main
2013-05-15,Stifel Nicolaus,Buy,,main
2013-05-28,Nomura,Neutral,,main
2013-06-05,Deutsche Bank,Hold,Buy,down
2013-06-26,Morgan Stanley,Overweight,,main
2013-07-19,Cowen & Co.,Market Perform,Outperform,down
