Date,Firm,To Grade,From Grade,Action
2012-09-10,JP Morgan,Neutral,,main
2012-10-24,Goldman Sachs,Buy,,main
2012-10-25,BMO Capital,Market Perform,,main
2012-10-25,Nomura,Neutral,,main
2012-10-25,Raymond James,Outperform,Strong Buy,down
2013-01-18,Jefferies,Buy,,main
2013-01-24,Nomura,Neutral,,main
2013-01-24,BMO Capital,Market Perform,,main
2013-02-08,Wells Fargo,Outperform,,init
2013-04-01,Tigress Financial,Buy,,init
2013-04-19,Jefferies,Buy,,main
2013-07-25,Nomura,Neutral,,main
2013-07-26,Argus,Hold,Buy,down
2013-10-23,Raymond James,Market Perform,,down
2013-10-24,Deutsche Bank,Hold,,main
2013-10-24,Wells Fargo,Market Perform,Outperform,down
2013-10-24,Nomura,Neutral,,main
2013-12-10,Mizuho,Neutral,,init
2013-12-11,Citigroup,Neutral,,main
2014-01-21,Citigroup,Buy,Neutral,up
2014-01-22,Nomura,Neutral,Buy,up
2014-01-23,Nomura,Buy,Neutral,up
2014-01-28,JP Morgan,Neutral,,main
2014-03-12,Goldman Sachs,Sell,Neutral,down
2014-04-16,Nomura,Neutral,Buy,down
2014-05-02,Nomura,Neutral,,main
2014-05-22,Mizuho,Underperform,Neutral,down
2014-08-06,Credit Suisse,Outperform,,main
2014-10-02,Citigroup,Neutral,,main
2014-10-06,Deutsche Bank,Hold,,main
2014-11-05,Deutsche Bank,Hold,,main
2014-11-05,Citigroup,Neutral,,main
2014-11-05,MKM Partners,Neutral,,main
2014-11-05,Nomura,Neutral,,main
2015-02-19,Nomura,Neutral,,main
2015-03-12,Raymond James,Underperform,Market Perform,down
2015-05-05,Goldman Sachs,Sell,Neutral,down
2015-05-07,Raymond James,Market Perform,Underperform,up
2015-09-11,Wells Fargo,Underperform,,down
2015-10-22,Macquarie,Underperform,,init
2015-12-04,Deutsche Bank,Hold,,main
2015-12-07,Jefferies,Hold,,init
2016-01-05,Bernstein,Market Perform,Outperform,down
2016-02-23,JP Morgan,Neutral,,main
2016-02-23,Deutsche Bank,Hold,,main
2016-02-23,Bernstein,Outperform,Market Perform,up
2016-05-04,Northcoast Research,Neutral,Buy,down
