,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,2455149000.0,1769521000.0,2547261000.0,2508240000.0
Minority Interest,,,,
Net Income,1858746000.0,1353152000.0,1929149000.0,1918080000.0
Selling General Administrative,2759682000.0,2632982000.0,2587972000.0,2371485000.0
Gross Profit,6066772000.0,5154761000.0,5967943000.0,5796302000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,2578880000.0,1838193000.0,2658286000.0,2736288000.0
Other Operating Expenses,728210000.0,683586000.0,721685000.0,688529000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,596403000.0,416369000.0,618112000.0,590160000.0
Total Revenue,6066772000.0,5154761000.0,5967943000.0,5796302000.0
Total Operating Expenses,3487892000.0,3316568000.0,3309657000.0,3060014000.0
Cost Of Revenue,0.0,0.0,0.0,0.0
Total Other Income Expense Net,-123731000.0,-68672000.0,-111025000.0,-228048000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1858746000.0,1353152000.0,1929149000.0,1918080000.0
Net Income Applicable To Common Shares,1776977000.0,1279066000.0,1849509000.0,1836028000.0
