,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,241049000.0,169811000.0,151960000.0,132030000.0
Effect Of Accounting Charges,,,,
Income Before Tax,256148000.0,630952000.0,532420000.0,462411000.0
Minority Interest,9187000.0,1682000.0,1014803000.0,774363000.0
Net Income,277723000.0,162329000.0,453838000.0,626961000.0
Selling General Administrative,976140000.0,794641000.0,683578000.0,601886000.0
Gross Profit,2146329000.0,1758963000.0,1524074000.0,1319850000.0
Ebit,859179000.0,750315000.0,652054000.0,549789000.0
Operating Income,859179000.0,750315000.0,652054000.0,549789000.0
Other Operating Expenses,,,,
Interest Expense,-130493000.0,-130624000.0,-111008000.0,-94568000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-19897000.0,43273000.0,15080000.0,11307000.0
Total Revenue,2983277000.0,2391269000.0,2051258000.0,1729850000.0
Total Operating Expenses,2124098000.0,1640954000.0,1399204000.0,1180061000.0
Cost Of Revenue,836948000.0,632306000.0,527184000.0,410000000.0
Total Other Income Expense Net,-603031000.0,-119363000.0,-119634000.0,-87378000.0
Discontinued Operations,509000.0,-366070000.0,49187000.0,306643000.0
Net Income From Continuing Ops,276045000.0,587679000.0,517340000.0,451104000.0
Net Income Applicable To Common Shares,277723000.0,162329000.0,453838000.0,626961000.0
