Date,Firm,To Grade,From Grade,Action
2012-02-09,Goldman Sachs,Buy,,main
2012-02-09,Jefferies,Buy,,main
2012-02-09,JP Morgan,Neutral,,main
2012-06-21,UBS,Neutral,,main
2012-07-10,ISI Group,Underweight,,init
2012-07-27,Jefferies,Buy,,main
2012-07-27,ISI Group,Market Weight,Underweight,up
2012-07-27,UBS,Neutral,,main
2012-08-29,Wallachbeth,Hold,,init
2012-09-18,Bank of America,Neutral,,main
2012-12-19,CL King,Neutral,Buy,down
2013-01-07,Bank of America,,Neutral,up
2013-01-17,Cantor Fitzgerald,Hold,Buy,down
2013-02-07,Credit Agricole,Outperform,Underperform,up
2013-02-07,Jefferies,Buy,,main
2013-04-11,Goldman Sachs,Neutral,Buy,down
2013-05-06,Jefferies,Hold,Buy,down
2013-07-29,Cantor Fitzgerald,Buy,Hold,up
2013-08-15,Janney Capital,Neutral,,init
2013-09-06,Morgan Stanley,Overweight,,init
2013-12-12,Bank of America,Buy,,main
2014-02-06,UBS,Buy,Neutral,up
2014-02-07,UBS,Buy,Neutral,up
2014-02-11,Wells Fargo,Market Perform,,init
2014-05-09,Cantor Fitzgerald,Buy,,main
2014-07-25,Jefferies,Hold,,main
2014-07-25,JP Morgan,Neutral,,main
2014-07-28,Cantor Fitzgerald,Buy,,main
2014-11-17,Bank of America,Buy,,main
2015-01-07,Citigroup,Neutral,,main
2015-03-10,UBS,Buy,,init
2015-04-02,Morgan Stanley,Equal-Weight,,init
2015-05-08,JP Morgan,Neutral,,main
2015-05-08,Jefferies,Hold,,main
2015-07-31,Citigroup,Neutral,,main
2016-06-23,Citigroup,Neutral,Buy,down
2016-07-29,JP Morgan,Neutral,,main
2016-08-05,UBS,Neutral,Buy,down
2016-08-31,Bank of America,Buy,Neutral,up
2017-01-17,Deutsche Bank,Hold,,init
2017-01-18,Deutsche Bank,Hold,,init
2017-07-13,Wells Fargo,Outperform,Market Perform,up
2017-10-06,Morgan Stanley,Equal-Weight,,main
2017-10-09,Bank of America,Buy,,main
2017-11-03,Morgan Stanley,Equal-Weight,,main
2017-11-03,Baird,Neutral,,main
2018-01-04,Barclays,Equal-Weight,,init
2018-01-04,Evercore ISI Group,In-Line,,init
2018-02-09,Citigroup,Buy,Neutral,up
2018-02-09,Citigroup,Buy,Neutral,main
2018-02-09,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-02-12,Baird,Neutral,Neutral,main
2018-03-01,Deutsche Bank,Hold,Hold,main
2018-04-11,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-05-04,Bank of America,Buy,Buy,main
2018-05-04,Deutsche Bank,Hold,Hold,main
2018-07-13,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-07-27,JP Morgan,Neutral,Neutral,main
2018-07-27,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-10-10,Morgan Stanley,Equal-Weight,Equal-Weight,main
2019-01-03,Bank of America,Neutral,Buy,down
2019-07-15,Barclays,Underweight,Equal-Weight,down
2019-10-09,Barclays,Underweight,,main
2019-10-18,UBS,Sell,,main
2019-11-08,UBS,Sell,,main
2019-11-15,Stifel Nicolaus,Hold,,init
2020-01-02,Evercore ISI Group,In-Line,Underperform,up
2020-01-07,Citigroup,Neutral,,init
2020-01-08,Wells Fargo,Equal-Weight,,init
2020-03-20,Citigroup,Neutral,,main
2020-03-26,Barclays,Equal-Weight,Underweight,up
2020-03-30,Wells Fargo,Equal-Weight,,main
2020-04-02,Stifel,Hold,,main
2020-04-09,Evercore ISI Group,Underperform,In-Line,down
2020-05-08,Citigroup,Neutral,,main
2020-05-11,Wells Fargo,Equal-Weight,,main
2020-07-20,B of A Securities,Neutral,,main
2020-09-28,JP Morgan,Underweight,Neutral,down
2020-10-07,UBS,Sell,Neutral,down
2021-01-04,Evercore ISI Group,In-Line,Underperform,up
2021-07-30,Wells Fargo,Equal-Weight,,main
2022-03-10,Goldman Sachs,Sell,Neutral,down
2022-04-25,Wells Fargo,Overweight,Equal-Weight,up
