Date,Firm,To Grade,From Grade,Action
2013-01-23,Nomura,Neutral,,init
2013-01-28,Stifel Nicolaus,Buy,,init
2013-02-12,Nomura,Buy,Neutral,up
2013-02-13,Stifel Nicolaus,Buy,,main
2013-02-27,Barclays,Overweight,,init
2013-02-27,Wells Fargo,Outperform,,init
2013-02-27,JP Morgan,Overweight,,init
2013-02-27,Goldman Sachs,Neutral,,init
2013-02-27,UBS,Neutral,,init
2013-03-01,Deutsche Bank,Hold,,init
2013-03-08,Citigroup,Buy,,init
2013-05-08,Stifel Nicolaus,Buy,,main
2013-08-02,Tigress Financial,Buy,,init
2013-08-02,Tigress Financial,Buy,,init
2013-08-19,UBS,Buy,Neutral,up
2013-09-04,Susquehanna,Positive,,init
2013-10-04,SunTrust Robinson Humphrey,Buy,,init
2013-10-21,Credit Suisse,Outperform,,init
2013-10-23,Nomura,Buy,,main
2014-04-17,Longbow Research,Buy,,init
2014-04-22,Goldman Sachs,Buy,Neutral,up
2014-04-29,Berenberg,Buy,,init
2014-06-04,Longbow Research,Neutral,Buy,down
2014-06-16,SunTrust Robinson Humphrey,Neutral,Buy,down
2014-07-30,Nomura,Buy,,main
2014-08-06,UBS,Neutral,Buy,down
2014-09-03,Credit Suisse,Outperform,,main
2014-09-26,Stifel Nicolaus,Buy,,main
2014-10-31,SunTrust Robinson Humphrey,Neutral,,main
2014-11-04,Citigroup,Buy,,main
2014-12-18,DNB Markets,Hold,Buy,down
2015-01-12,Citigroup,Buy,,main
2015-02-18,Barclays,Overweight,,main
2015-02-19,Stifel Nicolaus,Buy,,main
2015-02-24,UBS,Buy,Neutral,up
2015-03-16,SunTrust Robinson Humphrey,Neutral,,main
2015-03-20,Wedbush,Outperform,,init
2015-03-20,Stifel Nicolaus,Buy,,main
2015-04-29,Tigress Financial,Strong Buy,Buy,up
2015-05-06,Susquehanna,Positive,,main
2015-05-08,Barclays,Overweight,,main
2015-05-08,Stifel Nicolaus,Buy,,main
2015-05-08,Stifel Nicolaus,Buy,,main
2015-05-08,JP Morgan,Overweight,,main
2015-05-11,SunTrust Robinson Humphrey,Neutral,,main
2015-08-05,Barclays,Overweight,,main
2015-08-11,Citigroup,Buy,,main
2015-09-18,Barclays,Overweight,,main
2015-12-09,Goldman Sachs,Sell,Neutral,down
2016-01-29,Wolfe Research,Outperform,Peer Perform,up
2016-02-19,Buckingham Research,Buy,,init
2016-02-24,JP Morgan,Overweight,,main
2016-02-24,Goldman Sachs,Neutral,Sell,up
2016-03-07,SunTrust Robinson Humphrey,Neutral,,main
2016-03-17,SunTrust Robinson Humphrey,Buy,Neutral,up
2016-06-07,Sterne Agee CRT,Buy,,init
2016-08-10,Nomura,Buy,,main
2016-08-12,UBS,Buy,,main
2016-08-23,Citigroup,Buy,,main
2016-09-09,Bernstein,Outperform,,init
2016-09-13,Citigroup,Buy,,main
2016-10-04,Macquarie,Neutral,,init
2016-10-05,UBS,Neutral,Buy,down
2016-10-14,Wedbush,Neutral,Outperform,down
2016-10-19,SunTrust Robinson Humphrey,Hold,Buy,down
2016-10-27,JP Morgan,Neutral,Overweight,down
2016-11-22,,Market Perform,Outperform,down
2016-11-23,Bernstein,Market Perform,Outperform,down
2016-12-13,Morgan Stanley,Equal-Weight,,init
2016-12-16,Goldman Sachs,Neutral,,init
2017-05-26,Wedbush,Outperform,Neutral,up
2017-07-24,Bank of America,Buy,,init
2017-08-09,Deutsche Bank,Hold,,main
2017-08-09,Buckingham,Buy,,main
2017-08-09,Nomura,Buy,,main
2017-08-10,Barclays,Overweight,,main
2017-10-25,Argus,Buy,,init
2017-11-10,Barclays,Overweight,,main
2017-11-10,Morgan Stanley,Equal-Weight,,main
2017-11-30,Macquarie,Underperform,Neutral,down
2018-01-17,SunTrust Robinson Humphrey,Buy,Hold,up
2018-02-02,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-02-05,JP Morgan,Overweight,Neutral,up
2018-02-23,Deutsche Bank,Hold,Hold,main
2018-04-18,Deutsche Bank,Buy,Hold,up
2018-06-05,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-08-10,Nomura,Buy,Buy,main
2018-08-10,JP Morgan,Overweight,Overweight,main
2018-09-28,Macquarie,Neutral,Underperform,up
2018-11-01,Macquarie,Neutral,Underperform,up
2018-11-19,Citigroup,Buy,Buy,main
2019-01-08,Bernstein,Outperform,Market Perform,up
2019-02-06,Morgan Stanley,Overweight,Equal-Weight,up
2019-02-25,Macquarie,Outperform,Neutral,up
2019-02-25,Wells Fargo,Outperform,Outperform,main
2019-03-04,UBS,Neutral,Neutral,main
2019-05-10,Nomura,Buy,,main
2019-05-10,Buckingham Research,Buy,,main
2019-05-10,Morgan Stanley,Overweight,,main
2019-05-14,UBS,Neutral,,main
2019-07-19,Deutsche Bank,Buy,,main
2019-07-25,Morgan Stanley,Overweight,,main
2019-08-09,Bank of America,Buy,,reit
2019-08-09,SunTrust Robinson Humphrey,Buy,,main
2019-08-09,Buckingham Research,Buy,Neutral,up
2019-08-19,Citigroup,Buy,,main
2019-11-08,Deutsche Bank,Buy,,main
2019-11-08,Buckingham,Buy,,main
2020-01-13,Nomura,Buy,,main
2020-02-21,Wedbush,Outperform,,main
2020-02-21,Nomura,Buy,,main
2020-02-21,Stifel Nicolaus,Buy,,main
2020-02-21,Deutsche Bank,Buy,,main
2020-02-24,Argus Research,Hold,Buy,down
2020-02-26,Morgan Stanley,Overweight,,main
2020-02-28,Deutsche Bank,Hold,Buy,down
2020-03-02,CFRA,Sell,Strong Sell,up
2020-03-10,SunTrust Robinson Humphrey,Buy,,main
2020-03-17,B of A Securities,Neutral,Buy,down
2020-04-08,Nomura,Buy,,main
2020-04-20,UBS,Neutral,,main
2020-04-21,Stifel,Buy,,main
2020-05-15,Deutsche Bank,Hold,,main
2020-05-18,SunTrust Robinson Humphrey,Buy,,main
2020-05-21,Credit Suisse,Outperform,,init
2020-06-22,Redburn,Neutral,Buy,down
2020-06-24,Barclays,Equal-Weight,Overweight,down
2020-07-14,SunTrust Robinson Humphrey,Hold,Buy,down
2020-07-14,Macquarie,Neutral,Outperform,down
2020-08-12,Morgan Stanley,Underweight,,main
2020-09-25,Barclays,Overweight,Equal-Weight,up
2020-11-16,Morgan Stanley,Underweight,,main
2021-02-12,Berenberg,Hold,Buy,down
2021-03-02,Morgan Stanley,Underweight,,main
2021-03-02,Macquarie,Outperform,Neutral,up
2021-03-16,JP Morgan,Overweight,,main
2021-04-21,Goldman Sachs,Buy,Neutral,up
2021-06-16,Wolfe Research,Outperform,Peer Perform,up
2021-10-25,Citigroup,Buy,,init
2022-01-11,Morgan Stanley,Underweight,,main
2022-02-25,Deutsche Bank,Hold,,main
2022-02-25,Morgan Stanley,Underweight,,main
2022-03-04,Macquarie,Outperform,,main
2022-03-17,Morgan Stanley,Equal-Weight,Underweight,up
2022-03-17,Truist Securities,Hold,,main
2022-03-30,Wells Fargo,Overweight,,init
2022-04-19,Citigroup,Neutral,,main
2022-05-11,Morgan Stanley,Equal-Weight,,main
2022-05-11,Credit Suisse,Outperform,,main
2022-05-11,Wells Fargo,Overweight,,main
