,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1534000000.0,1212000000.0,1019000000.0,1064000000.0
Minority Interest,10000000.0,3000000.0,3000000.0,3000000.0
Net Income,1187000000.0,933000000.0,774000000.0,458000000.0
Selling General Administrative,1519000000.0,1356000000.0,1208000000.0,1235000000.0
Gross Profit,3420000000.0,2903000000.0,2535000000.0,2526000000.0
Ebit,1623000000.0,1345000000.0,1137000000.0,1081000000.0
Operating Income,1623000000.0,1345000000.0,1137000000.0,1081000000.0
Other Operating Expenses,,,,
Interest Expense,-125000000.0,-101000000.0,-124000000.0,-150000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,347000000.0,279000000.0,245000000.0,606000000.0
Total Revenue,5886000000.0,5625000000.0,4258000000.0,4277000000.0
Total Operating Expenses,4263000000.0,4280000000.0,3121000000.0,3196000000.0
Cost Of Revenue,2466000000.0,2722000000.0,1723000000.0,1751000000.0
Total Other Income Expense Net,-89000000.0,-133000000.0,-118000000.0,-17000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1187000000.0,933000000.0,774000000.0,458000000.0
Net Income Applicable To Common Shares,1187000000.0,933000000.0,774000000.0,458000000.0
