,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,557000000.0,347000000.0,438000000.0,-882000000.0
Minority Interest,182000000.0,192000000.0,193000000.0,196000000.0
Net Income,963000000.0,-6000000.0,-415000000.0,-712000000.0
Selling General Administrative,891000000.0,720000000.0,894000000.0,1951000000.0
Gross Profit,2288000000.0,2126000000.0,2250000000.0,3710000000.0
Ebit,885000000.0,856000000.0,891000000.0,1084000000.0
Operating Income,885000000.0,856000000.0,891000000.0,1084000000.0
Other Operating Expenses,,,,
Interest Expense,-285000000.0,-331000000.0,-348000000.0,-394000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-2000000.0,144000000.0,-141000000.0,-182000000.0
Total Revenue,3500000000.0,3361000000.0,3441000000.0,6515000000.0
Total Operating Expenses,2615000000.0,2505000000.0,2550000000.0,5431000000.0
Cost Of Revenue,1212000000.0,1235000000.0,1191000000.0,2805000000.0
Total Other Income Expense Net,-328000000.0,-509000000.0,-453000000.0,-1966000000.0
Discontinued Operations,412000000.0,-196000000.0,-982000000.0,-982000000.0
Net Income From Continuing Ops,559000000.0,203000000.0,579000000.0,-700000000.0
Net Income Applicable To Common Shares,963000000.0,-6000000.0,-415000000.0,-712000000.0
