,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,1397000000.0,1024000000.0,749000000.0,529501000.0
Effect Of Accounting Charges,,,,
Income Before Tax,249000000.0,150000000.0,67000000.0,-39024000.0
Minority Interest,,,,
Net Income,230000000.0,119000000.0,627000000.0,-26704000.0
Selling General Administrative,2889000000.0,2309000000.0,1873000000.0,1499083000.0
Gross Profit,4543000000.0,3532000000.0,2664000000.0,1986158000.0
Ebit,257000000.0,199000000.0,42000000.0,-42426000.0
Operating Income,257000000.0,199000000.0,42000000.0,-42426000.0
Other Operating Expenses,,,,
Interest Expense,-28000000.0,-33000000.0,-33000000.0,-52733000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,19000000.0,31000000.0,-560000000.0,-12320000.0
Total Revenue,5896000000.0,4519000000.0,3460000000.0,2608816000.0
Total Operating Expenses,5639000000.0,4320000000.0,3418000000.0,2651242000.0
Cost Of Revenue,1353000000.0,987000000.0,796000000.0,622658000.0
Total Other Income Expense Net,-8000000.0,-49000000.0,25000000.0,3402000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,230000000.0,119000000.0,627000000.0,-26704000.0
Net Income Applicable To Common Shares,230000000.0,119000000.0,627000000.0,-26704000.0
